t,q,t_model,q_model
0.0,3258.0,0.0,3258.0
1.0,2726.0,1.0,2220.0111130149567
2.0,2575.0,2.0,1700.7756618784445
3.0,1090.0,3.0,1386.4590327088063
4.0,989.0,4.0,1174.6552458804138
5.0,892.0,5.0,1021.7173356509318
6.0,1159.0,6.0,905.811631005496
7.0,744.0,7.0,814.7701269479104
8.0,559.0,8.0,741.2596273740076
9.0,422.0,9.0,680.5899574069886
10.0,648.0,10.0,629.6176750305501
11.0,471.0,11.0,586.1547793631036
12.0,828.0,12.0,548.6299981168089
13.0,402.0,13.0,515.8849597395093
14.0,613.0,14.0,487.04638605139564
15.0,319.0,15.0,461.44310903086404
16.0,534.0,16.0,438.55055293667783
17.0,531.0,17.0,417.9526122675641
18.0,384.0,18.0,399.314870483641
19.0,188.0,19.0,382.36540213886883
20.0,249.0,20.0,366.8807613674004
21.0,423.0,21.0,352.675589365166
22.0,376.0,22.0,339.5947931935206
23.0,375.0,23.0,327.5075815801872
24.0,402.0,24.0,316.30286185557037
25.0,210.0,25.0,305.8856481470669
26.0,263.0,26.0,296.17423025029336
27.0,121.0,27.0,287.09792123979986
28.0,47.0,28.0,278.5952500471427
29.0,13.0,29.0,270.6124994974376
30.0,9.0,30.0,263.10251498059455
31.0,782.0,31.0,256.02372692847763
32.0,117.0,32.0,249.33934353176525
33.0,4.0,33.0,243.0166800052226
34.0,313.0,34.0,237.02659813324547
35.0,262.0,35.0,231.34303545774304
36.0,120.0,36.0,225.9426077767717
37.0,588.0,37.0,220.80427194220738
38.0,175.0,38.0,215.90903852325096
39.0,191.0,39.0,211.23972591938082
40.0,14.0,40.0,206.78074909436683
41.0,30.0,41.0,202.5179373612178
42.0,732.0,42.0,198.43837665088253
43.0,189.0,43.0,194.53027250151754
44.0,117.0,44.0,190.78283065312044
45.0,206.0,45.0,187.18615265726802
46.0,222.0,46.0,183.73114433904578
47.0,306.0,47.0,180.40943529777846
48.0,255.0,48.0,177.2133079203284
49.0,352.0,49.0,174.13563461764818
50.0,340.0,50.0,171.16982219155577
51.0,28.0,51.0,168.3097624019428
52.0,80.0,52.0,165.54978794090886
53.0,96.0,53.0,162.88463313449924
54.0,77.0,54.0,160.30939878872132
55.0,32.0,55.0,157.8195206774974
56.0,188.0,56.0,155.41074123874353
57.0,312.0,57.0,153.07908410293896
58.0,197.0,58.0,150.82083112808235
59.0,62.0,59.0,148.63250165722292
60.0,82.0,60.0,146.51083375096695
61.0,70.0,61.0,144.45276717844754
62.0,32.0,62.0,142.45542797700466
63.0,172.0,63.0,140.51611441391142
64.0,90.0,64.0,138.63228420345425
65.0,0.0,65.0,136.8015428499897
66.0,524.0,66.0,135.0216330026464
67.0,0.0,67.0,133.29042472044392
68.0,0.0,68.0,131.6059065580341
69.0,372.0,69.0,129.96617739227182
70.0,61.0,70.0,128.36943891858382
71.0,0.0,71.0,126.81398875379655
72.0,137.0,72.0,125.29821408885245
73.0,0.0,73.0,123.82058584080568
74.0,497.0,74.0,122.37965325875332
75.0,216.0,75.0,120.97403894301266
76.0,193.0,76.0,119.60243424097905
77.0,270.0,77.0,118.26359498675741
78.0,165.0,78.0,116.95633755491096
79.0,328.0,79.0,115.67953520156607
80.0,79.0,80.0,114.43211466868968
81.0,403.0,81.0,113.21305302966005
82.0,57.0,82.0,112.02137475630894
83.0,245.0,83.0,110.85614898945705
84.0,138.0,84.0,109.71648699661596
85.0,166.0,85.0,108.60153980201314
86.0,166.0,86.0,107.51049597542962
