t,q,t_model,q_model
2008-09-01,5811.0,2008-10-01,6395.390277587173
2008-10-01,6381.0,2008-11-01,3417.0616942786196
2008-11-01,3258.0,2008-12-01,2369.547058969863
2008-12-01,2726.0,2009-01-01,1827.8076451673535
2009-01-01,2575.0,2009-02-01,1494.5665658254384
2009-02-01,1090.0,2009-03-01,1267.962952634232
2009-03-01,989.0,2009-04-01,1103.4176887771248
2009-04-01,892.0,2009-05-01,978.2580210270783
2009-05-01,1159.0,2009-06-01,879.7050450849083
2009-06-01,744.0,2009-07-01,799.9948423931864
2009-07-01,559.0,2009-08-01,734.1317354375401
2009-08-01,422.0,2009-09-01,678.7520324132512
2009-09-01,648.0,2009-10-01,631.505951421177
2009-10-01,471.0,2009-11-01,590.7011817065005
2009-11-01,828.0,2009-12-01,555.0872251110711
2009-12-01,402.0,2010-01-01,523.7195694045598
2010-01-01,613.0,2010-02-01,495.87117270143517
2010-02-01,319.0,2010-03-01,470.97306065941257
2010-03-01,534.0,2010-04-01,448.57342956228587
2010-04-01,531.0,2010-05-01,428.308851086488
2010-05-01,384.0,2010-06-01,409.8835908349533
2010-06-01,188.0,2010-07-01,393.054488757611
2010-07-01,249.0,2010-08-01,377.6197284378554
2010-08-01,423.0,2010-09-01,363.4103743367744
2010-09-01,376.0,2010-10-01,350.2839111635737
2010-10-01,375.0,2010-11-01,338.1192527845806
2010-11-01,402.0,2010-12-01,326.81284426827165
2010-12-01,210.0,2011-01-01,316.2755870955564
2011-01-01,263.0,2011-02-01,306.4303912637618
2011-02-01,121.0,2011-03-01,297.2102098032244
2011-03-01,47.0,2011-04-01,288.5564481176076
2011-04-01,13.0,2011-05-01,280.41766717098926
2011-05-01,9.0,2011-06-01,272.74851896621476
2011-06-01,782.0,2011-07-01,265.50886708745116
2011-07-01,117.0,2011-08-01,258.6630557584223
2011-08-01,4.0,2011-09-01,252.1792989018784
2011-09-01,313.0,2011-10-01,246.02916678420704
2011-10-01,262.0,2011-11-01,240.18715249683518
2011-11-01,120.0,2011-12-01,234.6303041269422
2011-12-01,588.0,2012-01-01,229.33791126844122
2012-01-01,175.0,2012-02-01,224.29123671425347
2012-02-01,191.0,2012-03-01,219.47328589619886
2012-03-01,14.0,2012-04-01,214.86860800651493
2012-04-01,30.0,2012-05-01,210.4631238256762
2012-05-01,732.0,2012-06-01,206.243976155835
2012-06-01,189.0,2012-07-01,202.199399464408
2012-07-01,117.0,2012-08-01,198.31860591381536
2012-08-01,206.0,2012-09-01,194.5916854187679
2012-09-01,222.0,2012-10-01,191.00951775324629
2012-10-01,306.0,2012-11-01,187.5636950422093
2012-11-01,255.0,2012-12-01,184.24645323129047
2012-12-01,352.0,2013-01-01,181.05061134171794
2013-01-01,340.0,2013-02-01,177.96951749569115
2013-02-01,28.0,2013-03-01,174.99700084607898
2013-03-01,80.0,2013-04-01,172.12732866885506
2013-04-01,96.0,2013-05-01,169.3551679814189
2013-05-01,77.0,2013-06-01,166.67555113831696
2013-06-01,32.0,2013-07-01,164.0838449306649
2013-07-01,188.0,2013-08-01,161.57572277906957
2013-08-01,312.0,2013-09-01,159.14713966391525
2013-09-01,197.0,2013-10-01,156.79430948304986
2013-10-01,62.0,2013-11-01,154.51368456644258
2013-11-01,82.0,2013-12-01,152.3019371113302
2013-12-01,70.0,2014-01-01,150.15594233058863
2014-01-01,32.0,2014-02-01,148.07276313228175
2014-02-01,172.0,2014-03-01,146.04963617015247
2014-03-01,90.0,2014-04-01,144.0839591237303
2014-04-01,0.0,2014-05-01,142.1732790831662
2014-05-01,524.0,2014-06-01,140.31528192821665
2014-06-01,0.0,2014-07-01,138.50778260328937
