t,q,t_model,q_model
0.0,2197.0,0.0,2197.0
1.0,1146.0,1.0,2066.672737009778
2.0,690.0,2.0,1950.0097841054542
3.0,554.0,3.0,1845.0138845882536
4.0,40.0,4.0,1750.0549518414266
5.0,0.0,5.0,1663.7899077020008
6.0,456.0,6.0,1585.1025621015442
7.0,942.0,7.0,1513.057937889978
8.0,2418.0,8.0,1446.8671585753889
9.0,1231.0,9.0,1385.86016270287
10.0,1164.0,10.0,1329.4642881340353
11.0,1137.0,11.0,1277.1873081564243
12.0,1749.0,12.0,1228.6038790023247
13.0,1365.0,13.0,1183.3446266848366
14.0,840.0,14.0,1141.087294089232
15.0,519.0,15.0,1101.5495097287549
16.0,665.0,16.0,1064.482842900128
17.0,886.0,17.0,1029.6678867435348
18.0,818.0,18.0,996.9101682882864
19.0,676.0,19.0,966.0367281293633
20.0,660.0,20.0,936.8932456159318
21.0,501.0,21.0,909.3416109879943
22.0,405.0,22.0,883.2578656917816
23.0,606.0,23.0,858.5304475440171
24.0,231.0,24.0,835.0586895374589
25.0,436.0,25.0,812.7515306575552
26.0,416.0,26.0,791.5264046918877
27.0,324.0,27.0,771.3082790979093
28.0,293.0,28.0,752.0288208832471
29.0,309.0,29.0,733.6256704014056
30.0,172.0,30.0,716.0418071705061
31.0,238.0,31.0,699.22499443599
32.0,316.0,32.0,683.1272913386773
33.0,124.0,33.0,667.7046233102687
34.0,280.0,34.0,652.9164027726059
35.0,0.0,35.0,638.7251934228367
36.0,359.0,36.0,625.0964123902515
37.0,290.0,37.0,611.9980653889074
38.0,110.0,38.0,599.400510692883
39.0,179.0,39.0,587.2762483520289
40.0,444.0,40.0,575.5997315647463
41.0,190.0,41.0,564.3471975463771
42.0,48.0,42.0,553.4965155900755
43.0,451.0,43.0,543.0270503220474
44.0,280.0,44.0,532.9195384134446
45.0,238.0,45.0,523.1559772341133
46.0,186.0,46.0,513.7195241246999
47.0,214.0,47.0,504.5944051282244
48.0,153.0,48.0,495.76583216419573
49.0,169.0,49.0,487.2199277510841
50.0,71.0,50.0,478.9436564893136
51.0,158.0,51.0,470.9247626092943
52.0,414.0,52.0,463.1517129693929
53.0,339.0,53.0,455.61364495883157
54.0,69.0,54.0,448.30031882176127
55.0,385.0,55.0,441.20207397238477
56.0,105.0,56.0,434.3097889180484
57.0,228.0,57.0,427.61484444857365
58.0,92.0,58.0,421.10908978649775
59.0,452.0,59.0,414.7848114249991
60.0,147.0,60.0,408.6347044086527
61.0,163.0,61.0,402.6518458372551
62.0,387.0,62.0,396.82967039521407
63.0,191.0,63.0,391.1619477287427
64.0,129.0,64.0,385.6427615106651
65.0,158.0,65.0,380.2664900482722
66.0,288.0,66.0,375.02778830361524
67.0,207.0,67.0,369.9215712080708
68.0,184.0,68.0,364.94299816415327
69.0,155.0,69.0,360.08745863751255
70.0,110.0,70.0,355.35055875100227
71.0,147.0,71.0,350.7281088007257
72.0,459.0,72.0,346.2161116211792
73.0,227.0,73.0,341.8107517331122
74.0,172.0,74.0,337.5083852135645
75.0,51.0,75.0,333.3055302328294
76.0,360.0,76.0,329.1988582078481
77.0,32.0,77.0,325.18518552586096
78.0,477.0,78.0,321.2614657960335
79.0,192.0,79.0,317.424782590317
80.0,295.0,80.0,313.6723426380065
81.0,0.0,81.0,310.00146944137316
82.0,259.0,82.0,306.4095972823923
83.0,170.0,83.0,302.894265592999
84.0,189.0,84.0,299.45311366349426
85.0,162.0,85.0,296.083875665725
86.0,121.0,86.0,292.7843759694841
87.0,154.0,87.0,289.5525247322441
88.0,125.0,88.0,286.38631374385886
89.0,185.0,89.0,283.28381250926253
90.0,116.0,90.0,280.2431645534685
