t,q,t_model,q_model
2007-02-01,7444.0,2007-04-01,4938.3022124004065
2007-03-01,3168.0,2007-05-01,1998.7974966803047
2007-04-01,4945.0,2007-06-01,1456.7739322398959
2007-05-01,2197.0,2007-07-01,1196.8702363135765
2007-06-01,1146.0,2007-08-01,1037.468748926237
2007-07-01,690.0,2007-09-01,927.182985736024
2007-08-01,554.0,2007-10-01,845.1558025741421
2007-09-01,40.0,2007-11-01,781.1209006445569
2007-10-01,0.0,2007-12-01,729.3656379640787
2007-11-01,456.0,2008-01-01,686.427199935085
2007-12-01,942.0,2008-02-01,650.0692166604689
2008-01-01,2418.0,2008-03-01,618.7749725471228
2008-02-01,1231.0,2008-04-01,591.4749598912499
2008-03-01,1164.0,2008-05-01,567.3906633369148
2008-04-01,1137.0,2008-06-01,545.9402038875526
2008-05-01,1749.0,2008-07-01,526.6788448063479
2008-06-01,1365.0,2008-08-01,509.2600997659198
2008-07-01,840.0,2008-09-01,493.40951395376663
2008-08-01,519.0,2008-10-01,478.9065125596039
2008-09-01,665.0,2008-11-01,465.5715396106727
2008-10-01,886.0,2008-12-01,453.25675737246405
2008-11-01,818.0,2009-01-01,441.83919769900524
2008-12-01,676.0,2009-02-01,431.2156366780402
2009-01-01,660.0,2009-03-01,421.2987027672523
2009-02-01,501.0,2009-04-01,412.0138824691276
2009-03-01,405.0,2009-05-01,403.29718888778274
2009-04-01,606.0,2009-06-01,395.0933265378404
2009-05-01,231.0,2009-07-01,387.35423228902266
2009-06-01,436.0,2009-08-01,380.03790466029454
2009-07-01,416.0,2009-09-01,373.1074564896364
2009-08-01,324.0,2009-10-01,366.5303423261108
2009-09-01,293.0,2009-11-01,360.277723717198
2009-10-01,309.0,2009-12-01,354.32394423591956
2009-11-01,172.0,2010-01-01,348.6460925208124
2009-12-01,238.0,2010-02-01,343.2236364164975
2010-01-01,316.0,2010-03-01,338.03811494314016
2010-02-01,124.0,2010-04-01,333.07287760054095
2010-03-01,280.0,2010-05-01,328.31286264937273
2010-04-01,0.0,2010-06-01,323.74440766895174
2010-05-01,359.0,2010-07-01,319.3550869852371
2010-06-01,290.0,2010-08-01,315.13357158091696
2010-07-01,110.0,2010-09-01,311.0695079056802
2010-08-01,179.0,2010-10-01,307.15341264719945
2010-09-01,444.0,2010-11-01,303.37658103828664
2010-10-01,190.0,2010-12-01,299.73100669075114
2010-11-01,48.0,2011-01-01,296.20931128285065
2010-12-01,451.0,2011-02-01,292.8046827011919
2011-01-01,280.0,2011-03-01,289.5108204621653
2011-02-01,238.0,2011-04-01,286.32188742236275
2011-03-01,186.0,2011-05-01,283.23246693969236
2011-04-01,214.0,2011-06-01,280.2375247731808
2011-05-01,153.0,2011-07-01,277.33237511460544
2011-06-01,169.0,2011-08-01,274.5126502329984
2011-07-01,71.0,2011-09-01,271.77427328680983
2011-08-01,158.0,2011-10-01,269.1134339206148
2011-09-01,414.0,2011-11-01,266.5265663157112
