t,q,t_model,q_model
0.0,1360.0,0.0,1360.0
1.0,1347.0,1.0,835.4675012703404
2.0,1151.0,2.0,753.5747539336245
3.0,987.0,3.0,708.8758266893832
4.0,741.0,4.0,678.6247679688848
5.0,539.0,5.0,655.9891835523141
6.0,497.0,6.0,638.0245847112359
7.0,599.0,7.0,623.2020951548284
8.0,482.0,8.0,610.62971699141
9.0,459.0,9.0,599.7433843346964
10.0,25.0,10.0,590.1646447814092
11.0,952.0,11.0,581.6277685567468
12.0,568.0,12.0,573.9393225116976
13.0,556.0,13.0,566.9543102419552
14.0,402.0,14.0,560.5613667041243
15.0,549.0,15.0,554.6731846809294
16.0,402.0,16.0,549.2201066126207
17.0,446.0,17.0,544.1457071695605
18.0,109.0,18.0,539.4036699515397
19.0,186.0,19.0,534.9555298839559
20.0,958.0,20.0,530.7690093757037
21.0,338.0,21.0,526.8167707989105
22.0,184.0,22.0,523.0754666478323
23.0,628.0,23.0,519.5250063047711
24.0,556.0,24.0,516.147982924016
25.0,238.0,25.0,512.9292203762488
26.0,557.0,26.0,509.855411391887
27.0,426.0,27.0,506.91482580493215
28.0,352.0,28.0,504.09707326803056
29.0,310.0,29.0,501.39290871906314
30.0,507.0,30.0,498.7940717120866
31.0,263.0,31.0,496.2931528031135
32.0,380.0,32.0,493.88348172274783
33.0,173.0,33.0,491.5590332236407
34.0,434.0,34.0,489.3143473661652
35.0,365.0,35.0,487.1444616748355
36.0,909.0,36.0,485.044853113876
37.0,458.0,37.0,483.0113882312958
38.0,300.0,38.0,481.0402801348405
39.0,2.0,39.0,479.1280512108743
40.0,23.0,40.0,477.27150069393576
41.0,837.0,41.0,475.46767635190406
42.0,4.0,42.0,473.7138496780973
43.0,0.0,43.0,472.00749408382114
44.0,481.0,44.0,470.3462656679753
45.0,1100.0,45.0,468.7279862082229
46.0,619.0,46.0,467.15062807398976
47.0,500.0,47.0,465.61230080756394
48.0,514.0,48.0,464.11123915769247
49.0,451.0,49.0,462.64579238180175
50.0,75.0,50.0,461.21441465948305
51.0,821.0,51.0,459.81565648212626
52.0,647.0,52.0,458.44815690231667
53.0,520.0,53.0,457.1106365424316
54.0,460.0,54.0,455.80189127529445
55.0,593.0,55.0,454.52078650116
56.0,391.0,56.0,453.26625195504363
57.0,826.0,57.0,452.0372769867483
58.0,541.0,58.0,450.8329062630984
59.0,547.0,59.0,449.65223584805506
60.0,428.0,60.0,448.4944096217045
61.0,0.0,61.0,447.35861600371567
62.0,968.0,62.0,446.24408495085925
63.0,670.0,63.0,445.1500852016516
64.0,539.0,64.0,444.07592174421904
65.0,557.0,65.0,443.02093348612374
66.0,527.0,66.0,441.9844911072088
67.0,549.0,67.0,440.96599507855717
68.0,360.0,68.0,439.96487383244494
69.0,330.0,69.0,438.98058206974747
70.0,70.0,70.0,438.0125991926485
71.0,254.0,71.0,437.0604278517323
72.0,398.0,72.0,436.12359259762997
73.0,607.0,73.0,435.2016386283606
74.0,463.0,74.0,434.294130624367
75.0,246.0,75.0,433.4006516640136
76.0,540.0,76.0,432.52080221299923
77.0,588.0,77.0,431.6541991817475
78.0,338.0,78.0,430.800475045385
79.0,17.0,79.0,429.9592770214085
80.0,916.0,80.0,429.130266300583
81.0,433.0,81.0,428.3131173270054
82.0,602.0,82.0,427.5075171236291
83.0,454.0,83.0,426.71316465986183
84.0,458.0,84.0,425.929770258141
85.0,440.0,85.0,425.1570550366514
86.0,354.0,86.0,424.3947503855885
87.0,383.0,87.0,423.64259747458345
88.0,357.0,88.0,422.9003467891003
89.0,375.0,89.0,422.1677576937961
90.0,274.0,90.0,421.44459802098936
91.0,292.0,91.0,420.7306436825343
92.0,317.0,92.0,420.0256783035272
93.0,408.0,93.0,419.32949287639497
94.0,319.0,94.0,418.6418854340262
95.0,387.0,95.0,417.962660740706
96.0,350.0,96.0,417.2916299997088
97.0,368.0,97.0,416.6286105764882
98.0,313.0,98.0,415.97342573648086
99.0,351.0,99.0,415.3259043966123
100.0,363.0,100.0,414.6858808896583
101.0,326.0,101.0,414.05319474067517
102.0,276.0,102.0,413.42769045476933
103.0,319.0,103.0,412.8092173155248
104.0,285.0,104.0,412.19762919345624
105.0,298.0,105.0,411.59278436389786
106.0,280.0,106.0,410.9945453337788
107.0,279.0,107.0,410.4027786767708
108.0,300.0,108.0,409.8173548763316
109.0,323.0,109.0,409.2381481761937
110.0,288.0,110.0,408.6650364378843
111.0,277.0,111.0,408.0979010048813
112.0,159.0,112.0,407.53662657304284
113.0,312.0,113.0,406.98110106696566
114.0,250.0,114.0,406.4312155219516
115.0,173.0,115.0,405.8868639712814
116.0,626.0,116.0,405.34794333851335
117.0,215.0,117.0,404.8143533345412
118.0,0.0,118.0,404.2859963591623
119.0,1134.0,119.0,403.7627774069237
120.0,1844.0,120.0,403.24460397702256
121.0,1842.0,121.0,402.731385987058
122.0,1011.0,122.0,402.22303569043703
123.0,1413.0,123.0,401.7194675972518
124.0,1404.0,124.0,401.22059839845554
125.0,506.0,125.0,400.726346893174
126.0,840.0,126.0,400.2366339189998
127.0,598.0,127.0,399.75138228512236
128.0,845.0,128.0,399.2705167081601
129.0,412.0,129.0,398.793963750562
130.0,495.0,130.0,398.3216517614597
131.0,123.0,131.0,397.8535108198524
132.0,349.0,132.0,397.3894726800166
133.0,144.0,133.0,396.9294707190375
134.0,419.0,134.0,396.47343988636385
135.0,388.0,135.0,396.02131665529373
136.0,707.0,136.0,395.5730389763044
137.0,207.0,137.0,395.1285462321425
138.0,130.0,138.0,394.68777919459563
139.0,444.0,139.0,394.2506799828716
140.0,420.0,140.0,393.81719202351377
141.0,373.0,141.0,393.38726001178554
142.0,330.0,142.0,392.96082987445976
143.0,271.0,143.0,392.5378487339533
144.0,374.0,144.0,392.11826487374805
145.0,329.0,145.0,391.7020277050445
146.0,156.0,146.0,391.2890877345954
147.0,285.0,147.0,390.87939653367016
148.0,49.0,148.0,390.47290670810236
149.0,176.0,149.0,390.0695718693762
,,150.0,389.6693466067092
,,151.0,389.2721864600892
,,152.0,388.8780478942288
,,153.0,388.4868882733986
,,154.0,388.0986658371053
,,155.0,387.7133396765796
,,156.0,387.3308697120444
,,157.0,386.95121667072834
,,158.0,386.5743420656014
,,159.0,386.2002081747985
,,160.0,385.82877802170947
,,161.0,385.46001535570673
,,162.0,385.0938846334879
,,163.0,384.73035100100964
,,164.0,384.3693802759908
,,165.0,384.01093893096254
,,166.0,383.65499407684683
,,167.0,383.30151344704205
,,168.0,382.95046538199875
,,169.0,382.6018188142658
,,170.0,382.25554325399185
,,171.0,381.91160877486396
,,172.0,381.5699860004692
,,173.0,381.2306460910626
,,174.0,380.8935607307287
,,175.0,380.55870211492135
,,176.0,380.2260429383694
,,177.0,379.8955563833355
,,178.0,379.56721610821523
,,179.0,379.2409962364654
,,180.0,378.91687134584976
,,181.0,378.5948164579919
,,182.0,378.2748070282243
,,183.0,377.956818935724
,,184.0,377.6408284739251
,,185.0,377.3268123411988
,,186.0,377.01474763179226
,,187.0,376.7046118270179
,,188.0,376.39638278668434
,,189.0,376.0900387407615
