t,q,t_model,q_model
2010-09-01,1570.0,2021-01-01,1788.0237902574715
2010-10-01,5378.0,2021-02-01,1371.0967115307808
2010-11-01,6107.0,2021-03-01,1120.7825003228104
2010-12-01,1360.0,2021-04-01,952.6379803081702
2011-01-01,1347.0,2021-05-01,831.3330335423251
2011-02-01,1151.0,2021-06-01,739.3781155366731
2011-03-01,987.0,2021-07-01,667.0878746953324
2011-04-01,741.0,2021-08-01,608.6485763051925
2011-05-01,539.0,2021-09-01,560.3512868211377
2011-06-01,497.0,2021-10-01,519.7141505278676
2011-07-01,599.0,2021-11-01,485.01128866096377
2011-08-01,482.0,2021-12-01,455.0038975026937
2011-09-01,459.0,2022-01-01,428.77885671308104
2011-10-01,25.0,2022-02-01,405.64772878272737
2011-11-01,952.0,2022-03-01,385.0812759243383
2011-12-01,568.0,2022-04-01,366.6656966163679
2012-01-01,556.0,2022-05-01,350.0725976788957
2012-02-01,402.0,2022-06-01,335.037910243905
2012-03-01,549.0,2022-07-01,321.3467809505527
2012-04-01,402.0,2022-08-01,308.82254684562935
2012-05-01,446.0,2022-09-01,297.31855842787905
2012-06-01,109.0,2022-10-01,286.7120256039904
2012-07-01,186.0,2022-11-01,276.8993242463215
2012-08-01,958.0,2022-12-01,267.7923732008611
2012-09-01,338.0,2023-01-01,259.3158065548705
2012-10-01,184.0,2023-02-01,251.40474412368178
2012-11-01,628.0,2023-03-01,244.00301711692165
2012-12-01,556.0,2023-04-01,237.0617438219293
2013-01-01,238.0,2023-05-01,230.53817707982296
2013-02-01,557.0,2023-06-01,224.3947647333127
2013-03-01,426.0,2023-07-01,218.5983783685195
2013-04-01,352.0,2023-08-01,213.1196760959832
2013-05-01,310.0,2023-09-01,207.9325728765097
2013-06-01,507.0,2023-10-01,203.01379773129116
2013-07-01,263.0,2023-11-01,198.34252160072828
2013-08-01,380.0,2023-12-01,193.90004300120313
2013-09-01,173.0,2024-01-01,189.66952123881617
2013-10-01,434.0,2024-02-01,185.63574896636734
2013-11-01,365.0,2024-03-01,181.78495745578354
2013-12-01,909.0,2024-04-01,178.1046492071521
2014-01-01,458.0,2024-05-01,174.58345350533676
2014-02-01,300.0,2024-06-01,171.2110013243034
2014-03-01,2.0,2024-07-01,167.97781661203726
2014-04-01,23.0,2024-08-01,164.87522149903302
2014-05-01,837.0,2024-09-01,161.89525338668307
2014-06-01,4.0,2024-10-01,159.03059220847635
2014-07-01,0.0,2024-11-01,156.27449643228752
2014-08-01,481.0,2024-12-01,153.62074659833218
2014-09-01,1100.0,2025-01-01,151.06359537412536
2014-10-01,619.0,2025-02-01,148.59772326254998
2014-11-01,500.0,2025-03-01,146.21819922790158
2014-12-01,514.0,2025-04-01,143.92044561230102
2015-01-01,451.0,2025-05-01,141.70020680498288
2015-02-01,75.0,2025-06-01,139.5535212027587
2015-03-01,821.0,2025-07-01,137.47669606390502
2015-04-01,647.0,2025-08-01,135.46628491186644
2015-05-01,520.0,2025-09-01,133.51906719113373
2015-06-01,460.0,2025-10-01,131.6320299168117
2015-07-01,593.0,2025-11-01,129.80235109283132
2015-08-01,391.0,2025-12-01,128.02738470240547
2015-09-01,826.0,2026-01-01,126.30464709892368
2015-10-01,541.0,2026-02-01,124.63180464666142
2015-11-01,547.0,2026-03-01,123.00666247895983
2015-12-01,428.0,2026-04-01,121.42715425734924
2016-01-01,0.0,2026-05-01,119.89133282880772
2016-02-01,968.0,2026-06-01,118.39736169026972
2016-03-01,670.0,2026-07-01,116.94350717988746
2016-04-01,539.0,2026-08-01,115.52813132361536
2016-05-01,557.0,2026-09-01,114.14968527362097
2016-06-01,527.0,2026-10-01,112.80670328197856
2016-07-01,549.0,2026-11-01,111.49779715920782
2016-08-01,360.0,2026-12-01,110.22165117259422
2016-09-01,330.0,2027-01-01,108.97701734396223
2016-10-01,70.0,2027-02-01,107.76271111075688
2016-11-01,254.0,2027-03-01,106.57760731798749
2016-12-01,398.0,2027-04-01,105.42063651186601
2017-01-01,607.0,2027-05-01,104.29078150888299
2017-02-01,463.0,2027-06-01,103.1870742166489
2017-03-01,246.0,2027-07-01,102.10859268513272
2017-04-01,540.0,2027-08-01,101.05445836898211
2017-05-01,588.0,2027-09-01,100.02383358344343
2017-06-01,338.0,2027-10-01,99.01591913803937
2017-07-01,17.0,2027-11-01,98.02995213362982
2017-08-01,916.0,2027-12-01,97.06520390979927
2017-09-01,433.0,2028-01-01,96.12097813069484
2017-10-01,602.0,2028-02-01,95.1966089985032
2017-11-01,454.0,2028-03-01,94.29145958471105
2017-12-01,458.0,2028-04-01,93.40492027015559
2018-01-01,440.0,2028-05-01,92.53640728565131
2018-02-01,354.0,2028-06-01,91.68536134568066
2018-03-01,383.0,2028-07-01,90.85124636827379
2018-04-01,357.0,2028-08-01,90.03354827477759
2018-05-01,375.0,2028-09-01,89.23177386373683
2018-06-01,274.0,2028-10-01,88.4454497535838
2018-07-01,292.0,2028-11-01,87.67412138926343
2018-08-01,317.0,2028-12-01,86.9173521083125
2018-09-01,408.0,2029-01-01,86.17472226226772
2018-10-01,319.0,2029-02-01,85.44582838960213
2018-11-01,387.0,2029-03-01,84.7302824366861
2018-12-01,350.0,2029-04-01,84.02771102353866
2019-01-01,368.0,2029-05-01,83.33775475138293
2019-02-01,313.0,2029-06-01,82.66006754924504
2019-03-01,351.0,2029-07-01,81.99431605704275
2019-04-01,363.0,2029-08-01,81.34017904279995
2019-05-01,326.0,2029-09-01,80.69734685179694
2019-06-01,276.0,2029-10-01,80.06552088562576
2019-07-01,319.0,2029-11-01,79.44441310926697
2019-08-01,285.0,2029-12-01,78.83374558443853
2019-09-01,298.0,2030-01-01,78.23325002759172
2019-10-01,280.0,2030-02-01,77.64266739104323
2019-11-01,279.0,2030-03-01,77.06174746583767
2019-12-01,300.0,2030-04-01,76.49024850503176
2020-01-01,323.0,2030-05-01,75.92793686618117
2020-02-01,288.0,2030-06-01,75.37458667189351
2020-03-01,277.0,2030-07-01,74.82997948738736
2020-04-01,159.0,2030-08-01,74.29390401406815
2020-05-01,312.0,2030-09-01,73.76615579819692
2020-06-01,250.0,2030-10-01,73.24653695378852
2020-07-01,173.0,2030-11-01,72.73485589893214
2020-08-01,626.0,2030-12-01,72.23092710477893
2020-09-01,215.0,2031-01-01,71.73457085648987
2020-10-01,0.0,2031-02-01,71.24561302548184
2020-11-01,1134.0,2031-03-01,70.76388485235164
2020-12-01,1844.0,2031-04-01,70.28922273989615
2021-01-01,1842.0,2031-05-01,69.82146805568311
2021-02-01,1011.0,2031-06-01,69.36046694366063
2021-03-01,1413.0,2031-07-01,68.90607014432413
2021-04-01,1404.0,2031-08-01,68.45813282298941
2021-05-01,506.0,2031-09-01,68.01651440574703
2021-06-01,840.0,2031-10-01,67.58107842269854
2021-07-01,598.0,2031-11-01,
2021-08-01,845.0,2031-12-01,
2021-09-01,412.0,2032-01-01,
2021-10-01,495.0,2032-02-01,
2021-11-01,123.0,2032-03-01,
2021-12-01,349.0,2032-04-01,
2022-01-01,144.0,2032-05-01,
2022-02-01,419.0,2032-06-01,
2022-03-01,388.0,2032-07-01,
2022-04-01,707.0,2032-08-01,
2022-05-01,207.0,2032-09-01,
2022-06-01,130.0,2032-10-01,
2022-07-01,444.0,2032-11-01,
