t,q,t_model,q_model
0.0,647.0,0.0,648.8506424405354
1.0,392.0,1.0,365.03171924728537
2.0,331.0,2.0,299.41186515047355
3.0,226.0,3.0,264.8047576030678
4.0,254.0,4.0,242.19619133413624
5.0,86.0,5.0,225.7912244986951
6.0,232.0,6.0,213.11343593024824
7.0,7.0,7.0,202.89405445671864
8.0,347.0,8.0,194.40340325259484
9.0,299.0,9.0,187.18656762651023
10.0,253.0,10.0,180.942457917845
11.0,180.0,11.0,175.46237905689162
12.0,253.0,12.0,170.59625956322938
13.0,56.0,13.0,166.23289703787725
14.0,167.0,14.0,162.28780842850452
15.0,71.0,15.0,158.6954415919743
16.0,210.0,16.0,155.40400579886773
17.0,144.0,17.0,152.3719371698208
18.0,190.0,18.0,149.56541924700605
19.0,122.0,19.0,146.95660440610422
,,20.0,144.52231265386692
,,21.0,142.24306291230715
,,22.0,140.1023404950288
,,23.0,138.0860353664481
,,24.0,136.1820058732052
,,25.0,134.379735999031
,,26.0,132.67006325112126
,,27.0,131.044960533586
,,28.0,129.497359742819
,,29.0,128.0210079347718
,,30.0,126.61034916017397
,,31.0,125.2604267035017
,,32.0,123.96680167252963
,,33.0,122.72548478934002
,,34.0,121.53287891530766
,,35.0,120.38573036134767
,,36.0,119.28108743298554
,,37.0,118.21626496808341
,,38.0,117.18881386551003
,,39.0,116.19649479195913
,,40.0,115.23725540356084
,,41.0,114.30921053791128
,,42.0,113.41062492744972
,,43.0,112.53989806189982
,,44.0,111.69555088969493
,,45.0,110.87621409896329
,,46.0,110.0806177601054
,,47.0,109.30758214608365
,,48.0,108.55600957469994
,,49.0,107.82487714049428
,,50.0,107.11323022335215
,,51.0,106.42017667717776
,,52.0,105.74488161564726
,,53.0,105.08656272356056
,,54.0,104.44448603203632
,,55.0,103.81796210404435
,,56.0,103.20634258378904
,,57.0,102.60901706944811
,,58.0,102.02541027390144
,,59.0,101.45497944248595
