t,q,t_model,q_model
2021-04-01,1261.0,2021-10-01,648.8506424405354
2021-05-01,1464.0,2021-11-01,365.03171924728537
2021-06-01,0.0,2021-12-01,299.41186515047355
2021-07-01,3847.0,2022-01-01,264.8047576030678
2021-08-01,2623.0,2022-02-01,242.19619133413624
2021-09-01,2081.0,2022-03-01,225.7912244986951
2021-10-01,647.0,2022-04-01,213.11343593024824
2021-11-01,392.0,2022-05-01,202.89405445671864
2021-12-01,331.0,2022-06-01,194.40340325259484
2022-01-01,226.0,2022-07-01,187.18656762651023
2022-02-01,254.0,2022-08-01,180.942457917845
2022-03-01,86.0,2022-09-01,175.46237905689162
2022-04-01,232.0,2022-10-01,170.59625956322938
2022-05-01,7.0,2022-11-01,166.23289703787725
2022-06-01,347.0,2022-12-01,162.28780842850452
2022-07-01,299.0,2023-01-01,158.6954415919743
2022-08-01,253.0,2023-02-01,155.40400579886773
2022-09-01,180.0,2023-03-01,152.3719371698208
2022-10-01,253.0,2023-04-01,149.56541924700605
2022-11-01,56.0,2023-05-01,146.95660440610422
2022-12-01,167.0,2023-06-01,144.52231265386692
2023-01-01,71.0,2023-07-01,142.24306291230715
2023-02-01,210.0,2023-08-01,140.1023404950288
2023-03-01,144.0,2023-09-01,138.0860353664481
2023-04-01,190.0,2023-10-01,136.1820058732052
2023-05-01,122.0,2023-11-01,134.379735999031
,,2023-12-01,132.67006325112126
,,2024-01-01,131.044960533586
,,2024-02-01,129.497359742819
,,2024-03-01,128.0210079347718
,,2024-04-01,126.61034916017397
,,2024-05-01,125.2604267035017
,,2024-06-01,123.96680167252963
,,2024-07-01,122.72548478934002
,,2024-08-01,121.53287891530766
,,2024-09-01,120.38573036134767
,,2024-10-01,119.28108743298554
,,2024-11-01,118.21626496808341
,,2024-12-01,117.18881386551003
,,2025-01-01,116.19649479195913
,,2025-02-01,115.23725540356084
,,2025-03-01,114.30921053791128
,,2025-04-01,113.41062492744972
,,2025-05-01,112.53989806189982
,,2025-06-01,111.69555088969493
,,2025-07-01,110.87621409896329
,,2025-08-01,110.0806177601054
,,2025-09-01,109.30758214608365
,,2025-10-01,108.55600957469994
,,2025-11-01,107.82487714049428
,,2025-12-01,107.11323022335215
,,2026-01-01,106.42017667717776
,,2026-02-01,105.74488161564726
,,2026-03-01,105.08656272356056
,,2026-04-01,104.44448603203632
,,2026-05-01,103.81796210404435
,,2026-06-01,103.20634258378904
,,2026-07-01,102.60901706944811
,,2026-08-01,102.02541027390144
,,2026-09-01,101.45497944248595
