t,q,t_model,q_model
0.0,0.0,0.0,42.98505603667707
1.0,23.0,1.0,42.72317953572504
2.0,0.0,2.0,42.45463821951827
3.0,103.0,3.0,42.17903841477263
4.0,72.0,4.0,41.89594906054724
5.0,15.0,5.0,41.604896720586865
6.0,86.0,6.0,41.305359724606994
7.0,64.0,7.0,40.99676124775433
8.0,14.0,8.0,40.67846108656548
9.0,20.0,9.0,40.34974582261464
10.0,0.0,10.0,40.00981697560528
11.0,47.0,11.0,39.65777662718691
12.0,69.0,12.0,39.292609832547335
13.0,47.0,13.0,38.91316291003159
14.0,0.0,14.0,38.51811638139121
15.0,169.0,15.0,38.105950883483146
16.0,45.0,16.0,37.67490371873154
17.0,0.0,17.0,37.22291274861932
18.0,24.0,18.0,36.74754288571554
19.0,11.0,19.0,36.24588820965898
20.0,10.0,20.0,35.7144392101487
21.0,65.0,21.0,35.14889893214564
22.0,80.0,22.0,34.543922170035586
23.0,33.0,23.0,33.89273504218044
24.0,15.0,24.0,33.1865615755173
25.0,0.0,25.0,32.41372485282253
26.0,22.0,26.0,31.558169201995536
27.0,23.0,27.0,30.596881834632878
28.0,0.0,28.0,29.49503803660759
29.0,67.0,29.0,28.195879757538922
,,30.0,26.596337125846645
,,31.0,24.473498145642996
,,32.0,21.145506531983134
,,33.0,
,,34.0,
,,35.0,
,,36.0,
,,37.0,
,,38.0,
,,39.0,
,,40.0,
,,41.0,
,,42.0,
,,43.0,
,,44.0,
,,45.0,
,,46.0,
,,47.0,
,,48.0,
,,49.0,
,,50.0,
,,51.0,
,,52.0,
,,53.0,
,,54.0,
,,55.0,
,,56.0,
,,57.0,
,,58.0,
,,59.0,
,,60.0,
,,61.0,
,,62.0,
,,63.0,
,,64.0,
,,65.0,
,,66.0,
,,67.0,
,,68.0,
,,69.0,
