t,q,t_model,q_model
0.0,58.0,0.0,58.0
1.0,52.0,1.0,43.216231277930156
2.0,26.0,2.0,38.99886602058065
3.0,34.0,3.0,36.58949526636195
4.0,48.0,4.0,34.93140728683596
5.0,31.0,5.0,33.68063216624114
6.0,69.0,6.0,32.6835368801942
7.0,10.0,7.0,31.85870370860682
8.0,50.0,8.0,31.15800239787185
9.0,20.0,9.0,30.550719655354666
10.0,38.0,10.0,30.016112877969842
11.0,45.0,11.0,29.539545738923163
12.0,11.0,12.0,29.110323560906995
13.0,21.0,13.0,28.720405839529377
14.0,39.0,14.0,28.36360242831905
15.0,13.0,15.0,28.035051177001797
16.0,16.0,16.0,27.73086684427198
17.0,34.0,17.0,27.44789824792061
18.0,18.0,18.0,27.183556063346256
19.0,2.0,19.0,26.935688045349604
20.0,53.0,20.0,26.70248687310647
21.0,0.0,21.0,26.482420927991214
22.0,14.0,22.0,26.274181505590015
23.0,0.0,23.0,26.0766420095439
24.0,12.0,24.0,25.888826017769702
25.0,15.0,25.0,25.709882011568794
26.0,79.0,26.0,25.53906317278439
27.0,7.0,27.0,25.37571108124604
28.0,37.0,28.0,25.219242446183806
29.0,0.0,29.0,25.06913822114757
30.0,26.0,30.0,24.924934608590675
31.0,0.0,31.0,24.786215575322608
32.0,18.0,32.0,24.65260658550077
33.0,0.0,33.0,24.523769321994326
34.0,126.0,34.0,24.399397215595656
35.0,0.0,35.0,24.27921163877142
36.0,16.0,36.0,24.162958649362245
37.0,84.0,37.0,24.05040619197903
38.0,8.0,38.0,23.941341682350963
39.0,52.0,39.0,23.835569913699782
40.0,2.0,40.0,23.732911235195555
41.0,20.0,41.0,23.633199961330423
42.0,68.0,42.0,23.536282978110638
43.0,0.0,43.0,23.44201851768209
44.0,15.0,44.0,23.350275077653045
45.0,5.0,45.0,23.260930465178163
46.0,44.0,46.0,23.173870948990057
47.0,7.0,47.0,23.088990505141517
48.0,43.0,48.0,23.006190144357998
49.0,18.0,49.0,22.925377310678197
50.0,25.0,50.0,22.84646534254755
,,51.0,22.76937298877655
,,52.0,22.694023972826784
,,53.0,22.62034659977539
,,54.0,22.5482734010618
,,55.0,22.47774081276146
,,56.0,22.40868888367823
,,57.0,22.341061010015263
,,58.0,22.27480369378639
,,59.0,22.20986632247609
,,60.0,22.146200967755018
,,61.0,22.083762201316787
,,62.0,22.02250692612612
,,63.0,21.96239422156381
,,64.0,21.903385201124184
,,65.0,21.84544288146951
,,66.0,21.788532061776124
,,67.0,21.732619212421444
,,68.0,21.67767237216154
,,69.0,21.62366105303767
,,70.0,21.570556152328393
,,71.0,21.518329870933005
,,72.0,21.46695563763365
,,73.0,21.41640803873754
,,74.0,21.366662752649592
,,75.0,21.317696488968462
,,76.0,21.26948693173786
,,77.0,21.222012686519093
,,78.0,21.175253230981852
,,79.0,21.12918886873755
,,80.0,21.083800686164555
,,81.0,21.039070511996744
,,82.0,20.994980879466887
,,83.0,20.951514990814474
,,84.0,20.90865668398382
,,85.0,20.86639040135303
,,86.0,20.824701160347836
,,87.0,20.78357452580615
,,88.0,20.742996583970413
,,89.0,20.70295391799451
,,90.0,20.663433584861227
