t,q,t_model,q_model
0.0,1037.0,0.0,1037.0
1.0,971.0,1.0,824.0284765047127
2.0,864.0,2.0,688.598900581027
3.0,635.0,3.0,594.2599909547678
4.0,500.0,4.0,524.4576636459897
5.0,434.0,5.0,470.54273581678683
6.0,464.0,6.0,427.5369698424543
7.0,391.0,7.0,392.3636999014175
8.0,365.0,8.0,363.01465071483483
9.0,374.0,9.0,338.12083468832964
10.0,429.0,10.0,316.7155415956518
11.0,301.0,11.0,298.095848639218
12.0,279.0,12.0,281.7378601430586
13.0,258.0,13.0,267.2427764951596
14.0,275.0,14.0,254.30142540008137
15.0,243.0,15.0,242.67026082963073
16.0,230.0,16.0,232.1547136623549
17.0,125.0,17.0,222.59738723609212
18.0,364.0,18.0,213.86952444519932
19.0,198.0,19.0,205.8647322383647
20.0,300.0,20.0,198.4942941623747
21.0,104.0,21.0,191.68361968505153
22.0,194.0,22.0,185.36952018169202
23.0,180.0,23.0,179.49809474020256
24.0,82.0,24.0,174.0230717438805
25.0,121.0,25.0,168.90449521209436
26.0,113.0,26.0,164.10767481637475
27.0,45.0,27.0,159.60233962530475
28.0,68.0,28.0,155.3619507540401
29.0,325.0,29.0,151.36313904861865
30.0,149.0,30.0,147.58524196173187
31.0,173.0,31.0,144.00991972094303
32.0,134.0,32.0,140.62083533664597
33.0,223.0,33.0,137.40338635398618
34.0,80.0,34.0,134.34447880964632
35.0,0.0,35.0,131.43233581762652
36.0,216.0,36.0,128.6563347273674
37.0,1.0,37.0,126.00686798176835
38.0,41.0,38.0,123.47522373209516
39.0,348.0,39.0,121.05348300101382
40.0,269.0,40.0,118.7344307686113
41.0,135.0,41.0,116.51147882289027
42.0,133.0,42.0,114.37859859137978
43.0,133.0,43.0,112.33026247372298
44.0,209.0,44.0,110.36139244141175
45.0,15.0,45.0,108.46731487188305
46.0,175.0,46.0,106.64372074904466
47.0,212.0,47.0,104.88663049806686
48.0,119.0,48.0,103.19236283456225
49.0,165.0,49.0,101.5575071015135
50.0,147.0,50.0,99.97889864502883
51.0,137.0,51.0,98.45359684502806
52.0,142.0,52.0,96.9788654715559
53.0,120.0,53.0,95.55215508341509
54.0,110.0,54.0,94.1710872246865
,,55.0,92.83344020766827
,,56.0,91.53713629879995
,,57.0,90.28023014805065
,,58.0,89.06089832270598
,,59.0,87.87742982403135
,,60.0,86.72821748037856
,,61.0,85.61175012330955
,,62.0,84.5266054645544
,,63.0,83.47144360136039
,,64.0,82.44500108624618
,,65.0,81.44608550453617
,,66.0,80.47357050946829
,,67.0,79.5263912702796
,,68.0,78.60354029358692
,,69.0,77.70406358269064
,,70.0,76.82705710322054
,,71.0,75.97166352688025
,,72.0,75.13706922799312
,,73.0,74.32250151015545
,,74.0,73.52722604260897
,,75.0,72.75054448798889
,,76.0,71.99179230491988
,,77.0,71.25033671054892
,,78.0,70.52557478954363
,,79.0,69.81693173736979
,,80.0,69.12385922681031
,,81.0,68.44583388771596
,,82.0,67.78235589089904
,,83.0,67.13294762790785
,,84.0,66.49715247916346
,,85.0,65.87453366360725
,,86.0,65.2646731636113
,,87.0,64.66717071944565
,,88.0,64.08164288808784
,,89.0,63.50772216160266
,,90.0,62.94505614072228
,,91.0,62.39330675961987
,,92.0,61.85214955820027
,,93.0,61.321272998530475
,,94.0,60.80037782230538
