t,q,t_model,q_model
2018-08-01,1657.0,2018-11-01,1110.044423236348
2018-09-01,1867.0,2018-12-01,882.0715669546772
2018-10-01,1540.0,2019-01-01,737.1025741915616
2018-11-01,1037.0,2019-02-01,636.1186006864248
2018-12-01,971.0,2019-03-01,561.3995224241033
2019-01-01,864.0,2019-04-01,503.6869236140775
2019-02-01,635.0,2019-05-01,457.65190848696534
2019-03-01,500.0,2019-06-01,420.00109638953563
2019-04-01,434.0,2019-07-01,388.5847527281515
2019-05-01,464.0,2019-08-01,361.93746087348063
2019-06-01,391.0,2019-09-01,339.02441726184463
2019-07-01,365.0,2019-10-01,319.0931864723919
2019-08-01,374.0,2019-11-01,301.58297055578043
2019-09-01,429.0,2019-12-01,286.0668791693825
2019-10-01,301.0,2020-01-01,272.21396247484523
2019-11-01,279.0,2020-02-01,259.76351949782213
2019-12-01,258.0,2020-03-01,248.50727601632425
2020-01-01,275.0,2020-04-01,238.27674862912815
2020-02-01,243.0,2020-05-01,228.9341108106107
2020-03-01,230.0,2020-06-01,220.36547537342403
2020-04-01,125.0,2020-07-01,212.4758768362384
2020-05-01,364.0,2020-08-01,205.18547064334473
2020-06-01,198.0,2020-09-01,198.42661727645603
2020-07-01,300.0,2020-10-01,192.14161913974107
2020-08-01,104.0,2020-11-01,186.28094532666677
2020-09-01,194.0,2020-12-01,180.8018254288677
2020-10-01,180.0,2021-01-01,175.6671255932506
2020-11-01,82.0,2021-02-01,170.8444426581901
2020-12-01,121.0,2021-03-01,166.3053683873118
2021-01-01,113.0,2021-04-01,162.02488754529125
2021-02-01,45.0,2021-05-01,157.98088215198408
2021-03-01,68.0,2021-06-01,154.15372061422082
2021-04-01,325.0,2021-07-01,150.52591519409896
2021-05-01,149.0,2021-08-01,147.08183486599003
2021-06-01,173.0,2021-09-01,143.80746335124553
2021-07-01,134.0,2021-10-01,140.69019422110244
2021-08-01,223.0,2021-11-01,137.718656584516
2021-09-01,80.0,2021-12-01,134.88256614526586
2021-10-01,0.0,2022-01-01,132.1725974075917
2021-11-01,216.0,2022-02-01,129.58027359557514
2021-12-01,1.0,2022-03-01,127.09787147621911
2022-01-01,41.0,2022-04-01,124.71833877566944
2022-02-01,348.0,2022-05-01,122.43522227960456
2022-03-01,269.0,2022-06-01,120.24260503339576
2022-04-01,135.0,2022-07-01,118.13505132129909
2022-05-01,133.0,2022-08-01,116.10755831914635
2022-06-01,133.0,2022-09-01,114.15551349146715
2022-07-01,209.0,2022-10-01,112.27465694930625
2022-08-01,15.0,2022-11-01,110.46104810519537
2022-09-01,175.0,2022-12-01,108.71103606154374
2022-10-01,212.0,2023-01-01,107.02123325190581
2022-11-01,119.0,2023-02-01,105.38849192418813
2022-12-01,165.0,2023-03-01,103.80988311329666
2023-01-01,147.0,2023-04-01,102.28267779996102
2023-02-01,137.0,2023-05-01,100.80432999408576
2023-03-01,142.0,2023-06-01,99.3724615162653
2023-04-01,120.0,2023-07-01,97.98484828110738
2023-05-01,110.0,2023-08-01,96.63940791160815
,,2023-09-01,95.33418853571763
,,2023-10-01,94.067358635014
,,2023-11-01,92.83719783155581
,,2023-12-01,91.64208851290597
,,2024-01-01,90.48050820735547
,,2024-02-01,89.3510226318008
,,2024-03-01,88.25227934378228
,,2024-04-01,87.18300193706955
,,2024-05-01,86.14198472705141
,,2024-06-01,85.12808787819255
,,2024-07-01,84.14023293107977
,,2024-08-01,83.17739869119416
,,2024-09-01,82.2386174456031
,,2024-10-01,81.3229714773401
,,2024-11-01,80.42958985039265
,,2024-12-01,79.55764544100589
,,2025-01-01,78.70635219347778
,,2025-02-01,77.87496258080994
,,2025-03-01,77.06276525252241
,,2025-04-01,76.26908285367104
,,2025-05-01,75.49327000064693
,,2025-06-01,74.7347114007137
,,2025-07-01,73.99282010346688
,,2025-08-01,73.26703587350102
,,2025-09-01,72.55682367455535
,,2025-10-01,71.86167225629404
,,2025-11-01,71.1810928356726
,,2025-12-01,70.5146178655567
,,2026-01-01,69.86179988390516
,,2026-02-01,69.22221043740934
,,2026-03-01,68.59543907400683
,,2026-04-01,67.98109239916148
,,2026-05-01,67.37879319123202
,,2026-06-01,66.78817957164009
,,2026-07-01,66.20890422590236
,,2026-08-01,65.64063367191166
,,2026-09-01,65.0830475721437
,,2026-10-01,64.53583808673137
,,2026-11-01,63.99870926458999
,,2026-12-01,63.471376469997494
,,2027-01-01,62.953565842234376
,,2027-02-01,62.445013786071954
,,2027-03-01,61.945466491065766
,,2027-04-01,61.45467947776399
,,2027-05-01,60.97241716908222
,,2027-06-01,60.49845248522467
,,2027-07-01,60.032566460650166
,,2027-08-01,59.5745478816906
,,2027-09-01,59.1241929435287
,,2027-10-01,58.68130492533456
,,2027-11-01,58.24569388244475
,,2027-12-01,57.81717635454562
,,2028-01-01,57.39557508889463
,,2028-02-01,56.980718777679556
,,2028-03-01,56.57244180867683
,,2028-04-01,56.17058402842678
,,2028-05-01,55.77499051719572
,,2028-06-01,55.38551137504352
,,2028-07-01,55.002001518359776
,,2028-08-01,54.624320486273376
,,2028-09-01,54.25233225637876
,,2028-10-01,53.88590506925779
,,2028-11-01,53.52491126130925
,,2028-12-01,53.169227105429044
,,2029-01-01,52.81873265911236
,,2029-02-01,52.47331161957596
,,2029-03-01,52.13285118552347
,,2029-04-01,51.79724192519958
,,2029-05-01,51.466377650400396
,,2029-06-01,51.140155296127475
,,2029-07-01,50.81847480559154
,,2029-08-01,50.5012390202893
,,2029-09-01,50.18835357489315
,,2029-10-01,49.87972679670875
,,2029-11-01,49.5752696094695
,,2029-12-01,49.27489544125038
,,2030-01-01,48.97852013629604
,,2030-02-01,48.68606187056948
,,2030-03-01,48.39744107083891
,,2030-04-01,48.11258033712999
,,2030-05-01,47.83140436838104
,,2030-06-01,47.553839891146886
,,2030-07-01,47.279815591206244
,,2030-08-01,47.009262047934754
,,2030-09-01,46.742111671313765
,,2030-10-01,46.47829864145151
,,2030-11-01,46.21775885050021
,,2030-12-01,45.96042984685848
,,2031-01-01,45.70625078155454
,,2031-02-01,45.455162356710964
,,2031-03-01,45.20710677599687
,,2031-04-01,44.962027696978396
,,2031-05-01,44.71987018528277
,,2031-06-01,44.480580670495684
,,2031-07-01,44.24410690371549
,,2031-08-01,44.010397916692064
,,2031-09-01,43.779403982481114
