t,q,t_model,q_model
2013-04-01,6235.0,2013-05-01,15573.306144128166
2013-05-01,15631.0,2013-06-01,8401.62617675575
2013-06-01,8657.0,2013-07-01,5745.672799387343
2013-07-01,4423.0,2013-08-01,4362.94037510175
2013-08-01,3904.0,2013-09-01,3515.330821482322
2013-09-01,3394.0,2013-10-01,2942.7470569217826
2013-10-01,4254.0,2013-11-01,2530.106557259314
2013-11-01,3451.0,2013-12-01,2218.6550847744743
2013-12-01,3552.0,2014-01-01,1975.2667107489367
2014-01-01,2454.0,2014-02-01,1779.846735471197
2014-02-01,1531.0,2014-03-01,1619.498900679156
2014-03-01,1089.0,2014-04-01,1485.5677012688798
2014-04-01,1371.0,2014-05-01,1372.0280632057536
2014-05-01,1648.0,2014-06-01,1274.5568984606737
2014-06-01,1480.0,2014-07-01,1189.97191847385
2014-07-01,742.0,2014-08-01,1115.8787200157437
2014-08-01,634.0,2014-09-01,1050.441227681093
2014-09-01,610.0,2014-10-01,992.2279638000732
2014-10-01,624.0,2014-11-01,940.1064520925506
2014-11-01,507.0,2014-12-01,893.1690464240178
2014-12-01,497.0,2015-01-01,850.6797909153138
2015-01-01,428.0,2015-02-01,812.0356688524024
2015-02-01,360.0,2015-03-01,776.7378918132179
2015-03-01,393.0,2015-04-01,744.3703201033175
2015-04-01,343.0,2015-05-01,714.5830304038187
2015-05-01,314.0,2015-06-01,687.0796532404654
2015-06-01,783.0,2015-07-01,661.6075085758479
2015-07-01,1373.0,2015-08-01,637.9498438750599
2015-08-01,658.0,2015-09-01,615.9196698504917
2015-09-01,1886.0,2015-10-01,595.3548229970014
2015-10-01,2490.0,2015-11-01,576.1139792589205
2015-11-01,2436.0,2015-12-01,558.0734117501693
2015-12-01,1172.0,2016-01-01,541.1243354146089
2016-01-01,1283.0,2016-02-01,525.1707183145611
2016-02-01,907.0,2016-03-01,510.1274666154465
2016-03-01,608.0,2016-04-01,495.91891089909717
2016-04-01,431.0,2016-05-01,482.47753702161674
2016-05-01,691.0,2016-06-01,469.74291663913027
2016-06-01,315.0,2016-07-01,457.66080169514686
2016-07-01,267.0,2016-08-01,446.18235427813704
2016-08-01,302.0,2016-09-01,435.2634888167774
2016-09-01,243.0,2016-10-01,424.8643079522367
2016-10-01,335.0,2016-11-01,414.9486168869388
2016-11-01,124.0,2016-12-01,405.48350376393904
2016-12-01,355.0,2017-01-01,396.4389758366321
2017-01-01,157.0,2017-02-01,387.78764296393075
2017-02-01,157.0,2017-03-01,379.50444140256974
2017-03-01,172.0,2017-04-01,371.5663920361623
2017-04-01,182.0,2017-05-01,363.95238813472184
