t,q,t_model,q_model
2022-01-01,1606.0,2022-02-01,11549.299885642162
2022-02-01,11273.0,2022-03-01,6454.51918553985
2022-03-01,7815.0,2022-04-01,4475.836904762304
2022-04-01,5003.0,2022-05-01,3424.4943370149626
2022-05-01,1892.0,2022-06-01,2772.52260744844
2022-06-01,1041.0,2022-07-01,2328.7625243175903
2022-07-01,1958.0,2022-08-01,2007.2470818892475
2022-08-01,1285.0,2022-09-01,1763.6009886086408
2022-09-01,2945.0,2022-10-01,1572.604140803458
2022-10-01,1424.0,2022-11-01,1418.8637887238165
2022-11-01,1317.0,2022-12-01,1292.4533276464758
2022-12-01,1491.0,2023-01-01,1186.684093165316
2023-01-01,1252.0,2023-02-01,1096.8848637918072
2023-02-01,1035.0,2023-03-01,1019.69467492551
2023-03-01,1995.0,2023-04-01,952.6335900307178
2023-04-01,1551.0,2023-05-01,893.8318144816707
2023-05-01,1874.0,2023-06-01,841.8529556151254
,,2023-07-01,795.5753478488733
,,2023-08-01,754.1103440264595
,,2023-09-01,716.7448031571469
,,2023-10-01,682.8998088399512
,,2023-11-01,652.1005149099096
,,2023-12-01,623.9537698480749
,,2024-01-01,598.1312755509366
,,2024-02-01,574.3567468042305
,,2024-03-01,552.3960049956078
,,2024-04-01,532.0492525626918
,,2024-05-01,513.1449879744196
,,2024-06-01,495.5351687405609
,,2024-07-01,479.0913337149819
,,2024-08-01,463.7014698533518
,,2024-09-01,449.2674618658618
,,2024-10-01,435.70300206802705
,,2024-11-01,422.93186638588827
,,2024-12-01,410.88648381126546
,,2025-01-01,399.5067426452189
,,2025-02-01,388.73898903513975
,,2025-03-01,378.53518261580786
,,2025-04-01,368.85218123642386
,,2025-05-01,359.651132323934
,,2025-06-01,350.89695278653573
,,2025-07-01,342.557882787548
,,2025-08-01,334.60510143321585
,,2025-09-01,327.012394579576
,,2025-10-01,319.75586669518145
,,2025-11-01,312.81369011120097
,,2025-12-01,306.16588611947924
,,2026-01-01,299.7941332976199
,,2026-02-01,293.6815991907906
,,2026-03-01,287.81279209614604
,,2026-04-01,282.17343020375273
,,2026-05-01,276.7503257683862
,,2026-06-01,271.531282335988
,,2026-07-01,266.5050033400219
,,2026-08-01,261.661010626935
,,2026-09-01,256.9895716748676
,,2026-10-01,252.4816344424715
,,2026-11-01,248.1287689307221
,,2026-12-01,243.92311466445878
,,2027-01-01,239.85733340573128
,,2027-02-01,235.92456650089312
,,2027-03-01,232.11839634025532
,,2027-04-01,228.43281147504422
,,2027-05-01,224.86217499310231
,,2027-06-01,221.40119580364487
,,2027-07-01,218.04490252362027
,,2027-08-01,214.78861969480124
,,2027-09-01,211.6279460924924
,,2027-10-01,208.5587349143677
,,2027-11-01,205.57707566203962
,,2027-12-01,202.6792775490085
,,2028-01-01,199.86185428706364
,,2028-02-01,197.12151011936612
,,2028-03-01,194.45512698264616
,,2028-04-01,191.8597526934471
,,2028-05-01,189.33259006437638
,,2028-06-01,186.87098686606288
,,2028-07-01,184.47242655914275
,,2028-08-01,182.13451972823495
,,2028-09-01,179.85499615665432
,,2028-10-01,177.63169748664063
,,2028-11-01,175.46257041525578
,,2028-12-01,173.34566038089218
,,2029-01-01,171.27910569961517
,,2029-02-01,169.26113211438954
,,2029-03-01,167.2900477236693
,,2029-04-01,165.3642382589028
,,2029-05-01,163.48216268326792
,,2029-06-01,161.64234908643306
,,2029-07-01,159.84339085237457
,,2029-08-01,158.08394307929717
,,2029-09-01,156.36271923251866
,,2029-10-01,154.67848801282574
,,2029-11-01,153.030070424291
,,2029-12-01,151.41633702688654
,,2030-01-01,149.83620536044984
,,2030-02-01,148.28863752766276
,,2030-03-01,146.77263792470993
,,2030-04-01,145.28725110919729
,,2030-05-01,143.8315597957416
,,2030-06-01,142.40468297040212
,,2030-07-01,141.00577411581355
,,2030-08-01,139.63401953951364
,,2030-09-01,138.28863679853248
,,2030-10-01,136.9688732138386
,,2030-11-01,135.67400446872014
,,2030-12-01,134.40333328561954
,,2031-01-01,133.15618817634729
,,2031-02-01,131.9319222609705
,,2031-03-01,130.72991215101442
,,2031-04-01,129.54955689292842
,,2031-05-01,128.39027696805658
,,2031-06-01,127.25151334561916
,,2031-07-01,126.13272658545499
,,2031-08-01,125.03339598750179
,,2031-09-01,123.95301878519841
