t,q,t_model,q_model
2021-06-01,599.0,2022-02-01,420.3999707702059
2021-07-01,1658.0,2022-03-01,107.81474710354773
2021-08-01,600.0,2022-04-01,24.996450442687042
2021-09-01,644.0,2022-05-01,5.155161903084806
2021-10-01,530.0,2022-06-01,0.9266452926496529
2021-11-01,586.0,2022-07-01,0.14141589662164125
2021-12-01,526.0,2022-08-01,0.017700805246225255
2022-01-01,469.0,2022-09-01,0.001734115724993688
2022-02-01,415.0,2022-10-01,0.00012452733699114575
2022-03-01,135.0,2022-11-01,5.954278522401109e-06
2022-04-01,0.0,2022-12-01,1.6333734561328093e-07
2022-05-01,0.0,2023-01-01,2.0029309489929574e-09
2022-06-01,0.0,2023-02-01,6.877302240242924e-12
2022-07-01,0.0,2023-03-01,2.3134337721392956e-15
2022-08-01,0.0,2023-04-01,2.6721113488874615e-21
2022-09-01,1.0,2023-05-01,2.7830203319316584e-130
2022-10-01,0.0,2023-06-01,
2022-11-01,0.0,2023-07-01,
2022-12-01,0.0,2023-08-01,
2023-01-01,0.0,2023-09-01,
2023-02-01,0.0,2023-10-01,
2023-03-01,0.0,2023-11-01,
2023-04-01,0.0,2023-12-01,
2023-05-01,0.0,2024-01-01,
,,2024-02-01,
,,2024-03-01,
,,2024-04-01,
,,2024-05-01,
,,2024-06-01,
,,2024-07-01,
,,2024-08-01,
,,2024-09-01,
,,2024-10-01,
,,2024-11-01,
,,2024-12-01,
,,2025-01-01,
,,2025-02-01,
,,2025-03-01,
,,2025-04-01,
,,2025-05-01,
,,2025-06-01,
,,2025-07-01,
,,2025-08-01,
,,2025-09-01,
,,2025-10-01,
,,2025-11-01,
,,2025-12-01,
,,2026-01-01,
,,2026-02-01,
,,2026-03-01,
,,2026-04-01,
,,2026-05-01,
,,2026-06-01,
,,2026-07-01,
,,2026-08-01,
,,2026-09-01,
,,2026-10-01,
,,2026-11-01,
,,2026-12-01,
,,2027-01-01,
,,2027-02-01,
,,2027-03-01,
,,2027-04-01,
,,2027-05-01,
,,2027-06-01,
,,2027-07-01,
,,2027-08-01,
,,2027-09-01,
,,2027-10-01,
,,2027-11-01,
,,2027-12-01,
,,2028-01-01,
,,2028-02-01,
,,2028-03-01,
,,2028-04-01,
,,2028-05-01,
,,2028-06-01,
,,2028-07-01,
,,2028-08-01,
,,2028-09-01,
,,2028-10-01,
,,2028-11-01,
,,2028-12-01,
,,2029-01-01,
,,2029-02-01,
,,2029-03-01,
,,2029-04-01,
,,2029-05-01,
,,2029-06-01,
,,2029-07-01,
,,2029-08-01,
,,2029-09-01,
,,2029-10-01,
,,2029-11-01,
,,2029-12-01,
,,2030-01-01,
,,2030-02-01,
,,2030-03-01,
,,2030-04-01,
,,2030-05-01,
,,2030-06-01,
,,2030-07-01,
,,2030-08-01,
,,2030-09-01,
,,2030-10-01,
,,2030-11-01,
,,2030-12-01,
,,2031-01-01,
,,2031-02-01,
,,2031-03-01,
,,2031-04-01,
,,2031-05-01,
,,2031-06-01,
,,2031-07-01,
,,2031-08-01,
,,2031-09-01,
