t,q,t_model,q_model
2016-11-01,3779.0,2017-02-01,5526.0820370314705
2016-12-01,7051.0,2017-03-01,1912.6200327443014
2017-01-01,2533.0,2017-04-01,1469.6247563463287
2017-02-01,5543.0,2017-05-01,1255.2860130454485
2017-03-01,594.0,2017-06-01,1121.3130482334514
2017-04-01,2514.0,2017-07-01,1026.880953854029
2017-05-01,1519.0,2017-08-01,955.4455746802565
2017-06-01,1358.0,2017-09-01,898.8216848183046
2017-07-01,1571.0,2017-10-01,852.4209574666764
2017-08-01,1387.0,2017-11-01,813.4394973505227
2017-09-01,1040.0,2017-12-01,780.0515518914059
2017-10-01,1251.0,2018-01-01,751.008862367004
2017-11-01,1032.0,2018-02-01,725.4243270203165
2017-12-01,874.0,2018-03-01,702.6473473143864
2018-01-01,812.0,2018-04-01,682.1881475622715
2018-02-01,690.0,2018-05-01,663.6698065726437
2018-03-01,730.0,2018-06-01,646.7967365028026
2018-04-01,730.0,2018-07-01,631.3333232951642
2018-05-01,753.0,2018-08-01,617.0890644529024
2018-06-01,349.0,2018-09-01,603.9079863797742
2018-07-01,232.0,2018-10-01,591.6609545727406
2018-08-01,170.0,2018-11-01,580.2399845154193
2018-09-01,409.0,2018-12-01,569.553964651696
2018-10-01,569.0,2019-01-01,559.5253942694234
2018-11-01,462.0,2019-02-01,550.0878628608059
2018-12-01,560.0,2019-03-01,541.1840792686154
2019-01-01,397.0,2019-04-01,532.7643140062231
2019-02-01,354.0,2019-05-01,524.7851559242255
2019-03-01,465.0,2019-06-01,517.208510745076
2019-04-01,567.0,2019-07-01,510.0007876385173
2019-05-01,361.0,2019-08-01,503.13223339656014
2019-06-01,282.0,2019-09-01,496.5763834967038
2019-07-01,766.0,2019-10-01,490.30960649830024
2019-08-01,546.0,2019-11-01,484.31072353804575
2019-09-01,362.0,2019-12-01,478.5606886875775
2019-10-01,7.0,2020-01-01,473.04231896716965
2019-11-01,24.0,2020-02-01,467.74006512851105
2019-12-01,153.0,2020-03-01,462.639816108593
2020-01-01,1549.0,2020-04-01,457.7287314477799
2020-02-01,1571.0,2020-05-01,452.9950970547032
2020-03-01,645.0,2020-06-01,448.42820055998976
2020-04-01,287.0,2020-07-01,444.0182231831019
2020-05-01,391.0,2020-08-01,439.7561455815883
2020-06-01,262.0,2020-09-01,435.63366559000553
2020-07-01,983.0,2020-10-01,431.6431261096546
2020-08-01,324.0,2020-11-01,427.77745169775204
2020-09-01,430.0,2020-12-01,424.03009263936025
2020-10-01,338.0,2021-01-01,420.39497547794133
2020-11-01,273.0,2021-02-01,416.8664591390778
2020-12-01,521.0,2021-03-01,413.43929591324655
2021-01-01,278.0,2021-04-01,410.1085966727009
2021-02-01,364.0,2021-05-01,406.8697997886229
2021-03-01,453.0,2021-06-01,403.7186432910267
2021-04-01,195.0,2021-07-01,400.6511398780619
2021-05-01,373.0,2021-08-01,397.66355443551265
2021-06-01,499.0,2021-09-01,394.7523837731202
2021-07-01,412.0,2021-10-01,391.91433832329443
2021-08-01,142.0,2021-11-01,389.1463255809475
2021-09-01,261.0,2021-12-01,386.4454350915319
2021-10-01,225.0,2022-01-01,383.8089248186591
2021-11-01,185.0,2022-02-01,381.2342087435544
2021-12-01,216.0,2022-03-01,378.71884556659893
2022-01-01,354.0,2022-04-01,376.2605283967532
2022-02-01,277.0,2022-05-01,373.8570753281252
2022-03-01,129.0,2022-06-01,371.5064208146344
2022-04-01,759.0,2022-07-01,369.20660776390037
2022-05-01,442.0,2022-08-01,366.95578028035965
2022-06-01,358.0,2022-09-01,364.7521769953713
2022-07-01,241.0,2022-10-01,362.5941249288718
2022-08-01,320.0,2022-11-01,360.4800338331026
2022-09-01,328.0,2022-12-01,358.4083909741855
2022-10-01,310.0,2023-01-01,356.37775631194296
2022-11-01,242.0,2023-02-01,354.3867580424457
2022-12-01,475.0,2023-03-01,352.43408847138323
2023-01-01,241.0,2023-04-01,350.51850018955065
2023-02-01,241.0,2023-05-01,348.63880252459035
2023-03-01,375.0,2023-06-01,346.7938582456494
2023-04-01,411.0,2023-07-01,344.9825804998675
2023-05-01,306.0,2023-08-01,343.2039299616122
2023-06-01,228.0,2023-09-01,341.4569121771762
,,2023-10-01,339.74057508925057
,,2023-11-01,338.0540067269281
,,2023-12-01,336.39633304827913
,,2024-01-01,334.7667159237012
,,2024-02-01,333.16435124928546
,,2024-03-01,331.58846718038336
,,2024-04-01,330.0383224764029
,,2024-05-01,328.51320494862875
,,2024-06-01,327.0124300035547
,,2024-07-01,325.53533927483926
,,2024-08-01,324.0812993375672
,,2024-09-01,322.64970049901194
,,2024-10-01,321.2399556605638
,,2024-11-01,319.85149924591275
,,2024-12-01,318.48378619096513
,,2025-01-01,317.136290991322
,,2025-02-01,315.8085068034749
,,2025-03-01,314.49994459616323
,,2025-04-01,313.21013234861147
,,2025-05-01,311.93861429260704
,,2025-06-01,310.68495019560623
,,2025-07-01,309.44871468226194
,,2025-08-01,308.22949659195837
,,2025-09-01,307.0268983701071
,,2025-10-01,305.8405354911251
,,2025-11-01,304.6700359111564
,,2025-12-01,303.5150395487404
,,2026-01-01,302.3751977917484
,,2026-02-01,301.25017302902984
,,2026-03-01,300.1396382053148
,,2026-04-01,299.04327639801465
,,2026-05-01,297.9607804146574
,,2026-06-01,296.89185240977486
,,2026-07-01,295.8362035201379
,,2026-08-01,294.7935535173078
,,2026-09-01,293.7636304765378
,,2026-10-01,292.7461704611203
,,2026-11-01,291.7409172213337
,,2026-12-01,290.7476219071958
,,2027-01-01,289.76604279427846
,,2027-02-01,288.79594502188576
,,2027-03-01,287.8371003429423
,,2027-04-01,286.88928688497316
,,2027-05-01,285.9522889215989
,,2027-06-01,285.02589665400245
,,2027-07-01,284.10990600185426
,,2027-08-01,283.2041184032162
,,2027-09-01,282.3083406229706
,,2027-10-01,281.4223845693456
,,2027-11-01,280.54606711813733
,,2027-12-01,279.6792099442467
,,2028-01-01,278.82163936017344
,,2028-02-01,277.9731861611312
,,2028-03-01,277.1336854764613
,,2028-04-01,276.3029766270466
,,2028-05-01,275.480902988439
,,2028-06-01,274.66731185943206
,,2028-07-01,273.86205433582256
,,2028-08-01,273.0649851891218
,,2028-09-01,272.2759627499868
,,2028-10-01,271.494848796156
,,2028-11-01,270.7215084446845
,,2028-12-01,269.95581004828415
,,2029-01-01,269.19762509558603
,,2029-02-01,268.4468281151484
,,2029-03-01,267.7032965830469
,,2029-04-01,266.9669108338876
,,2029-05-01,266.2375539750952
,,2029-06-01,265.51511180433357
,,2029-07-01,264.79947272992473
,,2029-08-01,264.0905276941364
,,2029-09-01,263.3881700992191
,,2029-10-01,262.6922957360739
,,2029-11-01,262.00280271544284
,,2029-12-01,261.3195914015155
,,2030-01-01,260.64256434785307
,,2030-02-01,259.9716262355334
,,2030-03-01,259.30668381342747
,,2030-04-01,258.64764584052006
,,2030-05-01,257.9944230301928
,,2030-06-01,257.3469279963901
,,2030-07-01,256.70507520159424
,,2030-08-01,256.0687809065367
,,2030-09-01,255.43796312157875
,,2030-10-01,254.81254155969492
,,2030-11-01,254.19243759099783
,,2030-12-01,253.57757419874434
,,2031-01-01,252.96787593676703
,,2031-02-01,252.36326888827517
,,2031-03-01,251.76368062597496
,,2031-04-01,251.16904017345797
,,2031-05-01,250.5792779678108
,,2031-06-01,249.99432582340046
,,2031-07-01,249.41411689679157
,,2031-08-01,248.83858565275457
,,2031-09-01,248.26766783132356
