t,q,t_model,q_model
2020-08-01,5078.0,2020-08-01,5069.455297328546
2020-09-01,1527.0,2020-09-01,1816.20411291671
2020-10-01,1628.0,2020-10-01,1213.242245555156
2020-11-01,1438.0,2020-11-01,939.4275661498059
2020-12-01,535.0,2020-12-01,778.6574919883491
2021-01-01,251.0,2021-01-01,671.306683205935
2021-02-01,503.0,2021-02-01,593.8098604540232
2021-03-01,655.0,2021-03-01,534.8460145630349
2021-04-01,570.0,2021-04-01,488.25150492910484
2021-05-01,460.0,2021-05-01,450.3628271262062
2021-06-01,348.0,2021-06-01,418.8557978147903
2021-07-01,363.0,2021-07-01,392.17960924847387
2021-08-01,398.0,2021-08-01,369.25697379315426
2021-09-01,282.0,2021-09-01,349.31450872650754
2021-10-01,212.0,2021-10-01,331.78157791809787
2021-11-01,386.0,2021-11-01,316.22726304243736
2021-12-01,234.0,2021-12-01,302.31961978080864
2022-01-01,330.0,2022-01-01,289.7984991484536
2022-02-01,156.0,2022-02-01,278.45691877044914
2022-03-01,255.0,2022-03-01,268.1279882796171
2022-04-01,474.0,2022-04-01,258.67553935858757
2022-05-01,317.0,2022-05-01,249.9872851639506
2022-06-01,308.0,2022-06-01,241.96974295141135
2022-07-01,35.0,2022-07-01,234.54440888480025
2022-08-01,94.0,2022-08-01,227.64483714774244
2022-09-01,144.0,2022-09-01,221.21438211634916
2022-10-01,260.0,2022-10-01,215.20443347283302
2022-11-01,104.0,2022-11-01,209.57302244612492
2022-12-01,290.0,2022-12-01,204.2837107260569
2023-01-01,214.0,2023-01-01,199.30469699077287
2023-02-01,273.0,2023-02-01,194.60809262264308
2023-03-01,362.0,2023-03-01,190.16933017239484
2023-04-01,38.0,2023-04-01,185.9666768690974
2023-05-01,311.0,2023-05-01,181.98083191593062
,,2023-06-01,178.19459111099425
,,2023-07-01,174.5925659426102
,,2023-08-01,171.16094704900652
,,2023-09-01,167.8873040302625
,,2023-10-01,164.7604152194447
,,2023-11-01,161.77012227874337
,,2023-12-01,158.90720547223302
,,2024-01-01,156.1632762440505
,,2024-02-01,153.53068434737528
,,2024-03-01,151.0024372617379
,,2024-04-01,148.5721300312414
,,2024-05-01,146.23388397513833
,,2024-06-01,143.98229298088683
,,2024-07-01,141.8123763007115
,,2024-08-01,139.71953694544806
,,2024-09-01,137.6995249115948
,,2024-10-01,135.7484045949496
,,2024-11-01,133.86252584167164
,,2024-12-01,132.0384981687884
,,2025-01-01,130.27316775404864
,,2025-02-01,128.563596851984
,,2025-03-01,126.90704534100959
,,2025-04-01,125.30095414691989
,,2025-05-01,123.7429303224873
,,2025-06-01,122.23073359207707
,,2025-07-01,120.76226419509734
,,2025-08-01,119.33555188340307
,,2025-09-01,117.94874594603795
,,2025-10-01,116.60010615040514
,,2025-11-01,115.28799450249734
,,2025-12-01,114.0108677405184
,,2026-01-01,112.76727048636674
,,2026-02-01,111.55582898825267
,,2026-03-01,110.37524539538373
,,2026-04-01,109.22429251233328
,,2026-05-01,108.1018089865483
,,2026-06-01,107.00669488756778
,,2026-07-01,105.9379076410116
,,2026-08-01,104.894458284348
,,2026-09-01,103.87540801492354
,,2026-10-01,102.87986500380975
,,2026-11-01,101.90698145173278
,,2026-12-01,100.95595086575548
,,2027-01-01,100.0260055375132
,,2027-02-01,99.11641420569826
,,2027-03-01,98.22647988717362
,,2027-04-01,97.35553786259925
,,2027-05-01,96.50295380379491
,,2027-06-01,95.66812203126327
,,2027-07-01,94.85046389136946
,,2027-08-01,94.0494262436365
,,2027-09-01,93.26448004947909
,,2027-10-01,92.49511905447537
,,2027-11-01,91.740858556975
,,2027-12-01,91.00123425647152
,,2028-01-01,90.27580117573575
,,2028-02-01,89.56413265122005
,,2028-03-01,88.86581938670781
,,2028-04-01,88.18046856560302
,,2028-05-01,87.50770301763572
,,2028-06-01,86.84716043610536
,,2028-07-01,86.19849264209807
,,2028-08-01,85.5613648923998
,,2028-09-01,84.93545522808716
,,2028-10-01,84.3204538610154
,,2028-11-01,83.7160625956384
,,2028-12-01,83.12199428379395
,,2029-01-01,82.53797231026702
,,2029-02-01,81.96373010710971
,,2029-03-01,81.39901069484695
,,2029-04-01,80.84356624883594
,,2029-05-01,80.29715768917418
,,2029-06-01,79.75955429266746
,,2029-07-01,79.23053332547633
,,2029-08-01,78.7098796951583
,,2029-09-01,78.19738562091318
,,2029-10-01,77.69285032092262
,,2029-11-01,77.1960797157523
,,2029-12-01,76.70688614685525
,,2030-01-01,76.22508810928093
,,2030-02-01,75.75050999775536
,,2030-03-01,75.28298186535233
,,2030-04-01,74.82233919402937
,,2030-05-01,74.36842267634786
,,2030-06-01,73.92107800774286
,,2030-07-01,73.48015568874806
,,2030-08-01,73.0455108366202
,,2030-09-01,72.61700300584214
,,2030-10-01,72.19449601701697
,,2030-11-01,71.77785779369596
,,2030-12-01,71.36696020671128
,,2031-01-01,70.96167892561166
,,2031-02-01,70.56189327682263
,,2031-03-01,70.16748610817659
,,2031-04-01,69.7783436594795
,,2031-05-01,69.39435543880013
,,2031-06-01,69.01541410418712
,,2031-07-01,68.64141535053588
,,2031-08-01,68.2722578013442
,,2031-09-01,67.90784290510979
