t,q,t_model,q_model
2012-05-01,1413.0,2013-05-01,2069.4379869584477
2012-06-01,3184.0,2013-06-01,965.737551842313
2012-07-01,3563.0,2013-07-01,715.3587725183447
2012-08-01,3111.0,2013-08-01,591.3767566174497
2012-09-01,2553.0,2013-09-01,514.2762104675331
2012-10-01,2833.0,2013-10-01,460.515451265763
2012-11-01,1341.0,2013-11-01,420.32966995814587
2012-12-01,2507.0,2013-12-01,388.84926154128453
2013-01-01,1498.0,2014-01-01,363.3405881316048
2013-02-01,1206.0,2014-02-01,342.13602790637873
2013-03-01,1234.0,2014-03-01,324.1533808905581
2013-04-01,851.0,2014-04-01,308.6559094105833
2013-05-01,2082.0,2014-05-01,295.12251634048096
2013-06-01,752.0,2014-06-01,283.1729300967376
2013-07-01,900.0,2014-07-01,272.52232824624997
2013-08-01,564.0,2014-08-01,262.9526276745755
2013-09-01,469.0,2014-09-01,254.29366189188022
2013-10-01,521.0,2014-10-01,246.41045996159153
2013-11-01,585.0,2014-11-01,239.1944204965538
2013-12-01,650.0,2014-12-01,232.55704614907555
2014-01-01,543.0,2015-01-01,226.42540507928047
2014-02-01,308.0,2015-02-01,220.7387839436694
2014-03-01,350.0,2015-03-01,215.44617972998765
2014-04-01,182.0,2015-04-01,210.50439292700673
2014-05-01,245.0,2015-05-01,205.87655884848988
2014-06-01,275.0,2015-06-01,201.5310029594935
2014-07-01,170.0,2015-07-01,197.44033903387077
2014-08-01,248.0,2015-08-01,193.58075155656596
2014-09-01,295.0,2015-09-01,189.9314195038695
2014-10-01,238.0,2015-10-01,186.47404974060902
2014-11-01,178.0,2015-11-01,183.19249622793623
2014-12-01,221.0,2015-12-01,180.07244700573537
2015-01-01,230.0,2016-01-01,177.1011651489692
2015-02-01,199.0,2016-02-01,174.26727303996518
2015-03-01,170.0,2016-03-01,171.56057165440046
2015-04-01,228.0,2016-04-01,168.97188834145356
2015-05-01,259.0,2016-05-01,166.49294793967266
2015-06-01,202.0,2016-06-01,164.11626311797747
2015-07-01,109.0,2016-07-01,161.83504064427524
2015-08-01,153.0,2016-08-01,159.64310091971205
2015-09-01,140.0,2016-09-01,157.53480861682428
2015-10-01,170.0,2016-10-01,155.5050126561957
2015-11-01,139.0,2016-11-01,153.5489940722049
2015-12-01,170.0,2016-12-01,151.66242057184567
2016-01-01,235.0,2017-01-01,149.84130679495348
2016-02-01,125.0,2017-02-01,148.0819794498472
2016-03-01,33.0,2017-03-01,146.38104663339533
2016-04-01,61.0,2017-04-01,144.73537075505055
2016-05-01,102.0,2017-05-01,143.14204457532085
2016-06-01,3.0,2017-06-01,141.59836994425882
2016-07-01,216.0,2017-07-01,140.1018388878738
2016-08-01,34.0,2017-08-01,138.65011674228157
