t,q,t_model,q_model
2011-09-01,4195.0,2012-05-01,9232.95220389819
2011-10-01,10453.0,2012-06-01,7207.7380531402505
2011-11-01,14660.0,2012-07-01,5908.40767422858
2011-12-01,16242.0,2012-08-01,5004.369456893431
2012-01-01,13582.0,2012-09-01,4339.239062587334
2012-02-01,13628.0,2012-10-01,3829.4733847232033
2012-03-01,12565.0,2012-11-01,3426.3947221731164
2012-04-01,8322.0,2012-12-01,3099.726210516151
2012-05-01,10824.0,2013-01-01,2829.6505515242407
2012-06-01,3180.0,2013-02-01,2602.65383605108
2012-07-01,5737.0,2013-03-01,2409.204837282219
2012-08-01,6267.0,2013-04-01,2242.389053664763
2012-09-01,5418.0,2013-05-01,2097.068721054752
2012-10-01,5999.0,2013-06-01,1969.3467980347543
2012-11-01,4457.0,2013-07-01,1856.2139103726254
2012-12-01,2836.0,2013-08-01,1755.3093303592711
2013-01-01,3379.0,2013-09-01,1664.755222173393
2013-02-01,946.0,2013-10-01,1583.0392304905072
2013-03-01,3117.0,2013-11-01,1508.9297283655017
2013-04-01,1617.0,2013-12-01,1441.413597320312
2013-05-01,1865.0,2014-01-01,1379.6498486833952
2013-06-01,818.0,2014-02-01,1322.9345732318243
2013-07-01,2923.0,2014-03-01,1270.6741178638338
2013-08-01,954.0,2014-04-01,1222.364321673934
2013-09-01,1378.0,2014-05-01,1177.5742727388613
2013-10-01,1542.0,2014-06-01,1135.9334777701893
2013-11-01,2007.0,2014-07-01,1097.1216365204377
2013-12-01,1065.0,2014-08-01,1060.860424325271
2014-01-01,511.0,2014-09-01,1026.9068373691543
2014-02-01,1321.0,2014-10-01,995.0477646844481
2014-03-01,934.0,2014-11-01,965.0955309794904
2014-04-01,547.0,2014-12-01,936.8842136255864
2014-05-01,1446.0,2015-01-01,910.2665813778843
2014-06-01,732.0,2015-02-01,885.1115357597321
2014-07-01,1132.0,2015-03-01,861.3019614031186
2014-08-01,1070.0,2015-04-01,838.7329110813381
2014-09-01,663.0,2015-05-01,817.3100661901709
2014-10-01,1524.0,2015-06-01,796.9484251211175
2014-11-01,927.0,2015-07-01,777.5711811264129
2014-12-01,705.0,2015-08-01,759.1087584953799
2015-01-01,84.0,2015-09-01,741.4979815896467
2015-02-01,1916.0,2015-10-01,724.6813558556674
2015-03-01,555.0,2015-11-01,708.6064436008133
2015-04-01,858.0,2015-12-01,693.2253202780039
2015-05-01,366.0,2016-01-01,678.4940994225597
2015-06-01,817.0,2016-02-01,664.3725163389832
2015-07-01,1216.0,2016-03-01,650.8235622344753
2015-08-01,989.0,2016-04-01,637.8131618103554
2015-09-01,577.0,2016-05-01,625.3098884074367
2015-10-01,262.0,2016-06-01,613.2847117004479
2015-11-01,1079.0,2016-07-01,601.7107736845264
2015-12-01,0.0,2016-08-01,590.5631893213164
2016-01-01,765.0,2016-09-01,579.8188687355113
2016-02-01,946.0,2016-10-01,569.4563582926934
2016-03-01,902.0,2016-11-01,559.4556982605009
2016-04-01,606.0,2016-12-01,549.7982950692628
2016-05-01,548.0,2017-01-01,540.4668064548747
2016-06-01,450.0,2017-02-01,531.4450379936633
2016-07-01,569.0,2017-03-01,522.7178497327822
2016-08-01,991.0,2017-04-01,514.2710717855678
2016-09-01,840.0,2017-05-01,506.0914279036762
2016-10-01,726.0,2017-06-01,498.1664661603593
2016-11-01,506.0,2017-07-01,490.4844959849321
2016-12-01,805.0,2017-08-01,483.03453087989243
2017-01-01,31.0,2017-09-01,475.80623623136876
2017-02-01,803.0,2017-10-01,468.78988169238886
2017-03-01,673.0,2017-11-01,461.9762976783664
2017-04-01,675.0,2017-12-01,455.35683556646575
2017-05-01,584.0,2018-01-01,448.9233312361845
2017-06-01,595.0,2018-02-01,442.668071628513
2017-07-01,522.0,2018-03-01,436.58376403614295
2017-08-01,646.0,2018-04-01,430.6635078680693
2017-09-01,810.0,2018-05-01,424.90076865913136
2017-10-01,657.0,2018-06-01,419.2893541190251
2017-11-01,570.0,2018-07-01,413.8233920365373
2017-12-01,673.0,2018-08-01,408.49730987352444
2018-01-01,607.0,2018-09-01,403.305815899814
2018-02-01,488.0,2018-10-01,398.2438817349968
2018-03-01,503.0,2018-11-01,393.3067261762365
2018-04-01,501.0,2018-12-01,388.48980020294397
2018-05-01,541.0,2019-01-01,383.7887730596249
2018-06-01,526.0,2019-02-01,379.199519327553
2018-07-01,606.0,2019-03-01,374.7181069042813
2018-08-01,574.0,2019-04-01,370.3407858174985
2018-09-01,533.0,2019-05-01,366.0639778064547
2018-10-01,612.0,2019-06-01,361.88426661022106
2018-11-01,578.0,2019-07-01,357.79838890747504
2018-12-01,412.0,2019-08-01,353.8032258573965
2019-01-01,525.0,2019-09-01,349.8957951956664
2019-02-01,1017.0,2019-10-01,346.0732438435401
2019-03-01,390.0,2019-11-01,342.33284099156634
2019-04-01,134.0,2019-12-01,338.67197162277364
2019-05-01,155.0,2020-01-01,335.0881304430974
2019-06-01,39.0,2020-02-01,331.57891618949066
2019-07-01,122.0,2020-03-01,328.1420262885882
2019-08-01,167.0,2020-04-01,324.77525184099926
2019-09-01,42.0,2020-05-01,321.4764729083059
2019-10-01,168.0,2020-06-01,318.243654081673
2019-11-01,266.0,2020-07-01,315.0748403126358
2019-12-01,128.0,2020-08-01,311.9681529881504
2020-01-01,100.0,2020-09-01,308.921786233377
2020-02-01,119.0,2020-10-01,305.93400342693195
2020-03-01,142.0,2020-11-01,303.0031339145019
2020-04-01,94.0,2020-12-01,300.1275699077749
2020-05-01,147.0,2021-01-01,297.30576355661265
2020-06-01,75.0,2021-02-01,294.5362241832807
2020-07-01,286.0,2021-03-01,291.81751566836914
2020-08-01,180.0,2021-04-01,289.1482539787888
2020-09-01,148.0,2021-05-01,286.52710482891644
2020-10-01,257.0,2021-06-01,283.9527814666001
2020-11-01,195.0,2021-07-01,281.4240425763161
2020-12-01,1.0,2021-08-01,278.93969029231357
2021-01-01,198.0,2021-09-01,276.4985683150731
2021-02-01,0.0,2021-10-01,274.09956012486936
2021-03-01,336.0,2021-11-01,271.7415872866477
2021-04-01,123.0,2021-12-01,269.42360784081626
2021-05-01,134.0,2022-01-01,267.1446147749184
2021-06-01,74.0,2022-02-01,264.9036345714826
2021-07-01,127.0,2022-03-01,262.6997258276574
2021-08-01,143.0,2022-04-01,260.5319779425271
2021-09-01,114.0,2022-05-01,258.3995098682688
2021-10-01,139.0,2022-06-01,256.30146892155824
2021-11-01,146.0,2022-07-01,254.23702965186123
2021-12-01,91.0,2022-08-01,252.20539276346113
2022-01-01,188.0,2022-09-01,250.2057840882689
2022-02-01,101.0,2022-10-01,248.2374536066475
2022-03-01,158.0,2022-11-01,246.29967451365334
2022-04-01,121.0,2022-12-01,244.39174232825633
2022-05-01,177.0,2023-01-01,242.5129740432488
2022-06-01,137.0,2023-02-01,240.66270731369212
2022-07-01,117.0,2023-03-01,238.8402996818785
2022-08-01,8.0,2023-04-01,237.04512783690586
2022-09-01,110.0,2023-05-01,235.27658690707622
2022-10-01,129.0,2023-06-01,233.53408978343296
