t,q,t_model,q_model
2019-09-01,1914.0,2019-12-01,3398.139649411811
2019-10-01,12209.0,2020-01-01,1127.1516462168058
2019-11-01,5505.0,2020-02-01,880.5040596404473
2019-12-01,3401.0,2020-03-01,760.2916428098198
2020-01-01,815.0,2020-04-01,684.6360970106302
2020-02-01,921.0,2020-05-01,630.9999423157205
2020-03-01,1021.0,2020-06-01,590.2247735048295
2020-04-01,1013.0,2020-07-01,557.7651940499403
2020-05-01,824.0,2020-08-01,531.0653744382238
2020-06-01,668.0,2020-09-01,508.5589277268728
2020-07-01,544.0,2020-10-01,489.22313977398477
2020-08-01,594.0,2020-11-01,472.35702176483585
2020-09-01,457.0,2020-12-01,457.4612293468691
2020-10-01,459.0,2021-01-01,444.1687392520429
2020-11-01,425.0,2021-02-01,432.20268385375687
2020-12-01,553.0,2021-03-01,421.3495783952317
2021-01-01,395.0,2021-04-01,411.4416983079968
2021-02-01,270.0,2021-05-01,402.3451183763226
2021-03-01,320.0,2021-06-01,393.95137743053425
2021-04-01,361.0,2021-07-01,386.1715344317685
2021-05-01,362.0,2021-08-01,378.93184326924643
2021-06-01,298.0,2021-09-01,372.1705485322801
2021-07-01,343.0,2021-10-01,365.8354734597189
2021-08-01,385.0,2021-11-01,359.8821779492423
2021-09-01,288.0,2021-12-01,354.27253353356275
2021-10-01,252.0,2022-01-01,348.9736078785183
2021-11-01,316.0,2022-02-01,343.95678214813717
2021-12-01,336.0,2022-03-01,339.19704572560227
2022-01-01,357.0,2022-04-01,334.6724275379204
2022-02-01,235.0,2022-05-01,330.3635336894703
2022-03-01,453.0,2022-06-01,326.25316862177567
2022-04-01,347.0,2022-07-01,322.32602248223634
2022-05-01,374.0,2022-08-01,318.568411407795
2022-06-01,390.0,2022-09-01,314.9680604236276
2022-07-01,353.0,2022-10-01,311.51392090788727
2022-08-01,306.0,2022-11-01,308.1960162818762
2022-09-01,296.0,2022-12-01,305.0053108930895
2022-10-01,337.0,2023-01-01,301.9335980685067
2022-11-01,347.0,2023-02-01,298.9734041013637
2022-12-01,160.0,2023-03-01,296.11790555062953
2023-01-01,366.0,2023-04-01,293.3608577186199
2023-02-01,243.0,2023-05-01,290.6965325584566
2023-03-01,293.0,2023-06-01,288.1196645718726
2023-04-01,319.0,2023-07-01,285.6254035061613
2023-05-01,293.0,2023-08-01,283.2092728598397
,,2023-09-01,280.86713336978937
,,2023-10-01,278.59515078597025
,,2023-11-01,276.3897673492398
,,2023-12-01,274.24767647806436
,,2024-01-01,272.1658002446559
,,2024-02-01,270.14126928323196
,,2024-03-01,268.1714048250099
,,2024-04-01,266.25370259805203
,,2024-05-01,264.38581836668305
,,2024-06-01,262.56555491610396
,,2024-07-01,260.79085031399813
,,2024-08-01,259.05976730317235
,,2024-09-01,257.3704836982355
,,2024-10-01,255.7212836755314
,,2024-11-01,254.1105498594435
,,2024-12-01,252.53675612014402
,,2025-01-01,250.99846100816572
,,2025-02-01,249.49430176008434
,,2025-03-01,248.02298881731866
,,2025-04-01,246.58330080676336
,,2025-05-01,245.17407993780708
,,2025-06-01,243.794227775385
,,2025-07-01,242.44270135317143
,,2025-08-01,241.11850959492315
,,2025-09-01,239.82071001541505
,,2025-10-01,238.54840567542752
,,2025-11-01,237.3007423679066
,,2025-12-01,236.07690601476818
,,2026-01-01,234.8761202558983
,,2026-02-01,233.69764421374447
,,2026-03-01,232.5407704185325
,,2026-04-01,231.40482288059707
,,2026-05-01,230.28915529761449
,,2026-06-01,229.19314938568243
,,2026-07-01,228.1162133242267
,,2026-08-01,227.05778030564133
,,2026-09-01,226.01730718139848
,,2026-10-01,224.9942731971097
,,2026-11-01,223.98817880968923
,,2026-12-01,222.99854458037493
,,2027-01-01,222.02491013790217
,,2027-02-01,221.06683320662015
,,2027-03-01,220.12388869477994
,,2027-04-01,219.19566783862584
,,2027-05-01,218.2817773982842
,,2027-06-01,217.38183890177237
,,2027-07-01,216.49548793374998
,,2027-08-01,215.62237346590516
,,2027-09-01,214.76215722611602
,,2027-10-01,213.91451310375254
,,2027-11-01,213.0791265886882
,,2027-12-01,212.25569424177894
,,2028-01-01,211.44392319473684
,,2028-02-01,210.643530677483
,,2028-03-01,209.8542435712067
,,2028-04-01,209.075797985489
,,2028-05-01,208.3079388579688
,,2028-06-01,207.5504195751403
,,2028-07-01,206.8030016129713
,,2028-08-01,206.06545419612544
,,2028-09-01,205.33755397465688
,,2028-10-01,204.6190847171244
,,2028-11-01,203.9098370191454
,,2028-12-01,203.2096080264771
,,2029-01-01,202.51820117177314
,,2029-02-01,201.83542592422262
,,2029-03-01,201.16109755132965
,,2029-04-01,200.49503689214197
,,2029-05-01,199.83707014128154
,,2029-06-01,199.18702864317208
,,2029-07-01,198.5447486958969
,,2029-08-01,197.91007136415823
,,2029-09-01,197.2828423008401
,,2029-10-01,196.66291157670994
,,2029-11-01,196.05013351782242
,,2029-12-01,195.44436655021516
,,2030-01-01,194.84547305151204
,,2030-02-01,194.2533192090727
,,2030-03-01,193.66777488434826
,,2030-04-01,193.08871348312363
,,2030-05-01,192.51601183134625
,,2030-06-01,191.94955005625806
,,2030-07-01,191.38921147256366
,,2030-08-01,190.83488247338445
,,2030-09-01,190.28645242576104
,,2030-10-01,189.7438135704811
,,2030-11-01,189.20686092602196
,,2030-12-01,188.67549219640836
,,2031-01-01,188.14960768279855
,,2031-02-01,187.62911019861986
,,2031-03-01,187.1139049880873
,,2031-04-01,186.60389964794498
,,2031-05-01,186.09900405228151
,,2031-06-01,185.59913028027637
,,2031-07-01,185.10419254674312
,,2031-08-01,184.61410713534167
,,2031-09-01,184.128792334339
