t,q,t_model,q_model
2022-01-01,0.0,2022-07-01,9406.242754618308
2022-02-01,0.0,2022-08-01,6857.748001498179
2022-03-01,0.0,2022-09-01,5319.388605461007
2022-04-01,0.0,2022-10-01,4301.411278349594
2022-05-01,4990.0,2022-11-01,3583.7273938489698
2022-06-01,11573.0,2022-12-01,3053.725476418949
2022-07-01,9518.0,2023-01-01,2648.19264597208
2022-08-01,5960.0,2023-02-01,2329.083485289622
2022-09-01,6952.0,2023-03-01,2072.218330697072
2022-10-01,4470.0,2023-04-01,1861.5422231125774
2022-11-01,2050.0,2023-05-01,1686.0043225655256
2022-12-01,3282.0,2023-06-01,1537.7656146400636
2023-01-01,2526.0,2023-07-01,1411.1212948417501
2023-02-01,1919.0,2023-08-01,1301.8273025404628
2023-03-01,2333.0,2023-09-01,1206.6652543797709
2023-04-01,2963.0,2023-10-01,1123.1532000770949
2023-05-01,1483.0,2023-11-01,1049.3484313626186
2023-06-01,1229.0,2023-12-01,983.710031964075
,,2024-01-01,925.0011599845623
,,2024-02-01,872.218338761862
,,2024-03-01,824.5394702787913
,,2024-04-01,781.2850587694446
,,2024-05-01,741.888905844361
,,2024-06-01,705.8756965578665
,,2024-07-01,672.8436664595832
,,2024-08-01,642.4510614038821
,,2024-09-01,614.4054607717778
,,2024-10-01,588.4552852571145
,,2024-11-01,564.3829875934944
,,2024-12-01,541.9995515634171
,,2025-01-01,521.1400166548547
,,2025-02-01,501.6598131566255
,,2025-03-01,483.4317423906578
,,2025-04-01,466.3434740709907
,,2025-05-01,450.29546089419875
,,2025-06-01,435.19919184045
,,2025-07-01,420.9757220432953
,,2025-08-01,407.55442973094625
,,2025-09-01,394.871960572558
,,2025-10-01,382.87132745720874
,,2025-11-01,371.5011397933889
,,2025-12-01,360.71494121864794
,,2026-01-01,350.47063843562415
,,2026-02-01,340.730006956687
,,2026-03-01,331.4582620087739
,,2026-04-01,322.62368484865874
,,2026-05-01,314.19729636422613
,,2026-06-01,306.152571165043
,,2026-07-01,298.46518645481643
,,2026-08-01,291.11280087571487
,,2026-09-01,284.0748592567633
,,2026-10-01,277.3324198147676
,,2026-11-01,270.86800086973625
,,2026-12-01,264.6654445661902
,,2027-01-01,258.70979545205785
,,2027-02-01,252.9871920701694
,,2027-03-01,247.48476997349306
,,2027-04-01,242.19057479220245
,,2027-05-01,237.09348416495726
,,2027-06-01,232.18313750377408
,,2027-07-01,227.44987269596882
,,2027-08-01,222.8846689615109
,,2027-09-01,218.4790951827438
,,2027-10-01,214.22526310831608
,,2027-11-01,210.11578490640724
,,2027-12-01,206.1437346056691
,,2028-01-01,202.30261301720304
,,2028-02-01,198.58631577857815
,,2028-03-01,194.989104202402
,,2028-04-01,191.50557864816113
,,2028-05-01,188.13065416768902
,,2028-06-01,184.8595382023238
,,2028-07-01,181.68771013412777
,,2028-08-01,178.61090251489998
,,2028-09-01,175.62508381552317
,,2028-10-01,172.7264425547744
,,2028-11-01,169.91137268138306
,,2028-12-01,167.17646009608805
,,2029-01-01,164.51847021193868
,,2029-02-01,161.93433646128528
,,2029-03-01,159.42114966697687
,,2029-04-01,156.97614820335548
,,2029-05-01,154.59670887983833
,,2029-06-01,152.2803384863054
,,2029-07-01,150.0246659452575
,,2029-08-01,147.82743502085557
,,2029-09-01,145.68649753956163
,,2029-10-01,143.59980708124428
,,2029-11-01,141.56541310333012
,,2029-12-01,139.58145546392927
,,2030-01-01,137.64615931288006
,,2030-02-01,135.75783032237638
,,2030-03-01,133.91485023129619
,,2030-04-01,132.11567267957125
,,2030-05-01,130.3588193109433
,,2030-06-01,128.6428761242744
,,2030-07-01,126.96649005522727
,,2030-08-01,125.32836577162843
,,2030-09-01,123.7272626671898
,,2030-10-01,122.16199203949978
,,2030-11-01,120.63141443932228
,,2030-12-01,119.13443717926998
,,2031-01-01,117.67001199085243
,,2031-02-01,116.23713281975603
,,2031-03-01,114.83483374999386
,,2031-04-01,113.46218704827687
,,2031-05-01,112.1183013206125
,,2031-06-01,110.80231977373556
,,2031-07-01,109.51341857452502
,,2031-08-01,108.25080530106476
,,2031-09-01,107.01371747946828
,,2031-10-01,105.80142120101299
