t,q,t_model,q_model 
2012-08-01,11073.0,2013-07-01,7646.143284439637
2012-09-01,12973.0,2013-08-01,3836.1836969635096
2012-10-01,17099.0,2013-09-01,2938.263526020726
2012-11-01,19002.0,2013-10-01,2482.5676658638536
2012-12-01,22950.0,2013-11-01,2194.1576638820884
2013-01-01,15903.0,2013-12-01,1990.277733476744
2013-02-01,10039.0,2014-01-01,1836.154423659406
2013-03-01,10160.0,2014-02-01,1714.2607314553484
2013-04-01,3059.0,2014-03-01,1614.6678445628008
2013-05-01,4503.0,2014-04-01,1531.270695058988
2013-06-01,3585.0,2014-05-01,1460.0795079915856
2013-07-01,7724.0,2014-06-01,1398.360946234163
2013-08-01,3458.0,2014-07-01,1344.1706020244267
2013-09-01,2155.0,2014-08-01,1296.0820718718487
2013-10-01,2198.0,2014-09-01,1253.0217951168786
2013-11-01,1892.0,2014-10-01,1214.1640613731427
2013-12-01,2104.0,2014-11-01,1178.8618729451334
2014-01-01,1428.0,2014-12-01,1146.600027272156
2014-02-01,1708.0,2015-01-01,1116.962439676687
2014-03-01,1764.0,2015-02-01,1089.6088618700005
2014-04-01,1536.0,2015-03-01,1064.2579597522022
2014-05-01,1960.0,2015-04-01,1040.674793286586
2014-06-01,1832.0,2015-05-01,1018.661405227941
2014-07-01,1642.0,2015-06-01,998.049645127728
2014-08-01,1628.0,2015-07-01,978.6956266914801
2014-09-01,2072.0,2015-08-01,960.4753962506601
2014-10-01,2400.0,2015-09-01,943.2815113078966
2014-11-01,1685.0,2015-10-01,927.0203113222134
2014-12-01,1477.0,2015-11-01,911.6097209590918
2015-01-01,897.0,2015-12-01,896.9774671456934
2015-02-01,987.0,2016-01-01,883.0596207887028
2015-03-01,1323.0,2016-02-01,869.7993954714669
2015-04-01,1019.0,2016-03-01,857.1461512312779
2015-05-01,1042.0,2016-04-01,845.054563254074
2015-06-01,1144.0,2016-05-01,833.4839241390703
2015-07-01,1249.0,2016-06-01,822.3975550696556
2015-08-01,1317.0,2016-07-01,811.7623063395426
2015-09-01,1165.0,2016-08-01,801.548131626449
2015-10-01,1225.0,2016-09-01,791.727723470731
2015-11-01,1485.0,2016-10-01,782.2761998164062
2015-12-01,2424.0,2016-11-01,773.1708333642861
2016-01-01,2326.0,2016-12-01,764.3908169886294
2016-02-01,276.0,2017-01-01,755.9170596678499
2016-03-01,665.0,2017-02-01,747.7320083429378
2016-04-01,303.0,2017-03-01,739.8194918951424
2016-05-01,61.0,2017-04-01,732.164584066057
2016-06-01,656.0,2017-05-01,724.7534826586551
2016-07-01,1820.0,2017-06-01,717.5734027804181
2016-08-01,1803.0,2017-07-01,710.6124822377961
2016-09-01,1635.0,2017-08-01,703.8596974792106
2016-10-01,1106.0,2017-09-01,697.3047887230384
2016-11-01,1037.0,2017-10-01,690.9381931065625
2016-12-01,1206.0,2017-11-01,684.7509848589198
2017-01-01,1206.0,2017-12-01,678.7348216414746
2017-02-01,241.0,2018-01-01,672.8818963174239
2017-03-01,1051.0,2018-02-01,667.1848935126092
2017-04-01,758.0,2018-03-01,661.636950414543
2017-05-01,996.0,2018-04-01,656.2316213290585
2017-06-01,856.0,2018-05-01,650.9628455758372
2017-07-01,1023.0,2018-06-01,645.8249183570325
2017-08-01,664.0,2018-07-01,640.8124642787151
2017-09-01,639.0,2018-08-01,635.9204132440403
2017-10-01,146.0,2018-09-01,631.1439784708863
2017-11-01,1171.0,2018-10-01,626.478636415994
2017-12-01,1735.0,2018-11-01,621.9201084130663
2018-01-01,598.0,2018-12-01,617.4643438543844
2018-02-01,394.0,2019-01-01,613.1075047647788
2018-03-01,383.0,2019-02-01,608.8459516336297
2018-04-01,488.0,2019-03-01,604.6762303853133
2018-05-01,478.0,2019-04-01,600.5950603814473
2018-06-01,431.0,2019-05-01,596.5993233596603
2018-07-01,492.0,2019-06-01,592.6860532236207
2018-08-01,352.0,2019-07-01,588.8524266079079
2018-09-01,442.0,2019-08-01,585.0957541491107
2018-10-01,703.0,2019-09-01,581.4134724014692
2018-11-01,599.0,2019-10-01,577.8031363415063
2018-12-01,397.0,2019-11-01,574.2624124115551
2019-01-01,251.0,2019-12-01,570.7890720569458
2019-02-01,250.0,2020-01-01,567.3809857159364
2019-03-01,0.0,2020-02-01,564.0361172253487
2019-04-01,293.0,2020-03-01,560.7525186083155
2019-05-01,202.0,2020-04-01,557.5283252136489
2019-06-01,81.0,2020-05-01,554.3617511791093
2019-07-01,471.0,2020-06-01,551.2510851933504
2019-08-01,568.0,2020-07-01,548.194686533556
2019-09-01,540.0,2020-08-01,545.1909813578034
2019-10-01,955.0,2020-09-01,542.2384592330056
2019-11-01,649.0,2020-10-01,539.3356698809303
2019-12-01,136.0,2020-11-01,536.4812201262743
2020-01-01,548.0,2020-12-01,533.6737710321221
2020-02-01,149.0,2021-01-01,530.912035209324
2020-03-01,223.0,2021-02-01,528.1947742874451
2020-04-01,77.0,2021-03-01,525.5207965359276
2020-05-01,114.0,2021-04-01,522.8889546250313
2020-06-01,50.0,2021-05-01,520.2981435169321
2020-07-01,375.0,2021-06-01,517.7472984781309
2020-08-01,457.0,2021-07-01,515.2353932049964
2020-09-01,30.0,2021-08-01,512.761438054907
2020-10-01,105.0,2021-09-01,510.32447837602547
2020-11-01,163.0,2021-10-01,507.9235929292643
2020-12-01,0.0,2021-11-01,505.5578923964846
2021-01-01,395.0,2021-12-01,503.22651796940704
2021-02-01,332.0,2022-01-01,500.92864001412204
2021-03-01,637.0,2022-02-01,498.6634568064517
2021-04-01,582.0,2022-03-01,496.4301933337624
2021-05-01,513.0,2022-04-01,494.22810015913524
2021-06-01,504.0,2022-05-01,492.05645234409087
2021-07-01,705.0,2022-06-01,489.91454842633357
2021-08-01,432.0,2022-07-01,487.80170944921906
2021-09-01,433.0,2022-08-01,485.7172780398791
2021-10-01,441.0,2022-09-01,483.6606175331442
2021-11-01,231.0,2022-10-01,481.6311111385963
2021-12-01,252.0,2022-11-01,479.62816114826245
2022-01-01,189.0,2022-12-01,477.6511881826243
2022-02-01,185.0,2023-01-01,475.6996304727711
2022-03-01,271.0,2023-02-01,473.772943176664
2022-04-01,219.0,2023-03-01,471.87059772761035
2022-05-01,292.0,2023-04-01,469.99208121316997
2022-06-01,353.0,2023-05-01,468.13689578282384
2022-07-01,317.0,2023-06-01,466.3045580828443
2022-08-01,304.0,2023-07-01,464.49459871690175
2022-09-01,111.0,2023-08-01,462.7065617310307
2022-10-01,292.0,2023-09-01,460.9400041216669
2022-11-01,291.0,2023-10-01,459.19449536554174
2022-12-01,159.0,2023-11-01,457.4696169702939
2023-01-01,262.0,2023-12-01,455.76496204472835
2023-02-01,457.0,2024-01-01,454.08013488771326
2023-03-01,283.0,2024-02-01,452.4147505947668
2023-04-01,357.0,2024-03-01,450.7684346814404
2023-05-01,202.0,2024-04-01,449.1408227226562
2023-06-01,352.0,2024-05-01,447.53156000720617
2023-07-01,172.0,2024-06-01,445.9403012066637
,,2024-07-01,444.3667100580034
,,2024-08-01,442.81045905926004
,,2024-09-01,441.27122917760107
,,2024-10-01,439.74870956921507
,,2024-11-01,438.2425973104571
,,2024-12-01,436.75259713971724
,,2025-01-01,435.27842120951254
,,2025-02-01,433.81978884832506
,,2025-03-01,432.376426331736
,,2025-04-01,430.94806666243164
,,2025-05-01,429.53444935867446
,,2025-06-01,428.1353202508588
,,2025-07-01,426.750431285787
,,2025-08-01,425.37954033832295
,,2025-09-01,424.02241103009453
,,2025-10-01,422.67881255493705
,,2025-11-01,421.34851951078144
,,2025-12-01,420.0313117377093
,,2026-01-01,418.72697416190687
,,2026-02-01,417.4352966452677
,,2026-03-01,416.1560738404021
,,2026-04-01,414.88910505082566
,,2026-05-01,413.63419409610896
,,2026-06-01,412.3911491817822
,,2026-07-01,411.1597827737972
,,2026-08-01,409.939911477359
,,2026-09-01,408.7313559199488
,,2026-10-01,407.5339406383677
,,2026-11-01,406.34749396963775
,,2026-12-01,405.17184794560734
,,2027-01-01,404.00683819111134
,,2027-02-01,402.852303825546
,,2027-03-01,401.7080873677238
,,2027-04-01,400.57403464387886
,,2027-05-01,399.4499946987024
,,2027-06-01,398.33581970928816
,,2027-07-01,397.23136490187807
,,2027-08-01,396.1364884712995
,,2027-09-01,395.05105150299323
,,2027-10-01,393.9749178975326
,,2027-11-01,392.9079542975411
,,2027-12-01,391.8500300169189
,,2028-01-01,390.8010169722924
,,2028-02-01,389.76078961660386
,,2028-03-01,388.7292248747639
,,2028-04-01,387.7062020812902
,,2028-05-01,386.6916029198615
,,2028-06-01,385.6853113647165
,,2028-07-01,384.68721362383246
,,2028-08-01,383.697198083819
,,2028-09-01,382.71515525646714
,,2028-10-01,381.740977726894
,,2028-11-01,380.7745601032286
,,2028-12-01,379.8157989677827
,,2029-01-01,378.86459282965774
,,2029-02-01,377.9208420787356
,,2029-03-01,376.98444894100805
,,2029-04-01,376.0553174351969
,,2029-05-01,375.1333533306224
,,2029-06-01,374.21846410627717
,,2029-07-01,373.3105589110646
,,2029-08-01,372.40954852516427
,,2029-09-01,371.51534532248417
,,2029-10-01,370.6278632341667
,,2029-11-01,369.7470177131114
,,2029-12-01,368.8727256994821
,,2030-01-01,368.0049055871663
,,2030-02-01,367.1434771911554
,,2030-03-01,366.28836171581656
,,2030-04-01,365.439481724027
,,2030-05-01,364.5967611071438
,,2030-06-01,363.76012505578126
,,2030-07-01,362.9295000313726
,,2030-08-01,362.10481373848825
,,2030-09-01,361.2859950978897
,,2030-10-01,360.4729742202942
,,2030-11-01,359.6656823808288
,,2030-12-01,358.86405199415276
,,2031-01-01,358.068016590227
,,2031-02-01,357.27751079071135
,,2031-03-01,356.4924702859704
,,2031-04-01,355.71283181266875
,,2031-05-01,354.93853313193955
,,2031-06-01,354.1695130081065
,,2031-07-01,353.4057111879456
,,2031-08-01,352.6470683804685
,,2031-09-01,351.8935262372127
,,2031-10-01,351.1450273330238
,,2031-11-01,350.40151514731497
