t,q,t_model,q_model
2008-11-01,3002.0,2008-12-01,1790.9173601949522
2008-12-01,1751.0,2009-01-01,902.7983600571703
2009-01-01,1186.0,2009-02-01,646.59515909327
2009-02-01,687.0,2009-03-01,517.5032606921927
2009-03-01,266.0,2009-04-01,437.7460818196175
2009-04-01,522.0,2009-05-01,382.7945051882549
2009-05-01,234.0,2009-06-01,342.2550118053122
2009-06-01,239.0,2009-07-01,310.9082945950381
2009-07-01,396.0,2009-08-01,285.8225899127405
2009-08-01,224.0,2009-09-01,265.2139418503301
2009-09-01,383.0,2009-10-01,247.92951408474988
2009-10-01,345.0,2009-11-01,233.18847845808637
2009-11-01,106.0,2009-12-01,220.44162612716255
2009-12-01,354.0,2010-01-01,209.29049214858944
2010-01-01,2.0,2010-02-01,199.43837943199478
2010-02-01,0.0,2010-03-01,190.6594439123436
2010-03-01,212.0,2010-04-01,182.7784844039684
2010-04-01,122.0,2010-05-01,175.65732792033427
2010-05-01,85.0,2010-06-01,169.1854164043743
2010-06-01,122.0,2010-07-01,163.27314850466266
2010-07-01,50.0,2010-08-01,157.8470744826674
2010-08-01,103.0,2010-09-01,152.84636596190637
2010-09-01,14.0,2010-10-01,148.22018046125493
2010-10-01,0.0,2010-11-01,143.9256653632425
2010-11-01,28.0,2010-12-01,139.92642632016202
2010-12-01,50.0,2011-01-01,136.19133799897702
2011-01-01,80.0,2011-02-01,132.69361057547846
2011-02-01,86.0,2011-03-01,129.41004965115803
2011-03-01,276.0,2011-04-01,126.32046411546867
2011-04-01,108.0,2011-05-01,123.40718835208567
2011-05-01,127.0,2011-06-01,120.65469367373466
2011-06-01,184.0,2011-07-01,118.04927001095241
2011-07-01,133.0,2011-08-01,115.57876337628751
2011-08-01,76.0,2011-09-01,113.2323579534708
2011-09-01,96.0,2011-10-01,111.00039414961269
2011-10-01,114.0,2011-11-01,108.87421582701612
2011-11-01,117.0,2011-12-01,106.846041361904
2011-12-01,67.0,2012-01-01,104.9088542761278
2012-01-01,0.0,2012-02-01,103.05631003840135
2012-02-01,77.0,2012-03-01,101.28265629477696
2012-03-01,67.0,2012-04-01,99.58266430881551
2012-04-01,83.0,2012-05-01,97.95156980349438
2012-05-01,162.0,2012-06-01,96.38502172425471
2012-06-01,180.0,2012-07-01,94.87903770449937
2012-07-01,215.0,2012-08-01,93.42996522557438
2012-08-01,70.0,2012-09-01,92.03444763371618
2012-09-01,76.0,2012-10-01,90.68939431501872
2012-10-01,83.0,2012-11-01,89.39195444268036
2012-11-01,162.0,2012-12-01,88.13949380370101
2012-12-01,88.0,2013-01-01,86.92957428878853
2013-01-01,144.0,2013-02-01,85.75993569263906
2013-02-01,133.0,2013-03-01,84.62847952445516
2013-03-01,110.0,2013-04-01,83.53325457253932
2013-04-01,108.0,2013-05-01,82.47244400362864
2013-05-01,96.0,2013-06-01,81.44435380858957
2013-06-01,118.0,2013-07-01,80.44740243219782
2013-07-01,108.0,2013-08-01,79.480111446817
2013-08-01,66.0,2013-09-01,78.5410971485397
2013-09-01,258.0,2013-10-01,77.62906297031877
2013-10-01,203.0,2013-11-01,76.74279262024854
2013-11-01,130.0,2013-12-01,75.88114386482897
2013-12-01,113.0,2014-01-01,75.04304288707002
2014-01-01,83.0,2014-02-01,74.2274791579228
2014-02-01,61.0,2014-03-01,73.43350076697386
2014-03-01,76.0,2014-04-01,72.6602101647828
2014-04-01,17.0,2014-05-01,71.90676027483462
2014-05-01,52.0,2014-06-01,71.17235093793708
2014-06-01,55.0,2014-07-01,70.45622565612712
2014-07-01,85.0,2014-08-01,69.75766860684764
2014-08-01,74.0,2014-09-01,69.07600190139013
2014-09-01,9.0,2014-10-01,68.41058306443442
2014-10-01,0.0,2014-11-01,67.76080271400856
2014-11-01,0.0,2014-12-01,67.12608242338372
2014-12-01,0.0,2015-01-01,66.50587274835314
2015-01-01,0.0,2015-02-01,65.89965140505174
2015-02-01,0.0,2015-03-01,65.30692158498425
2015-03-01,0.0,2015-04-01,64.7272103952699
2015-04-01,0.0,2015-05-01,64.16006741330088
2015-05-01,0.0,2015-06-01,63.605063346069315
2015-06-01,0.0,2015-07-01,63.06178878536104
2015-07-01,64.0,2015-08-01,62.529853050853205
2015-08-01,0.0,2015-09-01,62.008883113905284
2015-09-01,16.0,2015-10-01,61.49852259550399
2015-10-01,10.0,2015-11-01,60.99843083242492
2015-11-01,0.0,2015-12-01,60.508282006213946
2015-12-01,0.0,2016-01-01,60.02776433007611
2016-01-01,7.0,2016-02-01,59.55657928919686
2016-02-01,0.0,2016-03-01,59.09444093041305
2016-03-01,48.0,2016-04-01,58.64107519750604
2016-04-01,0.0,2016-05-01,58.19621930870929
2016-05-01,0.0,2016-06-01,57.75962117331208
2016-06-01,0.0,2016-07-01,57.331038844503084
2016-07-01,0.0,2016-08-01,56.91024000583483
2016-08-01,422.0,2016-09-01,56.4970014889054
2016-09-01,200.0,2016-10-01,56.091108820048944
2016-10-01,179.0,2016-11-01,55.69235579400481
2016-11-01,160.0,2016-12-01,55.300544072696226
2016-12-01,182.0,2017-01-01,54.91548280739719
2017-01-01,121.0,2017-02-01,54.53698828270045
2017-02-01,128.0,2017-03-01,54.16488358082178
2017-03-01,116.0,2017-04-01,53.7989982648883
2017-04-01,80.0,2017-05-01,53.43916807996029
2017-05-01,100.0,2017-06-01,53.085234670630484
2017-06-01,86.0,2017-07-01,52.737045314129844
2017-07-01,75.0,2017-08-01,52.39445266794833
2017-08-01,116.0,2017-09-01,52.05731453105083
2017-09-01,165.0,2017-10-01,51.725493617835205
2017-10-01,151.0,2017-11-01,51.39885734404004
2017-11-01,149.0,2017-12-01,51.07727762386604
2017-12-01,166.0,2018-01-01,50.760630677626665
2018-01-01,536.0,2018-02-01,50.44879684929105
2018-02-01,205.0,2018-03-01,50.141660433326194
2018-03-01,52.0,2018-04-01,49.83910951028615
2018-04-01,135.0,2018-05-01,49.54103579063283
2018-05-01,99.0,2018-06-01,49.247334466308274
2018-06-01,103.0,2018-07-01,48.95790406960955
2018-07-01,54.0,2018-08-01,48.672646338947494
2018-08-01,51.0,2018-09-01,48.39146609109783
2018-09-01,34.0,2018-10-01,48.11427109957815
2018-10-01,0.0,2018-11-01,47.8409719788086
2018-11-01,65.0,2018-12-01,47.5714820737352
2018-12-01,11.0,2019-01-01,47.30571735461535
2019-01-01,12.0,2019-02-01,47.04359631668405
2019-02-01,0.0,2019-03-01,46.785039884436465
2019-03-01,86.0,2019-04-01,46.5299713202793
2019-04-01,66.0,2019-05-01,46.278316137318185
2019-05-01,96.0,2019-06-01,46.030002016062525
2019-06-01,177.0,2019-07-01,45.78495872484263
2019-07-01,146.0,2019-08-01,45.54311804374594
2019-08-01,65.0,2019-09-01,45.304413691890744
2019-09-01,142.0,2019-10-01,45.06878125786662
2019-10-01,97.0,2019-11-01,44.8361581331804
2019-11-01,41.0,2019-12-01,44.60648344855637
2019-12-01,31.0,2020-01-01,44.379698012947635
2020-01-01,97.0,2020-02-01,44.155744255123956
2020-02-01,12.0,2020-03-01,43.9345661677091
2020-03-01,142.0,2020-04-01,43.71610925354765
2020-04-01,94.0,2020-05-01,43.500320474288166
2020-05-01,86.0,2020-06-01,43.28714820107568
2020-06-01,156.0,2020-07-01,43.07654216725257
2020-07-01,7.0,2020-08-01,42.868453422972124
2020-08-01,69.0,2020-09-01,42.662834291634724
2020-09-01,58.0,2020-10-01,42.45963832806089
2020-10-01,11.0,2020-11-01,42.25882027832057
2020-11-01,8.0,2020-12-01,42.0603360411418
2020-12-01,0.0,2021-01-01,41.86414263082655
2021-01-01,2.0,2021-02-01,41.67019814160461
