t,q,t_model,q_model
2021-11-01,20263.0,2021-12-01,20555.09973795613
2021-12-01,20112.0,2022-01-01,13433.789755502137
2022-01-01,12913.0,2022-02-01,9649.922212713325
2022-02-01,13438.0,2022-03-01,7360.879327419893
2022-03-01,9875.0,2022-04-01,5853.110119458691
2022-04-01,3319.0,2022-05-01,4798.256009990144
2022-05-01,1664.0,2022-06-01,4026.315895918887
2022-06-01,609.0,2022-07-01,3441.3647044685486
2022-07-01,778.0,2022-08-01,2985.594193766891
2022-08-01,2789.0,2022-09-01,2622.3062484519232
2022-09-01,2808.0,2022-10-01,2327.199388563691
2022-10-01,3235.0,2022-11-01,2083.6085241889746
2022-11-01,2626.0,2022-12-01,1879.7637499457169
2022-12-01,2426.0,2023-01-01,1707.1406956785772
2023-01-01,2664.0,2023-02-01,1559.4298977382923
2023-02-01,2258.0,2023-03-01,1431.871819735281
2023-03-01,2874.0,2023-04-01,1320.8155953219266
2023-04-01,2514.0,2023-05-01,1223.4189239736493
2023-05-01,2686.0,2023-06-01,1137.4394659165193
2023-06-01,2471.0,2023-07-01,1061.0869903559487
,,2023-08-01,992.9167374320984
,,2023-09-01,931.7512834900897
,,2023-10-01,876.6224662439357
,,2023-11-01,826.7276532927652
,,2023-12-01,781.3964161036171
,,2024-01-01,740.0648535641309
,,2024-02-01,702.2556082065473
,,2024-03-01,667.5621668452399
,,2024-04-01,635.6364195877339
,,2024-05-01,606.1787210426678
,,2024-06-01,578.9298904647873
,,2024-07-01,553.6647270894618
,,2024-08-01,530.1867188944319
,,2024-09-01,508.3236983341504
,,2024-10-01,487.9242547284412
,,2024-11-01,468.8547552056673
,,2024-12-01,450.99685811807353
,,2025-01-01,434.24542732013833
,,2025-02-01,418.5067745468638
,,2025-03-01,403.6971717441923
,,2025-04-01,389.7415866136983
,,2025-05-01,376.5726035977994
,,2025-06-01,364.12949961666243
,,2025-07-01,352.35744949975447
,,2025-08-01,341.20684055607103
,,2025-09-01,330.63267934317406
,,2025-10-01,320.59407661471363
,,2025-11-01,311.0537987944431
,,2025-12-01,301.9778762546475
,,2026-01-01,293.33526025638326
,,2026-02-01,285.09752170697936
,,2026-03-01,277.23858596128616
,,2026-04-01,269.7344987802603
,,2026-05-01,262.5632192979382
,,2026-06-01,255.70443646309278
,,2026-07-01,249.13940593688403
,,2026-08-01,242.8508048603561
,,2026-09-01,236.82260227005003
,,2026-10-01,231.03994324796037
,,2026-11-01,225.4890451530819
,,2026-12-01,220.15710450364415
,,2027-01-01,215.03221326822282
,,2027-02-01,210.10328348550235
,,2027-03-01,205.3599792709064
,,2027-04-01,200.79265538721867
,,2027-05-01,196.39230165868887
,,2027-06-01,192.1504925964594
,,2027-07-01,188.05934167955965
,,2027-08-01,184.11145980194365
,,2027-09-01,180.29991745357813
,,2027-10-01,176.61821025366646
,,2027-11-01,173.06022749776872
,,2027-12-01,169.62022341874749
,,2028-01-01,166.292790894884
,,2028-02-01,163.07283736782355
,,2028-03-01,159.95556275876206
,,2028-04-01,156.9364391939601
,,2028-05-01,154.01119237065964
,,2028-06-01,151.17578441213354
,,2028-07-01,148.42639807621714
,,2028-08-01,145.75942219550697
,,2028-09-01,143.17143823969056
,,2028-10-01,140.65920790138304
,,2028-11-01,138.21966161655635
,,2028-12-01,135.84988793930023
,,2029-01-01,133.54712369837995
,,2029-02-01,131.30874486995467
,,2029-03-01,129.13225810699882
,,2029-04-01,127.01529287150159
,,2029-05-01,124.95559412048334
,,2029-06-01,122.95101550132847
,,2029-07-01,120.99951301594169
,,2029-08-01,119.09913911684748
,,2029-09-01,117.2480372016048
,,2029-10-01,115.44443647484692
,,2029-11-01,113.68664714990835
,,2029-12-01,111.9730559644009
,,2030-01-01,110.30212198627162
,,2030-02-01,108.67237268884556
,,2030-03-01,107.08240027513965
,,2030-04-01,105.53085823335779
,,2030-05-01,104.01645810694926
,,2030-06-01,102.53796646395466
,,2030-07-01,101.09420205158368
,,2030-08-01,99.68403312308317
,,2030-09-01,98.30637492496835
,,2030-10-01,96.96018733361782
,,2030-11-01,95.64447263108006
,,2030-12-01,94.3582734107145
,,2031-01-01,93.10067060399945
,,2031-02-01,91.87078162048921
,,2031-03-01,90.66775859349902
,,2031-04-01,89.49078672464309
,,2031-05-01,88.33908272085351
,,2031-06-01,87.21189331796894
,,2031-07-01,86.10849388540744
,,2031-08-01,85.02818710682752
,,2031-09-01,83.9703017320421
,,2031-10-01,82.93419139578153
