t,q,t_model,q_model
2021-04-01,2369.0,2021-08-01,5440.3009472290605
2021-05-01,0.0,2021-09-01,2167.4857768042007
2021-06-01,0.0,2021-10-01,1691.9604663071207
2021-07-01,6497.0,2021-11-01,1457.5185083889896
2021-08-01,5443.0,2021-12-01,1309.5332907179186
2021-09-01,1970.0,2022-01-01,1204.537639627368
2021-10-01,1972.0,2022-02-01,1124.72123968442
2021-11-01,1341.0,2022-03-01,1061.2072127567753
2021-12-01,1618.0,2022-04-01,1008.9921547817959
2022-01-01,1293.0,2022-05-01,965.0052246155815
2022-02-01,962.0,2022-06-01,927.2396860134127
2022-03-01,1261.0,2022-07-01,894.3193754132387
2022-04-01,1035.0,2022-08-01,865.2637189723602
2022-05-01,773.0,2022-09-01,839.3518984756789
2022-06-01,640.0,2022-10-01,816.0401529501288
2022-07-01,757.0,2022-11-01,794.9092333480132
2022-08-01,865.0,2022-12-01,775.6297981404279
2022-09-01,850.0,2023-01-01,757.9389181605712
2022-10-01,876.0,2023-02-01,741.6236990553916
2022-11-01,722.0,2023-03-01,726.5096004492768
2022-12-01,782.0,2023-04-01,712.4519352742227
2023-01-01,652.0,2023-05-01,699.3295719148605
2023-02-01,529.0,2023-06-01,687.0401933176263
2023-03-01,1363.0,2023-07-01,675.4966766408536
2023-04-01,609.0,2023-08-01,664.6242925790569
2023-05-01,646.0,2023-09-01,654.3585131695406
,,2023-10-01,644.6432773914127
,,2023-11-01,635.4296054226436
,,2023-12-01,626.6744814321324
,,2024-01-01,618.3399453421756
,,2024-02-01,610.3923487665127
,,2024-03-01,602.8017410753934
,,2024-04-01,595.5413594501554
,,2024-05-01,588.5872026773443
,,2024-06-01,581.9176728586712
,,2024-07-01,575.5132725723488
,,2024-08-01,569.3563475934726
,,2024-09-01,563.4308672669268
,,2024-10-01,557.7222361714455
,,2024-11-01,552.2171319245743
,,2024-12-01,546.9033649341549
,,2025-01-01,541.7697566613266
,,2025-02-01,536.8060335670425
,,2025-03-01,532.0027344021488
,,2025-04-01,527.3511288956757
,,2025-05-01,522.8431462167188
,,2025-06-01,518.4713118472821
,,2025-07-01,514.228691718505
,,2025-08-01,510.1088426400146
,,2025-09-01,506.1057681989851
,,2025-10-01,502.2138794276097
,,2025-11-01,498.4279596396435
,,2025-12-01,494.7431329221291
,,2026-01-01,491.15483584029886
,,2026-02-01,487.6587919743189
,,2026-03-01,484.2509889579368
,,2026-04-01,480.9276577327586
,,2026-05-01,477.6852537691033
,,2026-06-01,474.5204400362047
,,2026-07-01,471.43007153181355
,,2026-08-01,468.41118120470884
,,2026-09-01,465.4609671238523
,,2026-10-01,462.57678076539474
,,2026-11-01,459.75611630389176
,,2026-12-01,456.9966008072359
,,2027-01-01,454.29598524627005
,,2027-02-01,451.6521362400332
,,2027-03-01,449.0630284663336
,,2027-04-01,446.5267376749991
,,2027-05-01,444.04143424787884
,,2027-06-01,441.60537725558896
,,2027-07-01,439.21690896620896
,,2027-08-01,436.8744497657428
,,2027-09-01,434.57649345423647
,,2027-10-01,432.32160288505384
,,2027-11-01,430.10840591802383
,,2027-12-01,427.93559166002314
,,2028-01-01,425.80190696910165
,,2028-02-01,423.70615320052434
,,2028-03-01,421.6471831751315
,,2028-04-01,419.62389835223087
,,2028-05-01,417.63524619086263
,,2028-06-01,415.68021768473494
,,2028-07-01,413.757845057441
,,2028-08-01,411.8671996057461
,,2028-09-01,410.0073896797989
,,2028-10-01,408.17755879007774
,,2028-11-01,406.3768838317526
,,2028-12-01,404.604573417924
,,2029-01-01,402.8598663139129
,,2029-02-01,401.1420299654169
,,2029-03-01,399.45035911393404
,,2029-04-01,397.78417449338536
,,2029-05-01,396.14282160235047
,,2029-06-01,394.5256695467699
,,2029-07-01,392.9321099483694
,,2029-08-01,391.3615559144265
,,2029-09-01,389.81344106483436
,,2029-10-01,388.28721861272174
,,2029-11-01,386.7823604951704
,,2029-12-01,385.29835655082394
,,2030-01-01,383.83471374141953
,,2030-02-01,382.3909554144872
,,2030-03-01,380.96662060466133
,,2030-04-01,379.5612633712287
,,2030-05-01,378.17445216970646
,,2030-06-01,376.8057692553969
,,2030-07-01,375.45481011700684
,,2030-08-01,374.12118293855207
,,2030-09-01,372.80450808788726
,,2030-10-01,371.50441763031284
,,2030-11-01,370.2205548658147
,,2030-12-01,368.95257388858636
,,2031-01-01,367.7001391675745
,,2031-02-01,366.46292514686553
,,2031-03-01,365.24061586481355
,,2031-04-01,364.0329045908731
,,2031-05-01,362.83949347917167
,,2031-06-01,361.6600932379136
,,2031-07-01,360.4944228137645
,,2031-08-01,359.3422090904192
,,2031-09-01,358.20318660060184
