t,q,t_model,q_model
2022-05-01,4326.0,2022-07-01,18026.77217406203
2022-06-01,23207.0,2022-08-01,13106.333675512727
2022-07-01,19101.0,2022-09-01,9522.819353545647
2022-08-01,10552.0,2022-10-01,6914.643914448078
2022-09-01,9192.0,2022-11-01,5017.563873880696
2022-10-01,9553.0,2022-12-01,3638.594638462889
2022-11-01,5694.0,2023-01-01,2636.883662646097
2022-12-01,4257.0,2023-02-01,1909.6933621906485
2023-01-01,1066.0,2023-03-01,1382.1351805409195
2023-02-01,402.0,2023-04-01,999.6557084416793
2023-03-01,808.0,2023-05-01,722.5405904649497
2023-04-01,1431.0,2023-06-01,521.8969238059931
2023-05-01,1636.0,2023-07-01,376.7183043440154
2023-06-01,713.0,2023-08-01,271.74215134068857
,,2023-09-01,195.88644857745425
,,2023-10-01,141.10995723821296
,,2023-11-01,101.58172719403503
,,2023-12-01,73.07636952032225
,,2024-01-01,52.53400806222181
,,2024-02-01,37.740275826571576
,,2024-03-01,27.093762113805866
,,2024-04-01,19.437124142687434
,,2024-05-01,13.934516018241597
,,2024-06-01,9.982692215278101
,,2024-07-01,7.146577414309914
,,2024-08-01,5.112600552967384
,,2024-09-01,3.6549182136351557
,,2024-10-01,2.6109839202175316
,,2024-11-01,1.863889448145578
,,2024-12-01,1.3296097682895136
,,2025-01-01,0.9477962965102955
,,2025-02-01,0.6751359590521255
,,2025-03-01,0.48056434511285034
,,2025-04-01,0.3418177150401928
,,2025-05-01,0.24295113723475667
,,2025-06-01,0.17255330381557077
,,2025-07-01,0.12246337111728303
,,2025-08-01,0.08684930289699043
,,2025-09-01,0.06154634347115104
,,2025-10-01,0.04358254191165644
,,2025-11-01,0.030838682584015082
,,2025-12-01,0.021804724670457572
,,2026-01-01,0.015405488981819619
,,2026-02-01,0.010875995252362252
,,2026-03-01,0.007672373089112695
,,2026-04-01,0.005408242186089705
,,2026-05-01,0.003809314111597834
,,2026-06-01,0.0026810208267595607
,,2026-07-01,0.0018854492192763434
,,2026-08-01,0.0013249187153959688
,,2026-09-01,0.0009302975005420873
,,2026-10-01,0.0006526963285958136
,,2026-11-01,0.0004575679989844949
,,2026-12-01,0.00032051896120260855
,,2027-01-01,0.00022433852476593164
,,2027-02-01,0.00015689332722870932
,,2027-03-01,0.00010963620308430761
,,2027-04-01,7.655098954468978e-05
,,2027-05-01,5.340640419334959e-05
,,2027-06-01,3.72288791861797e-05
,,2027-07-01,2.593039036399588e-05
,,2027-08-01,1.804591814312126e-05
,,2027-09-01,1.2548392656993965e-05
,,2027-10-01,8.718358990846725e-06
,,2027-11-01,6.052255550357184e-06
,,2027-12-01,4.1979179721936856e-06
,,2028-01-01,2.909263965371817e-06
,,2028-02-01,2.014480612249631e-06
,,2028-03-01,1.3937090655281918e-06
,,2028-04-01,9.634041186245081e-07
,,2028-05-01,6.653811187310086e-07
,,2028-06-01,4.5915180451565826e-07
,,2028-07-01,3.16565951196562e-07
,,2028-08-01,2.1806823805577935e-07
,,2028-09-01,1.5008564099588676e-07
,,2028-10-01,1.0320543977548237e-07
,,2028-11-01,7.09056647057105e-08
,,2028-12-01,4.867123294615282e-08
,,2029-01-01,3.3379128513970055e-08
,,2029-02-01,2.2871098026303604e-08
,,2029-03-01,1.5656927675936182e-08
,,2029-04-01,1.0708575501714183e-08
,,2029-05-01,7.317463984563153e-09
,,2029-06-01,4.995642006591827e-09
,,2029-07-01,3.407390644076357e-09
,,2029-08-01,2.3219374221563135e-09
,,2029-09-01,1.5807933925128821e-09
,,2029-10-01,1.0752111641299048e-09
,,2029-11-01,7.306417616326431e-10
,,2029-12-01,4.960269793044658e-10
,,2030-01-01,3.3642958376559533e-10
,,2030-02-01,2.2796549016912644e-10
,,2030-03-01,1.543220733302265e-10
,,2030-04-01,1.0436838205052341e-10
,,2030-05-01,7.051633695454447e-11
,,2030-06-01,4.759796072663575e-11
,,2030-07-01,3.209686814842298e-11
,,2030-08-01,2.1622731995333624e-11
,,2030-09-01,1.4552242987840497e-11
,,2030-10-01,9.784049222617374e-12
,,2030-11-01,6.5716507732235596e-12
,,2030-12-01,4.409560456320115e-12
,,2031-01-01,2.9558262957294158e-12
,,2031-02-01,1.9793522347510217e-12
,,2031-03-01,1.3241146925711374e-12
,,2031-04-01,8.848796735016691e-13
,,2031-05-01,5.907403912159595e-13
,,2031-06-01,3.9396774430667654e-13
,,2031-07-01,2.6246652423269563e-13
,,2031-08-01,1.7467635194725976e-13
,,2031-09-01,1.161285255780971e-13
,,2031-10-01,7.712336407557494e-14
