t,q,t_model,q_model
2020-03-01,868.0,2021-03-01,4594.468675207469
2020-04-01,93.0,2021-04-01,3884.003177257513
2020-05-01,2642.0,2021-05-01,3335.2479354602065
2020-06-01,3334.0,2021-06-01,2901.4781255987514
2020-07-01,2170.0,2021-07-01,2551.91197656835
2020-08-01,4122.0,2021-08-01,2265.552056032695
2020-09-01,5571.0,2021-09-01,2027.6475805141754
2020-10-01,5832.0,2021-10-01,1827.5717640417652
2020-11-01,5578.0,2021-11-01,1657.5000297580275
2020-12-01,5456.0,2021-12-01,1511.5601387153602
2021-01-01,5635.0,2022-01-01,1385.270277531854
2021-02-01,3969.0,2022-02-01,1275.1582990186769
2021-03-01,4912.0,2022-03-01,1178.4980332598625
2021-04-01,3396.0,2022-04-01,1093.12308713838
2021-05-01,3044.0,2022-05-01,1017.2930428498634
2021-06-01,2352.0,2022-06-01,949.5957789915196
2021-07-01,3480.0,2022-07-01,888.8751319117
2021-08-01,3100.0,2022-08-01,834.1766177899708
2021-09-01,1888.0,2022-09-01,784.7062151085585
2021-10-01,2096.0,2022-10-01,739.7987180274754
2021-11-01,1711.0,2022-11-01,698.8931899052401
2021-12-01,1249.0,2022-12-01,661.5137439532073
2022-01-01,1209.0,2023-01-01,627.2543628667344
2022-02-01,1013.0,2023-02-01,595.7668107340451
2022-03-01,1188.0,2023-03-01,566.7509339996325
2022-04-01,596.0,2023-04-01,539.9468238886964
2022-05-01,43.0,2023-05-01,515.1284407631439
2022-06-01,177.0,2023-06-01,492.09839520804013
2022-07-01,751.0,2023-07-01,470.6836507879803
2022-08-01,2340.0,2023-08-01,450.73196603395195
2022-09-01,1632.0,2023-09-01,432.10893303081775
2022-10-01,798.0,2023-10-01,414.69550033154997
2022-11-01,602.0,2023-11-01,398.3858912450511
2022-12-01,606.0,2023-12-01,383.0858465872081
2023-01-01,640.0,2024-01-01,368.7111350379201
2023-02-01,395.0,2024-02-01,355.18628526212393
2023-03-01,585.0,2024-03-01,342.443502639237
2023-04-01,0.0,2024-04-01,330.42174033473947
2023-05-01,1128.0,2024-05-01,319.06589994157855
2023-06-01,532.0,2024-06-01,308.3261413232079
,,2024-07-01,298.15728483817867
,,2024-08-01,288.51829199830854
,,2024-09-01,279.37181294795033
,,2024-10-01,270.6837910593429
,,2024-11-01,262.42311650340764
,,2024-12-01,254.56132194352955
,,2025-01-01,247.07231456468162
,,2025-02-01,239.93213953371315
,,2025-03-01,233.1187707222224
,,2025-04-01,226.6119251380258
,,2025-05-01,220.39289802641915
,,2025-06-01,214.4444160356568
,,2025-07-01,208.75050620650958
,,2025-08-01,203.29637885492215
,,2025-09-01,198.06832267909243
,,2025-10-01,193.05361064545642
,,2025-11-01,188.24041539842938
,,2025-12-01,183.61773310157
,,2026-01-01,179.17531475742987
,,2026-02-01,174.9036041733354
,,2026-03-01,170.79368184371043
,,2026-04-01,166.8372141088034
,,2026-05-01,163.0264070269155
,,2026-06-01,159.35396446420984
,,2026-07-01,155.8130499643894
,,2026-08-01,152.39725201121996
,,2026-09-01,149.10055234109802
,,2026-10-01,145.91729700152425
,,2026-11-01,142.8421698852005
,,2026-12-01,139.87016849917433
,,2027-01-01,136.99658175456227
,,2027-02-01,134.2169695853709
,,2027-03-01,131.5271442252044
,,2027-04-01,128.92315298855357
,,2027-05-01,126.40126241920186
,,2027-06-01,123.9579436823208
,,2027-07-01,121.58985908928196
,,2027-08-01,119.29384965528327
,,2027-09-01,117.06692359973765
,,2027-10-01,114.90624570815284
,,2027-11-01,112.80912748206565
,,2027-12-01,110.77301801059592
,,2028-01-01,108.79549550345058
,,2028-02-01,106.87425943082098
,,2028-03-01,105.00712322065114
,,2028-04-01,103.19200746827728
,,2028-05-01,101.42693361750412
,,2028-06-01,99.71001807584446
,,2028-07-01,98.03946672994698
,,2028-08-01,96.41356983021385
,,2028-09-01,94.83069721629761
,,2028-10-01,93.28929385759857
,,2028-11-01,91.78787568508302
,,2028-12-01,90.3250256927369
,,2029-01-01,88.89939028877714
,,2029-02-01,87.50967587838487
,,2029-03-01,86.1546456612157
,,2029-04-01,84.83311662829954
,,2029-05-01,83.54395674417765
,,2029-06-01,82.28608230124982
,,2029-07-01,81.05845543433186
,,2029-08-01,79.86008178436012
,,2029-09-01,78.69000830103657
,,2029-10-01,77.54732117499053
,,2029-11-01,76.43114389074975
,,2029-12-01,75.34063539247013
,,2030-01-01,74.27498835497428
,,2030-02-01,73.23342755320171
,,2030-03-01,72.21520832367936
,,2030-04-01,71.21961511208727
,,2030-05-01,70.24596010142149
,,2030-06-01,69.29358191565048
,,2030-07-01,68.36184439412378
,,2030-08-01,67.45013543232547
,,2030-09-01,66.55786588487322
,,2030-10-01,65.68446852694782
,,2030-11-01,64.82939707060018
,,2030-12-01,63.99212523262576
,,2031-01-01,63.17214585091974
,,2031-02-01,62.36897004643412
,,2031-03-01,61.5821264280496
,,2031-04-01,60.81116033785256
,,2031-05-01,60.05563313447275
,,2031-06-01,59.3151215122893
,,2031-07-01,58.589216854455074
,,2031-08-01,57.8775246178203
,,2031-09-01,57.17966374795928
,,2031-10-01,56.495266122616975
