t,q,t_model,q_model
2016-01-01,457.0,2017-10-01,1801.6503774227597
2016-02-01,0.0,2017-11-01,1209.7623106026012
2016-03-01,386.0,2017-12-01,950.577324645544
2016-04-01,333.0,2018-01-01,799.2070189897194
2016-05-01,299.0,2018-02-01,697.8904174675288
2016-06-01,323.0,2018-03-01,624.3883674211347
2016-07-01,294.0,2018-04-01,568.1397459027194
2016-08-01,296.0,2018-05-01,523.4240328968721
2016-09-01,358.0,2018-06-01,486.84730541784546
2016-10-01,370.0,2018-07-01,456.2563562774497
2016-11-01,364.0,2018-08-01,430.2128568782528
2016-12-01,338.0,2018-09-01,407.71587234947714
2017-01-01,333.0,2018-10-01,388.0452554585576
2017-02-01,292.0,2018-11-01,370.66834799627145
2017-03-01,1000.0,2018-12-01,355.18186462363883
2017-04-01,597.0,2019-01-01,341.274313075182
2017-05-01,676.0,2019-02-01,328.7009078758848
2017-06-01,964.0,2019-03-01,317.26635810604296
2017-07-01,1202.0,2019-04-01,306.81277188229075
2017-08-01,1396.0,2019-05-01,297.2109758377259
2017-09-01,1560.0,2019-06-01,288.35416818595706
2017-10-01,1820.0,2019-07-01,280.15320014283753
2017-11-01,1223.0,2019-08-01,272.533015090744
2017-12-01,784.0,2019-09-01,265.4299248812837
2018-01-01,938.0,2019-10-01,258.7895007625533
2018-02-01,516.0,2019-11-01,252.56492186791627
2018-03-01,604.0,2019-12-01,246.71566868504337
2018-04-01,561.0,2020-01-01,241.2064796654914
2018-05-01,482.0,2020-02-01,236.00651070922726
2018-06-01,543.0,2020-03-01,231.08865261418558
2018-07-01,625.0,2020-04-01,226.42897265377664
2018-08-01,259.0,2020-05-01,222.00625452655956
2018-09-01,510.0,2020-06-01,217.80161688662992
2018-10-01,340.0,2020-07-01,213.7981951112778
2018-11-01,416.0,2020-08-01,209.98087431204073
2018-12-01,369.0,2020-09-01,206.33606414070582
2019-01-01,333.0,2020-10-01,202.85150789271043
2019-02-01,383.0,2020-11-01,199.51611991763812
2019-03-01,553.0,2020-12-01,196.3198465198023
2019-04-01,580.0,2021-01-01,193.25354645175966
2019-05-01,447.0,2021-02-01,190.3088878296026
2019-06-01,266.0,2021-03-01,187.47825887554492
2019-07-01,382.0,2021-04-01,184.75469035411916
2019-08-01,248.0,2021-05-01,182.13178793864012
2019-09-01,227.0,2021-06-01,179.60367304382797
2019-10-01,349.0,2021-07-01,177.16493090353634
2019-11-01,216.0,2021-08-01,174.81056487091092
2019-12-01,270.0,2021-09-01,172.53595608098755
2020-01-01,246.0,2021-10-01,170.33682774974773
2020-02-01,234.0,2021-11-01,168.20921349450742
2020-03-01,186.0,2021-12-01,166.14942915260343
2020-04-01,147.0,2022-01-01,164.15404765213285
2020-05-01,185.0,2022-02-01,162.21987655278147
2020-06-01,197.0,2022-03-01,160.34393792877665
2020-07-01,161.0,2022-04-01,158.5234503115228
2020-08-01,262.0,2022-05-01,156.75581244797792
2020-09-01,162.0,2022-06-01,155.03858866350126
2020-10-01,168.0,2022-07-01,153.3694956457053
2020-11-01,178.0,2022-08-01,151.7463904895842
2020-12-01,292.0,2022-09-01,150.1672598645088
2021-01-01,168.0,2022-10-01,148.63021018112454
2021-02-01,156.0,2022-11-01,147.13345865120257
2021-03-01,190.0,2022-12-01,145.6753251464513
2021-04-01,148.0,2023-01-01,144.25422477350605
2021-05-01,218.0,2023-02-01,142.86866109203373
2021-06-01,140.0,2023-03-01,141.51721991133886
2021-07-01,162.0,2023-04-01,140.19856360821782
2021-08-01,120.0,2023-05-01,138.91142591523322
2021-09-01,161.0,2023-06-01,137.65460713420254
2021-10-01,151.0,2023-07-01,136.42696973462415
2021-11-01,82.0,2023-08-01,135.2274343010922
2021-12-01,147.0,2023-09-01,134.05497579756246
2022-01-01,425.0,2023-10-01,132.9086201196916
2022-02-01,231.0,2023-11-01,131.78744090943843
2022-03-01,203.0,2023-12-01,130.69055660874363
2022-04-01,125.0,2024-01-01,129.61712773143114
2022-05-01,151.0,2024-02-01,128.56635433454178
2022-06-01,163.0,2024-03-01,127.53747367214805
2022-07-01,2.0,2024-04-01,126.52975801633556
2022-08-01,81.0,2024-05-01,125.54251263149857
2022-09-01,74.0,2024-06-01,124.57507388940088
2022-10-01,180.0,2024-07-01,123.62680751362177
2022-11-01,41.0,2024-08-01,122.69710694305225
2022-12-01,32.0,2024-09-01,121.78539180504681
2023-01-01,70.0,2024-10-01,120.89110648967767
2023-02-01,76.0,2024-11-01,120.0137188172984
2023-03-01,114.0,2024-12-01,119.15271879230733
2023-04-01,106.0,2025-01-01,118.30761743661671
2023-05-01,47.0,2025-02-01,117.47794569689135
,,2025-03-01,116.66325342012279
,,2025-04-01,115.86310839256146
,,2025-05-01,115.07709543744151
,,2025-06-01,114.30481556730788
,,2025-07-01,113.54588518709477
,,2025-08-01,112.79993534441492
,,2025-09-01,112.06661102379927
,,2025-10-01,111.34557048188404
,,2025-11-01,110.6364846207754
,,2025-12-01,109.93903639703564
,,2026-01-01,109.25292026392972
,,2026-02-01,108.57784164474944
,,2026-03-01,107.91351643519556
,,2026-04-01,107.25967053294815
,,2026-05-01,106.61603939269212
,,2026-06-01,105.9823676049912
,,2026-07-01,105.35840849751926
,,2026-08-01,104.74392375726373
,,2026-09-01,104.1386830724144
