t,q,t_model,q_model
2021-09-01,7653.0,2022-01-01,7634.884148165664
2021-10-01,9368.0,2022-02-01,4017.6356344400047
2021-11-01,2776.0,2022-03-01,3443.0606987158376
2021-12-01,8437.0,2022-04-01,3140.0055759531906
2022-01-01,7663.0,2022-05-01,2939.7394561851
2022-02-01,2399.0,2022-06-01,2792.608807104819
2022-03-01,4001.0,2022-07-01,2677.564441643832
2022-04-01,4404.0,2022-08-01,2583.8247228045307
2022-05-01,3612.0,2022-09-01,2505.1718500300717
2022-06-01,3155.0,2022-10-01,2437.713488165828
2022-07-01,3790.0,2022-11-01,2378.8614399245853
2022-08-01,1296.0,2022-12-01,2326.8129868026936
2022-09-01,3068.0,2023-01-01,2280.265434712001
2022-10-01,2927.0,2023-02-01,2238.2488095228423
2022-11-01,2630.0,2023-03-01,2200.0227069631956
2022-12-01,2080.0,2023-04-01,2165.0099881552687
2023-01-01,2428.0,2023-05-01,2132.7526424026573
2023-02-01,2370.0,2023-06-01,2102.881518245694
2023-03-01,1962.0,2023-07-01,2075.095025619823
2023-04-01,1462.0,2023-08-01,2049.143811415304
2023-05-01,1609.0,2023-09-01,2024.819514153162
2023-06-01,1380.0,2023-10-01,2001.946366927547
2023-07-01,1682.0,2023-11-01,1980.3748289034547
,,2023-12-01,1959.976687361607
,,2024-01-01,1940.641242892525
,,2024-02-01,1922.2723039788516
,,2024-03-01,1904.7857943753963
,,2024-04-01,1888.1078300325325
,,2024-05-01,1872.1731597680198
,,2024-06-01,1856.923890590533
,,2024-07-01,1842.3084378654792
,,2024-08-01,1828.2806546219126
,,2024-09-01,1814.7991047389883
,,2024-10-01,1801.8264525585223
,,2024-11-01,1789.3289473687228
,,2024-12-01,1777.2759857016251
,,2025-01-01,1765.6397378460435
,,2025-02-01,1754.394827660307
,,2025-03-01,1743.5180568651685
,,2025-04-01,1732.9881666470742
,,2025-05-01,1722.7856307093302
,,2025-06-01,1712.8924749513951
,,2025-07-01,1703.2921197931657
,,2025-08-01,1693.9692418363463
,,2025-09-01,1684.9096521028926
,,2025-10-01,1676.100188537437
,,2025-11-01,1667.528620826954
,,2025-12-01,1659.1835658926364
,,2026-01-01,1651.0544126585582
,,2026-02-01,1643.1312549090871
,,2026-03-01,1635.404831220005
,,2026-04-01,1627.8664710932017
,,2026-05-01,1620.5080465465996
,,2026-06-01,1613.32192851375
,,2026-07-01,1606.3009474945243
,,2026-08-01,1599.438357972245
,,2026-09-01,1592.7278061755499
,,2026-10-01,1586.1633008171204
,,2026-11-01,1579.7391864875442
,,2026-12-01,1573.4501194222246
,,2027-01-01,1567.2910453934792
,,2027-02-01,1561.2571795094768
,,2027-03-01,1555.3439877273088
,,2027-04-01,1549.5471699097036
,,2027-05-01,1543.862644274278
,,2027-06-01,1538.2865331011071
,,2027-07-01,1532.8151495791915
,,2027-08-01,1527.444985685339
,,2027-09-01,1522.1727010003722
,,2027-10-01,1516.9951123775895
,,2027-11-01,1511.9091843872238
,,2027-12-01,1506.9120204684684
,,2028-01-01,1502.0008547275295
,,2028-02-01,1497.1730443262975
,,2028-03-01,1492.4260624116705
,,2028-04-01,1487.757491540392
,,2028-05-01,1483.1650175585985
,,2028-06-01,1478.6464238991025
,,2028-07-01,1474.199586262893
,,2028-08-01,1469.822467654411
,,2028-09-01,1465.5131137429223
,,2028-10-01,1461.2696485247936
,,2028-11-01,1457.090270263706
,,2028-12-01,1452.9732476878503
,,2029-01-01,1448.9169164249631
,,2029-02-01,1444.9196756576923
,,2029-03-01,1440.9799849832639
,,2029-04-01,1437.0963614627562
,,2029-05-01,1433.267376846502
,,2029-06-01,1429.4916549632394
,,2029-07-01,1425.7678692616255
,,2029-08-01,1422.094740493643
,,2029-09-01,1418.4710345302497
,,2029-10-01,1414.8955603003762
,,2029-11-01,1411.3671678450662
,,2029-12-01,1407.8847464791754
,,2030-01-01,1404.4472230536242
,,2030-02-01,1401.053560311719
,,2030-03-01,1397.7027553335402
,,2030-04-01,1394.3938380628326
,,2030-05-01,1391.1258699112411
,,2030-06-01,1387.8979424350991
,,2030-07-01,1384.7091760803241
,,2030-08-01,1381.558718991288
,,2030-09-01,1378.4457458798101
,,2030-10-01,1375.369456950697
,,2030-11-01,1372.3290768804927
,,2030-12-01,1369.3238538463304
,,2031-01-01,1366.3530586019833
,,2031-02-01,1363.4159835984094
,,2031-03-01,1360.5119421462607
,,2031-04-01,1357.6402676179953
,,2031-05-01,1354.8003126873764
,,2031-06-01,1351.991448604298
,,2031-07-01,1349.2130645029924
,,2031-08-01,1346.46456674181
,,2031-09-01,1343.7453782728674
,,2031-10-01,1341.0549380399725
,,2031-11-01,1338.39270040332
