t,q,t_model,q_model
2011-10-01,150.0,2012-02-01,7478.897138775475
2011-11-01,7787.0,2012-03-01,2866.765099698904
2011-12-01,3102.0,2012-04-01,2116.3872728885394
2012-01-01,6146.0,2012-05-01,1757.3268985035486
2012-02-01,7444.0,2012-06-01,1536.3063772068992
2012-03-01,3782.0,2012-07-01,1382.7037590007624
2012-04-01,1855.0,2012-08-01,1267.9561348883396
2012-05-01,2071.0,2012-09-01,1178.0084626753876
2012-06-01,1084.0,2012-10-01,1105.0321337572896
2012-07-01,1334.0,2012-11-01,1044.274308172077
2012-08-01,619.0,2012-12-01,992.6599155041631
2012-09-01,748.0,2013-01-01,948.099427245519
2012-10-01,619.0,2013-02-01,909.1165520418682
2012-11-01,612.0,2013-03-01,874.634595289253
2012-12-01,547.0,2013-04-01,843.8472903410577
2013-01-01,957.0,2013-05-01,816.1372635827348
2013-02-01,255.0,2013-06-01,791.0226713431289
2013-03-01,76.0,2013-07-01,768.1211813481639
2013-04-01,1221.0,2013-08-01,747.1250059890871
2013-05-01,738.0,2013-09-01,727.7831903199376
2013-06-01,603.0,2013-10-01,709.8887877463409
2013-07-01,668.0,2013-11-01,693.269405096638
2013-08-01,588.0,2013-12-01,677.7801182718183
2013-09-01,824.0,2014-01-01,663.2980864754174
2013-10-01,508.0,2014-02-01,649.7184036876732
2013-11-01,646.0,2014-03-01,636.9508648559377
2013-12-01,588.0,2014-04-01,624.9174175653625
2014-01-01,475.0,2014-05-01,613.5501337935921
2014-02-01,543.0,2014-06-01,602.7895807618465
2014-03-01,496.0,2014-07-01,592.5835012548221
2014-04-01,536.0,2014-08-01,582.885736235805
2014-05-01,779.0,2014-09-01,573.6553388670924
2014-06-01,1028.0,2014-10-01,564.8558409951931
2014-07-01,841.0,2014-11-01,556.4546420257724
2014-08-01,991.0,2014-12-01,548.4224967583237
2014-09-01,740.0,2015-01-01,540.7330837789704
2014-10-01,1000.0,2015-02-01,533.3626398489864
2014-11-01,750.0,2015-03-01,526.2896486824667
2014-12-01,716.0,2015-04-01,519.4945748002608
2015-01-01,793.0,2015-05-01,512.9596349403683
2015-02-01,683.0,2015-06-01,506.66860091653996
2015-03-01,763.0,2015-07-01,500.6066289353717
2015-04-01,771.0,2015-08-01,494.76011127408157
2015-05-01,602.0,2015-09-01,489.1165469365559
2015-06-01,724.0,2015-10-01,483.66442848230355
2015-07-01,768.0,2015-11-01,478.39314269089317
2015-08-01,770.0,2015-12-01,473.2928831058466
2015-09-01,480.0,2016-01-01,468.354572814309
2015-10-01,925.0,2016-02-01,463.56979607581616
2015-11-01,449.0,2016-03-01,458.9307376258544
2015-12-01,0.0,2016-04-01,454.4301286561569
2016-01-01,453.0,2016-05-01,450.0611986205281
2016-02-01,1351.0,2016-06-01,445.8176321378226
2016-03-01,908.0,2016-07-01,441.69353036681935
2016-04-01,734.0,2016-08-01,437.6833763146109
2016-05-01,564.0,2016-09-01,433.78200361357176
2016-06-01,409.0,2016-10-01,429.98456836425737
2016-07-01,667.0,2016-11-01,426.2865236945833
2016-08-01,560.0,2016-12-01,422.6835967308597
2016-09-01,607.0,2017-01-01,419.1717677149634
2016-10-01,518.0,2017-02-01,415.74725103515345
2016-11-01,579.0,2017-03-01,412.406477966624
2016-12-01,535.0,2017-04-01,409.14608094256084
2017-01-01,403.0,2017-05-01,405.9628791978083
2017-02-01,583.0,2017-06-01,402.8538656457555
2017-03-01,583.0,2017-07-01,399.8161948651389
2017-04-01,509.0,2017-08-01,396.8471720874699
2017-05-01,522.0,2017-09-01,393.9442430880297
2017-06-01,375.0,2017-10-01,391.10498489407934
2017-07-01,535.0,2017-11-01,388.32709723331965
2017-08-01,431.0,2017-12-01,385.6083946538809
2017-09-01,189.0,2018-01-01,382.9467992543806
2017-10-01,306.0,2018-02-01,380.3403339689906
2017-11-01,398.0,2018-03-01,377.78711635811055
2017-12-01,166.0,2018-04-01,375.2853528602504
2018-01-01,423.0,2018-05-01,372.8333334651657
2018-02-01,240.0,2018-06-01,370.4294267722294
