t,q,t_model,q_model
2006-03-01,19723.0,2007-05-01,63339.53080545497
2006-04-01,28171.0,2007-06-01,63339.419705336244
2006-05-01,28393.0,2007-07-01,63339.417103285334
2006-06-01,27172.0,2007-08-01,63339.415581183166
2006-07-01,26841.0,2007-09-01,63339.41450123452
2006-08-01,26031.0,2007-10-01,63339.413663561274
2006-09-01,24677.0,2007-11-01,63339.4129791324
2006-10-01,43941.0,2007-12-01,63339.41240045606
2006-11-01,51555.0,2008-01-01,63339.411899183804
2006-12-01,54728.0,2008-02-01,63339.41145703035
2007-01-01,46936.0,2008-03-01,63339.411061510604
2007-02-01,55019.0,2008-04-01,63339.41070371947
2007-03-01,50724.0,2008-05-01,63339.41037708176
2007-04-01,68815.0,2008-06-01,63339.4100766042
2007-05-01,74154.0,2008-07-01,63339.40979840544
2007-06-01,62217.0,2008-08-01,63339.40953940858
2007-07-01,55023.0,2008-09-01,63339.4092971332
2007-08-01,51777.0,2008-10-01,63339.40906955047
2007-09-01,44732.0,2008-11-01,63339.40885497976
2007-10-01,40577.0,2008-12-01,63339.40865201328
2007-11-01,32529.0,2009-01-01,63339.40845946003
2007-12-01,23533.0,2009-02-01,63339.40827630345
2008-01-01,20686.0,2009-03-01,63339.408101668916
2008-02-01,15075.0,2009-04-01,63339.407934798546
2008-03-01,15294.0,2009-05-01,63339.40777503122
2008-04-01,25375.0,2009-06-01,63339.40762178687
2008-05-01,22869.0,2009-07-01,63339.40747455367
2008-06-01,22753.0,2009-08-01,63339.40733287779
2008-07-01,19311.0,2009-09-01,63339.407196354914
2008-08-01,28070.0,2009-10-01,63339.40706462333
2008-09-01,36225.0,2009-11-01,63339.40693735808
2008-10-01,26678.0,2009-12-01,63339.406814266214
2008-11-01,22904.0,2010-01-01,63339.406695082704
2008-12-01,26888.0,2010-02-01,63339.40657956697
2009-01-01,32694.0,2010-03-01,63339.40646749998
2009-02-01,27995.0,2010-04-01,63339.40635868178
2009-03-01,21199.0,2010-05-01,63339.406252929286
2009-04-01,20268.0,2010-06-01,63339.406150074494
2009-05-01,26435.0,2010-07-01,63339.406049962825
2009-06-01,22465.0,2010-08-01,63339.405952451736
2009-07-01,18437.0,2010-09-01,63339.405857409576
2009-08-01,20765.0,2010-10-01,63339.40576471437
2009-09-01,22588.0,2010-11-01,63339.405674252994
2009-10-01,16884.0,2010-12-01,63339.405585920314
2009-11-01,23212.0,2011-01-01,63339.40549961847
2009-12-01,28194.0,2011-02-01,63339.40541525616
2010-01-01,39260.0,2011-03-01,63339.40533274811
2010-02-01,25814.0,2011-04-01,63339.405252014556
2010-03-01,26889.0,2011-05-01,63339.40517298079
2010-04-01,34086.0,2011-06-01,63339.4050955767
2010-05-01,38709.0,2011-07-01,63339.40501973645
2010-06-01,35944.0,2011-08-01,63339.40494539807
2010-07-01,41512.0,2011-09-01,63339.404872503255
2010-08-01,38687.0,2011-10-01,63339.40480099699
2010-09-01,35788.0,2011-11-01,63339.40473082737
2010-10-01,44538.0,2011-12-01,63339.40466194535
2010-11-01,39031.0,2012-01-01,63339.404594304506
2010-12-01,35960.0,2012-02-01,63339.40452786092
2011-01-01,44631.0,2012-03-01,63339.40446257292
2011-02-01,37454.0,2012-04-01,63339.40439840101
2011-03-01,42601.0,2012-05-01,63339.40433530768
2011-04-01,66245.0,2012-06-01,63339.40427325725
2011-05-01,68423.0,2012-07-01,63339.40421221582
2011-06-01,55978.0,2012-08-01,63339.404152151095
2011-07-01,44110.0,2012-09-01,63339.404093032324
2011-08-01,61829.0,2012-10-01,63339.404034830135
2011-09-01,69604.0,2012-11-01,63339.40397751658
2011-10-01,60815.0,2012-12-01,63339.40392106492
2011-11-01,77615.0,2013-01-01,63339.40386544961
2011-12-01,72899.0,2013-02-01,63339.40381064622
2012-01-01,69252.0,2013-03-01,63339.4037566314
2012-02-01,68716.0,2013-04-01,63339.40370338277
2012-03-01,69022.0,2013-05-01,63339.403650878914
2012-04-01,69778.0,2013-06-01,63339.40359909926
2012-05-01,77374.0,2013-07-01,63339.40354802413
2012-06-01,54458.0,2013-08-01,63339.40349763458
2012-07-01,61719.0,2013-09-01,63339.40344791245
2012-08-01,61997.0,2013-10-01,63339.40339884032
2012-09-01,58954.0,2013-11-01,63339.40335040138
2012-10-01,63742.0,2013-12-01,63339.40330257953
2012-11-01,70036.0,2014-01-01,63339.403255359226
2012-12-01,84613.0,2014-02-01,63339.40320872552
2013-01-01,82931.0,2014-03-01,63339.403162664006
2013-02-01,72352.0,2014-04-01,63339.40311716085
2013-03-01,77714.0,2014-05-01,63339.403072202644
2013-04-01,54717.0,2014-06-01,63339.403027776505
2013-05-01,78417.0,2014-07-01,63339.402983869986
2013-06-01,75154.0,2014-08-01,63339.40294047106
2013-07-01,58413.0,2014-09-01,63339.402897568136
2013-08-01,50885.0,2014-10-01,63339.40285515
2013-09-01,48715.0,2014-11-01,63339.402813205816
2013-10-01,47855.0,2014-12-01,63339.402771725116
2013-11-01,45239.0,2015-01-01,63339.402730697766
2013-12-01,47730.0,2015-02-01,63339.402690113966
2014-01-01,41472.0,2015-03-01,63339.40264996422
2014-02-01,34398.0,2015-04-01,63339.402610239355
2014-03-01,32548.0,2015-05-01,63339.40257093047
2014-04-01,37624.0,2015-06-01,63339.40253202894
2014-05-01,58127.0,2015-07-01,63339.40249352638
2014-06-01,53899.0,2015-08-01,63339.40245541473
2014-07-01,62387.0,2015-09-01,63339.402417686135
2014-08-01,67745.0,2015-10-01,63339.40238033293
2014-09-01,61039.0,2015-11-01,63339.40234334775
2014-10-01,70253.0,2015-12-01,63339.402306723416
2014-11-01,60092.0,2016-01-01,63339.40227045294
2014-12-01,68207.0,2016-02-01,63339.40223452956
2015-01-01,65630.0,2016-03-01,63339.402198946686
2015-02-01,72933.0,2016-04-01,63339.40216369793
2015-03-01,73540.0,2016-05-01,63339.40212877707
2015-04-01,78207.0,2016-06-01,63339.40209417807
2015-05-01,83303.0,2016-07-01,63339.402059895045
2015-06-01,79414.0,2016-08-01,63339.40202592229
2015-07-01,77385.0,2016-09-01,63339.4019922542
2015-08-01,70132.0,2016-10-01,63339.40195888542
2015-09-01,70365.0,2016-11-01,63339.40192581061
2015-10-01,73721.0,2016-12-01,63339.40189302469
2015-11-01,72653.0,2017-01-01,63339.40186052262
2015-12-01,67974.0,2017-02-01,63339.401828299546
2016-01-01,59801.0,2017-03-01,63339.40179635072
2016-02-01,50880.0,2017-04-01,63339.4017646715
2016-03-01,54678.0,2017-05-01,63339.40173325738
2016-04-01,49705.0,2017-06-01,63339.40170210397
2016-05-01,46206.0,2017-07-01,63339.40167120697
2016-06-01,43575.0,2017-08-01,63339.40164056219
2016-07-01,44775.0,2017-09-01,63339.401610165536
2016-08-01,42631.0,2017-10-01,63339.40158001305
2016-09-01,45302.0,2017-11-01,63339.40155010081
2016-10-01,40561.0,2017-12-01,63339.401520425046
