t,q,t_model,q_model
2010-03-01,386.0,2010-11-01,6773.609919270632
2010-04-01,9668.0,2010-12-01,3198.153029188022
2010-05-01,8534.0,2011-01-01,2284.359164755027
2010-06-01,8168.0,2011-02-01,1833.9907737002209
2010-07-01,7338.0,2011-03-01,1557.6818802397852
2010-08-01,5697.0,2011-04-01,1367.7209483831643
2010-09-01,6206.0,2011-05-01,1227.6031734344363
2010-10-01,8531.0,2011-06-01,1119.1737663323042
2010-11-01,6855.0,2011-07-01,1032.2926589639385
2010-12-01,2551.0,2011-08-01,960.810922112319
2011-01-01,2038.0,2011-09-01,900.7632779500078
2011-02-01,1890.0,2011-10-01,849.4672956592225
2011-03-01,2032.0,2011-11-01,805.0374630118387
2011-04-01,1688.0,2011-12-01,766.1061323932621
2011-05-01,1375.0,2012-01-01,731.6549187221958
2011-06-01,1285.0,2012-02-01,700.9084504050035
2011-07-01,188.0,2012-03-01,673.2649935373371
2011-08-01,2518.0,2012-04-01,648.2497560100984
2011-09-01,1214.0,2012-05-01,625.4826202778323
2011-10-01,416.0,2012-06-01,604.6553283294847
2011-11-01,923.0,2012-07-01,585.5150198614323
2011-12-01,1053.0,2012-08-01,567.8521387513641
2012-01-01,548.0,2012-09-01,551.4914044209911
2012-02-01,1535.0,2012-10-01,536.2849729288718
2012-03-01,920.0,2012-11-01,522.1071883182013
2012-04-01,543.0,2012-12-01,508.85050610420626
2012-05-01,710.0,2013-01-01,496.42229245893014
2012-06-01,699.0,2013-02-01,484.74228575084146
2012-07-01,591.0,2013-03-01,473.7405647843948
2012-08-01,1139.0,2013-04-01,463.355908734638
2012-09-01,485.0,2013-05-01,453.53446281312586
2012-10-01,264.0,2013-06-01,444.228644714416
2012-11-01,437.0,2013-07-01,435.3962422767292
2012-12-01,457.0,2013-08-01,426.9996641776429
2013-01-01,485.0,2013-09-01,419.0053140008071
2013-02-01,380.0,2013-10-01,411.38306443798774
2013-03-01,800.0,2013-11-01,404.1058132871249
2013-04-01,151.0,2013-12-01,397.14910666794464
2013-05-01,295.0,2014-01-01,390.49081778812115
2013-06-01,629.0,2014-02-01,384.1108718636465
2013-07-01,252.0,2014-03-01,377.9910095803726
2013-08-01,682.0,2014-04-01,372.1145828935314
2013-09-01,823.0,2014-05-01,366.46637808360475
2013-10-01,100.0,2014-06-01,361.0324618844601
2013-11-01,58.0,2014-07-01,355.80004722198504
2013-12-01,434.0,2014-08-01,350.7573756858701
2014-01-01,493.0,2014-09-01,345.89361433243664
2014-02-01,335.0,2014-10-01,341.19876480477615
2014-03-01,361.0,2014-11-01,336.6635830752835
2014-04-01,392.0,2014-12-01,332.2795083785729
2014-05-01,335.0,2015-01-01,328.0386001204634
2014-06-01,271.0,2015-02-01,323.9334817297258
2014-07-01,259.0,2015-03-01,319.95729057036084
2014-08-01,392.0,2015-04-01,316.10363315874173
2014-09-01,63.0,2015-05-01,312.36654503636856
2014-10-01,309.0,2015-06-01,308.74045473875196
2014-11-01,288.0,2015-07-01,305.22015137692716
2014-12-01,268.0,2015-08-01,301.80075541261994
2015-01-01,256.0,2015-09-01,298.47769226303285
2015-02-01,286.0,2015-10-01,295.24666841815696
2015-03-01,284.0,2015-11-01,292.10364979372326
2015-04-01,352.0,2015-12-01,289.0448420774392
2015-05-01,358.0,2016-01-01,286.0666728559034
2015-06-01,279.0,2016-02-01,283.1657753352659
2015-07-01,257.0,2016-03-01,280.3389734909327
2015-08-01,322.0,2016-04-01,277.583268500894
2015-09-01,356.0,2016-05-01,274.8958263340273
2015-10-01,586.0,2016-06-01,272.27396637933805
2015-11-01,52.0,2016-07-01,269.71515101486966
2015-12-01,74.0,2016-08-01,267.2169760261814
2016-01-01,250.0,2016-09-01,264.77716179409725
2016-02-01,99.0,2016-10-01,262.3935451800336
2016-03-01,461.0,2016-11-01,260.0640720447965
2016-04-01,248.0,2016-12-01,257.78679034342696
2016-05-01,261.0,2017-01-01,255.55984374457807
2016-06-01,239.0,2017-02-01,253.38146572814014
2016-07-01,154.0,2017-03-01,251.24997411946717
2016-08-01,119.0,2017-04-01,249.1637660226758
