Date,New Prod
2006-03-05,451.0
2006-03-06,406.0
2006-03-07,719.0
2006-03-08,762.0
2006-03-09,541.0
2006-03-10,685.0
2006-03-11,812.0
2006-03-12,750.0
2006-03-13,805.0
2006-03-14,744.0
2006-03-15,768.0
2006-03-16,766.0
2006-03-17,827.0
2006-03-18,773.0
2006-03-19,717.0
2006-03-20,780.0
2006-03-21,784.0
2006-03-22,750.0
2006-03-23,760.0
2006-03-24,846.0
2006-03-25,807.0
2006-03-26,742.0
2006-03-27,714.0
2006-03-28,739.0
2006-03-29,742.0
2006-03-30,758.0
2006-03-31,775.0
2006-04-01,728.0
2006-04-02,667.0
2006-04-03,750.0
2006-04-04,815.0
2006-04-05,865.0
2006-04-06,906.0
2006-04-07,1070.0
2006-04-08,964.0
2006-04-09,976.0
2006-04-10,1025.0
2006-04-11,971.0
2006-04-12,919.0
2006-04-13,889.0
2006-04-14,854.0
2006-04-15,911.0
2006-04-16,926.0
2006-04-17,971.0
2006-04-18,914.0
2006-04-19,872.0
2006-04-20,885.0
2006-04-21,947.0
2006-04-22,996.0
2006-04-23,947.0
2006-04-24,1046.0
2006-04-25,1066.0
2006-04-26,1061.0
2006-04-27,1082.0
2006-04-28,1141.0
2006-04-29,1025.0
2006-04-30,982.0
2006-05-01,1020.0
2006-05-02,1002.0
2006-05-03,992.0
2006-05-04,961.0
2006-05-05,931.0
2006-05-06,939.0
2006-05-07,977.0
2006-05-08,968.0
2006-05-09,943.0
2006-05-10,970.0
2006-05-11,934.0
2006-05-12,908.0
2006-05-13,894.0
2006-05-14,901.0
2006-05-15,916.0
2006-05-16,971.0
2006-05-17,949.0
2006-05-18,908.0
2006-05-19,956.0
2006-05-20,953.0
2006-05-21,943.0
2006-05-22,912.0
2006-05-23,868.0
2006-05-24,866.0
2006-05-25,899.0
2006-05-26,877.0
2006-05-27,802.0
2006-05-28,853.0
2006-05-29,839.0
2006-05-30,768.0
2006-05-31,773.0
2006-06-01,834.0
2006-06-02,902.0
2006-06-03,906.0
2006-06-04,1037.0
2006-06-05,889.0
2006-06-06,886.0
2006-06-07,831.0
2006-06-08,822.0
2006-06-09,780.0
2006-06-10,725.0
2006-06-11,697.0
2006-06-12,673.0
2006-06-13,872.0
2006-06-14,916.0
2006-06-15,1007.0
2006-06-16,1033.0
2006-06-17,1062.0
2006-06-18,1031.0
2006-06-19,1010.0
2006-06-20,1112.0
2006-06-21,1007.0
2006-06-22,977.0
2006-06-23,930.0
2006-06-24,891.0
2006-06-25,925.0
2006-06-26,879.0
2006-06-27,892.0
2006-06-28,913.0
2006-06-29,869.0
2006-06-30,864.0
2006-07-01,861.0
2006-07-02,866.0
2006-07-03,851.0
2006-07-04,849.0
2006-07-05,865.0
2006-07-06,839.0
2006-07-07,864.0
2006-07-08,864.0
2006-07-09,875.0
2006-07-10,885.0
2006-07-11,862.0
2006-07-12,844.0
2006-07-13,905.0
2006-07-14,911.0
2006-07-15,917.0
2006-07-16,877.0
2006-07-17,881.0
2006-07-18,888.0
2006-07-19,877.0
2006-07-20,868.0
2006-07-21,845.0
2006-07-22,878.0
2006-07-23,862.0
2006-07-24,863.0
2006-07-25,868.0
2006-07-26,842.0
2006-07-27,850.0
2006-07-28,882.0
2006-07-29,836.0
2006-07-30,844.0
2006-07-31,822.0
2006-08-01,809.0
2006-08-02,826.0
2006-08-03,836.0
2006-08-04,810.0
2006-08-05,852.0
2006-08-06,827.0
2006-08-07,840.0
2006-08-08,866.0
2006-08-09,835.0
2006-08-10,864.0
2006-08-11,846.0
2006-08-12,803.0
2006-08-13,841.0
2006-08-14,832.0
2006-08-15,826.0
2006-08-16,818.0
2006-08-17,832.0
2006-08-18,841.0
2006-08-19,834.0
2006-08-20,857.0
2006-08-21,832.0
2006-08-22,830.0
2006-08-23,807.0
2006-08-24,880.0
2006-08-25,898.0
2006-08-26,886.0
2006-08-27,845.0
2006-08-28,867.0
2006-08-29,832.0
2006-08-30,829.0
2006-08-31,830.0
2006-09-01,823.0
2006-09-02,830.0
2006-09-03,840.0
2006-09-04,819.0
2006-09-05,812.0
2006-09-06,810.0
2006-09-07,780.0
2006-09-08,815.0
2006-09-09,815.0
2006-09-10,833.0
2006-09-11,825.0
2006-09-12,840.0
2006-09-13,835.0
2006-09-14,843.0
2006-09-15,829.0
2006-09-16,816.0
2006-09-17,822.0
2006-09-18,813.0
2006-09-19,821.0
2006-09-20,821.0
2006-09-21,848.0
2006-09-22,828.0
2006-09-23,831.0
2006-09-24,836.0
2006-09-25,827.0
2006-09-26,818.0
2006-09-27,819.0
2006-09-28,805.0
2006-09-29,813.0
2006-09-30,810.0
2006-10-01,818.0
2006-10-02,809.0
2006-10-03,809.0
2006-10-04,808.0
2006-10-05,814.0
2006-10-06,804.0
2006-10-07,796.0
2006-10-08,817.0
2006-10-09,786.0
2006-10-10,814.0
2006-10-11,843.0
2006-10-12,1552.0
2006-10-13,1705.0
2006-10-14,1755.0
2006-10-15,1758.0
2006-10-16,1758.0
2006-10-17,1750.0
2006-10-18,1772.0
2006-10-19,1782.0
2006-10-20,1760.0
2006-10-21,1757.0
2006-10-22,1754.0
2006-10-23,1739.0
2006-10-24,1759.0
2006-10-25,1743.0
2006-10-26,1772.0
2006-10-27,1774.0
2006-10-28,1780.0
2006-10-29,1779.0
2006-10-30,1786.0
2006-10-31,1788.0
2006-11-01,1780.0
2006-11-02,1745.0
2006-11-03,1745.0
2006-11-04,1723.0
2006-11-05,1724.0
2006-11-06,1713.0
2006-11-07,1716.0
2006-11-08,1714.0
2006-11-09,1706.0
2006-11-10,1783.0
2006-11-11,1741.0
2006-11-12,1752.0
2006-11-13,1804.0
2006-11-14,1795.0
2006-11-15,1765.0
2006-11-16,1513.0
