TVD,Northing,Easting
0.00,0.00,0.00
149.00,0.27,0.28
244.00,0.52,0.64
340.00,0.73,0.87
419.00,1.02,1.04
609.99,1.85,1.27
799.99,2.75,0.72
990.99,3.77,-0.26
1180.98,4.41,-1.35
1276.98,4.41,-1.83
1466.98,3.96,-2.59
1656.98,4.09,-3.56
1846.97,4.75,-5.17
2036.95,5.17,-7.50
2226.94,5.73,-9.95
2417.92,6.51,-12.07
2607.91,7.59,-14.04
2798.89,8.93,-16.09
2989.87,10.54,-18.40
3179.85,11.72,-20.74
3370.84,12.28,-23.19
3559.82,12.33,-25.49
3750.81,11.69,-27.59
3940.79,11.16,-30.12
4130.78,9.99,-31.82
4320.77,8.25,-32.09
4510.77,7.88,-32.36
4701.77,8.87,-32.53
4891.76,9.72,-32.83
5081.76,10.37,-34.11
5271.75,11.16,-35.64
5461.74,12.15,-37.09
5634.73,13.56,-38.78
5699.72,14.21,-39.52
5790.71,15.09,-40.61
5886.70,15.79,-42.06
6076.68,16.38,-44.44
6171.68,16.61,-45.10
6266.67,17.04,-45.91
6457.65,19.26,-47.63
6552.64,20.91,-48.22
6647.63,22.01,-48.75
6679.62,22.33,-49.48
6711.55,22.90,-51.33
6743.40,23.77,-54.38
6775.09,25.01,-58.60
6805.60,26.65,-63.84
6836.78,28.92,-70.66
6867.48,31.86,-79.15
6896.60,35.43,-89.16
6925.81,40.03,-101.37
6954.05,45.82,-115.25
6981.22,53.11,-130.47
7006.43,61.60,-146.39
7031.18,71.60,-164.03
7054.53,82.60,-182.92
7076.38,94.38,-203.11
7095.95,106.38,-223.94
7114.38,119.20,-246.73
7130.85,132.34,-270.81
7144.69,145.39,-295.27
7156.69,159.29,-321.47
7166.25,173.78,-348.34
7173.40,188.84,-375.64
7178.80,203.79,-402.26
7181.29,211.58,-416.01
7195.28,258.67,-498.49
7202.70,285.93,-556.94
7205.32,296.30,-586.03
7207.72,318.71,-675.06
7204.37,331.81,-769.08
7200.03,342.54,-863.38
7196.43,352.72,-956.75
7193.49,362.84,-1051.17
7191.43,372.17,-1144.67
7189.97,380.42,-1239.30
7189.04,389.22,-1332.88
7188.58,399.29,-1427.34
7188.74,409.37,-1520.80
7189.61,419.64,-1614.23
7188.77,429.60,-1707.70
7188.78,439.72,-1802.15
7190.27,449.54,-1896.63
7190.75,457.72,-1990.27
7190.79,464.01,-2085.06
7190.98,468.79,-2178.93
7190.26,475.40,-2272.69
7188.45,484.17,-2367.26
7186.91,492.74,-2461.86
7185.78,500.99,-2556.50
7184.83,508.60,-2651.19
7184.02,515.43,-2745.94
7183.19,521.12,-2839.76
7182.36,527.34,-2933.55
7181.36,534.96,-3028.24
7179.87,541.53,-3123.00
7178.61,548.29,-3216.74
7177.59,555.46,-3310.46
7178.04,563.34,-3405.12
7179.89,574.51,-3498.43
7180.80,586.55,-3591.65
7180.18,597.39,-3686.03
7177.29,606.60,-3779.52
7174.29,615.85,-3874.02
7174.81,626.45,-3968.42
7177.34,637.19,-4062.77
7179.41,646.94,-4156.24
7180.71,655.97,-4249.80
7181.18,665.10,-4344.36
7180.44,674.35,-4437.90
7180.69,683.56,-4531.44
7182.52,693.11,-4623.93
7183.73,702.78,-4717.42
7182.14,710.93,-4811.04
7177.46,717.81,-4905.67
7174.51,725.66,-4999.29
7173.79,735.24,-5093.80
7172.24,745.37,-5188.24
7172.06,755.14,-5281.72
7173.51,763.70,-5375.32
7174.33,771.88,-5468.96
7174.57,779.68,-5563.64
7174.60,786.86,-5657.36
7174.37,793.77,-5752.11
7173.12,800.14,-5846.89
7172.45,807.60,-5940.59
7172.79,816.04,-6034.21
7172.47,824.47,-6127.82
7170.69,832.86,-6221.43
7170.65,841.17,-6316.06
7173.49,849.65,-6408.62
7174.94,856.89,-6502.32
7173.93,861.93,-6597.18
7171.75,866.14,-6692.06
7168.94,870.07,-6784.94
7167.19,874.59,-6879.81
7167.00,879.82,-6973.67
7167.33,885.19,-7068.51
7168.14,890.42,-7162.36
7169.36,895.58,-7256.21
7170.42,900.57,-7350.07
7170.68,904.37,-7444.00
7169.89,906.96,-7537.96
7168.46,909.30,-7631.92
7166.29,910.81,-7726.88
7163.61,913.77,-7820.78
7161.08,918.69,-7915.62
7159.61,924.56,-8009.42
7159.10,931.43,-8103.17
7158.73,937.00,-8197.00
7157.92,940.35,-8290.94
7156.22,944.43,-8385.83
7154.41,949.71,-8478.66
7154.03,955.64,-8573.47
7154.30,962.30,-8667.23
7153.31,967.94,-8761.05
7152.86,972.89,-8855.92
7153.75,975.86,-8949.86
7153.66,978.39,-9043.82
7152.08,981.48,-9138.76
7151.82,983.32,-9232.73
7152.87,983.95,-9327.72
7153.06,982.78,-9421.72
7152.05,980.23,-9516.67
7149.75,977.01,-9609.59
7145.75,973.00,-9704.42
7140.44,968.45,-9794.15
7136.01,964.89,-9860.90
