TVD,Northing,Easting
0,0,0
99.99512416,-0.097403475,-0.849625393
199.9795012,-0.144935741,-2.614120056
299.965798,-0.204958852,-4.262563773
399.9550695,-0.494606124,-5.697741852
499.9459079,-0.850283977,-7.002538554
599.9383046,-1.051253669,-8.216046332
699.9293072,-0.779337092,-9.51559598
799.9179329,-0.109223809,-10.86596049
899.9087465,0.590927254,-12.02228617
931.9063921,0.801129743,-12.34856544
973.9027605,1.049422605,-12.84073036
1068.894924,1.82843125,-13.74644751
1163.883071,2.997020835,-14.66546879
1354.871342,4.598773807,-15.38175383
1449.865826,5.471286914,-14.95839629
1639.838001,8.418891586,-13.64839133
1734.832529,9.035346508,-13.08017851
1829.830624,9.372743008,-13.3401935
1924.82754,9.999699635,-13.69623499
2019.827099,10.2863945,-13.73295899
2114.826951,10.33786971,-13.8122083
2304.824541,11.03082467,-14.07168641
2399.819179,11.99971697,-14.33487139
2494.817114,12.46779723,-14.52910212
2589.816802,12.27261884,-14.64354573
2684.81517,12.30558033,-15.1523195
2779.806129,12.89352732,-16.29312374
2875.797839,13.48276854,-17.36482511
2970.796631,13.32692649,-17.68906438
3065.795786,12.95542134,-17.70364235
3160.794861,12.92821164,-17.33955877
3255.788619,13.00001227,-16.27262804
3350.777154,13.0881005,-14.79964427
3445.768088,13.53762902,-13.59816045
3540.760996,14.47086564,-12.92191475
3635.755377,15.31892393,-12.34756837
3730.746485,16.47445074,-11.84340168
3826.738139,17.12629467,-10.99080456
3921.729426,17.00222289,-9.720031449
4016.723087,17.32296572,-8.679247468
4111.71356,18.33789368,-7.847480487
4206.697893,19.63373481,-6.734019854
4301.67551,21.10972684,-5.313674261
4396.664214,21.70241663,-4.213231618
4491.658207,20.85258878,-3.58068059
4586.65653,20.65137895,-3.359099864
4681.649537,21.59137413,-3.911348317
4776.638835,22.6433452,-4.860617348
4871.636606,22.76938693,-5.316610942
4966.634651,22.39318621,-4.944474862
5061.629167,22.27364286,-3.935146812
5156.621962,22.37824303,-2.773470832
5251.611408,23.24847286,-1.714254088
5356.569764,26.05045746,-1.107394551
5387.558504,26.8571632,-1.057445721
5430.523442,27.9803585,-2.15600656
5462.273351,30.4169409,-5.145240805
5492.46746,35.16029506,-10.24388315
5521.839571,42.29532882,-17.07184609
5551.126961,51.63884705,-25.92238883
5578.279009,62.17502328,-36.50719731
5604.747707,74.46836697,-49.60364986
5628.720682,87.77278448,-64.04936181
5650.850334,102.5747552,-79.90858886
5671.375718,119.4184574,-97.7421148
5688.601308,137.0751675,-116.4924109
5703.043636,155.8405437,-136.4789649
5715.446177,176.7135887,-158.8086408
5724.36956,196.8969576,-180.5657644
5730.292246,217.6564036,-202.7915556
5732.974245,239.4949458,-226.0062831
5733.101377,260.7466807,-248.5699133
5731.814985,303.8320412,-294.5154041
5730.28963,368.9159084,-363.7015795
5729.641592,433.1172464,-432.3566841
5728.493219,497.1524926,-501.1584436
5726.499711,559.8849245,-571.124222
5725.318327,622.5901471,-641.1329471
5725.227134,687.5551323,-710.4468449
5724.638537,752.3967491,-779.8715386
5724.310427,816.2375458,-848.8616306
5722.907909,880.1268177,-917.7834842
5719.586378,944.3141193,-986.3754762
5716.867442,1010.009851,-1054.942162
5714.80035,1076.483189,-1121.368924
5712.798046,1143.972843,-1189.604567
5710.763622,1210.090174,-1256.382776
5709.793322,1275.892967,-1324.869952
5709.967432,1340.47955,-1394.531724
5710.517221,1403.244989,-1459.029783
5710.923534,1468.317492,-1528.22812
5712.009871,1529.367964,-1600.984752
5711.665282,1589.63662,-1673.091207
5709.244773,1652.744799,-1744.059299
5707.177762,1715.566754,-1813.952701
5705.785028,1779.80112,-1883.929423
5705.440486,1844.635115,-1951.988009
5704.710284,1908.577747,-2020.870541
5703.57009,1970.687025,-2091.418927
5703.835376,2033.528792,-2162.661323
5703.417829,2091.456504,-2227.563878
5700.367429,2155.699671,-2297.477225
5696.670859,2221.037561,-2366.340973
5694.095439,2286.368771,-2433.875207
5690.691992,2351.347891,-2501.704982
5685.633108,2415.971022,-2569.779736
5682.193541,2481.522451,-2638.447559
5678.790121,2545.68066,-2707.055846
5673.627796,2610.041012,-2776.741469
5668.683638,2673.663487,-2845.761009
5664.222852,2736.970309,-2915.103015
5661.811527,2799.641768,-2985.111632
5660.932748,2863.051483,-3055.845012
5659.423873,2928.036514,-3125.11981
5658.275177,2991.376677,-3194.547308
5657.951855,3053.488879,-3266.428859
5658.386613,3114.896859,-3337.595788
5658.867537,3178.506318,-3408.142038
5658.842928,3243.514069,-3476.038158
5658.934122,3310.011307,-3543.883657
5659.763136,3376.92487,-3611.313067
5660.371883,3441.164585,-3678.547998
5659.852467,3506.61647,-3748.773415
5658.769676,3571.625618,-3816.659171
5657.645885,3637.260029,-3883.940725
5657.030658,3702.838972,-3951.282912
5656.530264,3768.699413,-4018.349801
5656.646372,3833.47637,-4087.81454
5658.065447,3895.5765,-4158.365002
5659.883359,3958.21906,-4227.075594
5662.254128,4023.272351,-4296.265638
5664.67469,4087.875779,-4365.872653
5667.209133,4150.68304,-4435.761774
5668.086821,4214.127905,-4505.096282
5666.279611,4279.839026,-4573.679129
5664.876896,4346.088806,-4640.346339
5663.999068,4411.750297,-4707.596913
5663.39388,4476.635569,-4776.983364
5665.1901,4540.780659,-4845.662392
5669.77282,4605.591296,-4914.968999
5675.5687,4669.336801,-4983.807665
5682.687301,4732.201738,-5051.969765
5685.015673,4754.145294,-5073.728791
5687.881369,4802.754601,-5113.65329
5689.490506,4881.101646,-5165.489481
5689.950135,4963.950644,-5209.838219
5689.137425,5050.754472,-5248.386274
5685.769554,5137.716762,-5281.135462
5680.890893,5226.536472,-5311.519231
5676.126004,5317.361888,-5342.244277
5673.394775,5406.720002,-5371.260453
5672.656918,5497.178062,-5400.268544
5673.030044,5588.006603,-5428.072382
5674.654868,5679.394673,-5453.967044
5677.630541,5770.667796,-5480.139173
5679.746643,5861.168726,-5505.432709
5680.370069,5951.908035,-5529.967034
5682.135792,6043.552482,-5554.92636
5682.392768,6135.077357,-5580.351479
5680.373916,6227.560865,-5606.01681
5679.127092,6318.060131,-5631.395417
5679.053265,6408.350056,-5657.541644
5679.553651,6498.428428,-5684.403729
5681.021918,6588.354377,-5711.733883
5681.530475,6678.208986,-5739.316718
5680.341026,6767.728056,-5767.963398
5679.371072,6857.795412,-5798.16071
5678.870689,6946.75781,-5828.515305
5677.17961,7036.764088,-5858.849637
5673.955262,7126.717952,-5889.227357
5671.199424,7215.42078,-5920.212523
5669.68193,7303.842283,-5952.072443
5669.491253,7392.888807,-5985.170864
5670.040854,7480.781194,-6018.496625
5670.016245,7568.563178,-6052.113892
5669.712734,7656.245166,-6085.99152
5668.219919,7743.805459,-6120.138602
5665.718249,7830.998567,-6155.163652
5664.02709,7918.596271,-6191.887451
5662.762101,8006.669216,-6230.063931
5662.786972,8093.64554,-6268.271029
5661.933125,8180.382112,-6306.997406
5659.152696,8265.867396,-6345.991333
5657.011901,8351.199467,-6385.357096
5655.994843,8408.475847,-6411.574231
5654.900226,8466.810904,-6437.876757
