TVD,Northing,Easting
1559.93,3.51,-8.55
1623.925996,3.184211262,-9.182118873
1718.921952,2.9535106,-10.0265765
1813.91789,2.820562332,-10.89489052
1908.916638,2.619965281,-11.17227997
2004.91527,2.256613026,-10.81355397
2099.914518,1.968798917,-10.60958577
2194.91072,1.923337837,-9.873053818
2290.902573,1.794752609,-8.64153014
2385.895543,1.207094649,-7.659246538
2480.889974,0.475121118,-6.95967516
2575.88253,-0.328422668,-6.125430642
2670.868928,-1.288247856,-4.836318249
2765.856671,-2.297107379,-3.697731617
2860.845518,-3.47302466,-2.842593521
2956.831015,-4.25095359,-1.440396252
3050.813697,-4.643665533,0.314072754
3146.802363,-5.178740616,1.685012359
3241.79342,-5.586598806,2.919707157
3336.787041,-5.769867399,3.997800235
3431.784243,-5.945133409,4.697506666
3526.783678,-6.137425779,4.830028616
3622.782638,-6.434954991,4.51019813
3717.779973,-7.096913165,4.300556051
3812.777028,-7.764686877,4.560140144
3908.774881,-8.279436561,4.922700395
4003.770758,-9.136260499,5.064000942
4098.76439,-9.695331535,5.859731686
4193.753189,-9.627509062,7.316819376
4289.744053,-9.617708644,8.637232143
4384.737743,-9.695676716,9.728747354
4479.73144,-9.822842193,10.81468775
4574.725968,-10.06594972,11.7997903
4670.722529,-10.30170227,12.57554179
4765.719126,-10.41991317,13.3691377
4860.715183,-10.67368189,14.18969238
4956.709695,-11.31532663,14.98192176
5051.699592,-12.41911361,15.8051334
5147.690427,-13.62376671,16.31298615
5242.684489,-14.65427611,16.14173281
5337.676589,-15.64537361,15.43209215
5432.67063,-15.96548626,14.48200465
5496.666382,-15.72718551,13.78484403
5586.664696,-15.6575877,13.51546222
5618.661344,-15.82344619,13.9237891
5650.59144,-16.99668129,15.5072612
5681.176826,-20.31857905,19.1720063
5714.726241,-24.14588447,22.97378018
5746.525276,-26.83364965,25.33127054
5778.148547,-30.46723351,28.56547045
5808.420325,-35.51333104,32.89992378
5839.141071,-42.32442597,38.68543188
5869.298906,-50.36547208,45.73079285
5898.034336,-58.8775309,53.64801925
5926.171979,-68.04541077,62.86392586
5953.516092,-77.97580632,73.56014109
5980.881551,-88.76680678,86.14611929
6007.28932,-99.87699771,100.3884063
6032.64315,-111.3982379,116.142435
6056.231209,-123.1333297,132.474031
6079.615593,-135.9825843,150.134494
6101.971173,-149.7553408,168.4191519
6123.286598,-164.498522,187.1841261
6142.995462,-179.4644017,205.8513457
6162.572752,-195.2485631,225.6388055
6181.602286,-211.2158586,245.8102712
6199.771709,-227.5891299,266.440473
6216.098588,-244.0180103,287.0391822
6231.684711,-261.4930768,308.846475
6246.690582,-279.2970959,330.7972708
6261.369608,-297.2119087,352.8776592
6274.743978,-315.2759624,375.6458916
6285.56994,-332.9344732,398.6989007
