TVD,Northing,Easting
5458.27,63.49,-41.9
5519.181309,65.08426784,-44.72368292
5551.054574,65.91226271,-47.40081701
5581.676648,67.69127561,-51.82553169
5611.810109,70.83237919,-58.35000169
5644.363932,75.67504624,-66.87188598
5673.594264,81.32055481,-75.4983071
5702.879645,88.26584096,-86.3342248
5730.898949,96.20030778,-99.57353602
5756.797067,104.3997466,-114.4940843
5781.50021,112.7643445,-131.2397754
5804.171951,121.2312352,-148.9594851
5826.558518,130.2980217,-168.3896566
5848.549004,139.6439971,-189.6658174
5868.300892,148.8965158,-211.6852507
5887.097434,159.3590414,-235.3685576
5903.647214,170.3869247,-259.1394924
5918.410429,182.5107368,-284.7969409
5930.491099,194.8873143,-310.5173396
5940.034497,207.1706035,-336.1582818
5947.388139,220.1951539,-364.433083
5951.460661,232.4292647,-391.5079529
5952.736711,245.3207768,-419.6587775
5951.854428,258.9441673,-448.59726
5950.32117,272.349225,-476.5069863
5945.218764,311.6002934,-560.661387
5938.404879,362.1066898,-673.7026902
5936.209469,379.7770349,-713.9387322
