TVD,Northing,Easting
0,0,0
99.99,-0.9,0.19
199.97,-3.02,0.7
282.95,-4.88,1.16
445.92,-7.64,1.67
531.92,-8.67,1.61
626.91,-9.37,1.23
722.91,-9.29,0.56
817.91,-8.64,-0.22
912.9,-7.82,-0.98
1007.88,-6.9,-2.62
1102.87,-6.25,-3.94
1197.86,-5.74,-4.48
1292.86,-5.88,-5.27
1387.85,-7.12,-6.09
1482.84,-7.77,-6.41
1577.84,-7.48,-6.29
1672.84,-7.02,-6.34
1767.84,-6.32,-6.36
1862.83,-5.16,-6.08
1957.81,-3.73,-5.37
2052.8,-2.9,-4.27
2147.79,-2.65,-2.65
2242.78,-1.81,-1.6
2338.77,-0.27,-1.49
2433.76,0.39,-1.63
2528.76,-0.11,-2.23
2623.75,-0.87,-2.77
2718.75,-1.01,-2.44
2813.75,-0.3,-2.08
2908.74,1.07,-2.11
3003.73,2.07,-1.62
3098.73,2.11,-0.85
3194.73,2.36,-0.29
3289.72,3.21,-0.2
3384.71,4.28,-0.59
3478.7,5.6,-1.22
3573.7,6.61,-1.52
3669.69,7.06,-1.42
3764.69,7.84,-1.74
3859.69,8.61,-2.12
3954.69,9.03,-2.12
4049.68,9.43,-2
4144.68,10.05,-1.79
4239.67,11.26,-1.47
4260.67,11.6,-1.41
4352.65,13.48,-2.24
4383.64,13.85,-2.4
4415.59,12.92,-1
4446.26,10.28,2.53
4476.47,5.94,7.92
4507.06,-0.27,14.94
4536.01,-8.27,22.59
4565.09,-18.5,31.16
4592.32,-29.86,40.65
4619.22,-43.26,51.63
4643.88,-58.16,63.04
4667.72,-75.43,75.57
4689.28,-93.32,88.82
4709.54,-111.63,103.47
4728.29,-130.29,119.62
4745.14,-149.6,137.04
4760.15,-169.59,155.38
4773.78,-190.79,175.08
4785.15,-211.89,194.73
4795.1,-234.25,215.35
4803.52,-257.1,236.09
4810.17,-279.58,256.38
4815.53,-303.03,277.48
4820.1,-325.86,297.95
4823.89,-348.83,318.41
4826.09,-372.74,339.56
4826.61,-395.91,360.14
4825.54,-466.63,423.56
4824.28,-535.29,484.79
4823.21,-606.77,547.35
4823.75,-677.75,610.48
4824.12,-748.3,672.58
4825.11,-818.02,734.1
4829.36,-887.93,798.29
4832.21,-955.87,861.71
4833.63,-1023.96,926.5
4834.4,-1092.98,990.29
4833.96,-1163.77,1053.65
4835,-1233.06,1117.16
4836,-1302.3,1180.72
4836.45,-1372.36,1244.87
4837.59,-1442.18,1309.28
4838.76,-1512.56,1373.08
4841.19,-1582.15,1436.22
4842.21,-1652.3,1500.25
4841.25,-1721.34,1564.04
4841.49,-1790.58,1629.08
4842.77,-1859.66,1694.28
4844.86,-1928.55,1759.67
4845.58,-1998.05,1824.43
4845.6,-2067.61,1889.12
4847.38,-2135.63,1953.97
4847.62,-2204.56,2017.86
4846.53,-2273.99,2081.22
4845.6,-2344.8,2144.52
4844.02,-2415.99,2205.89
4843.54,-2486.14,2266.94
4842.89,-2556.27,2328.02
4841.65,-2627.07,2389.84
4841.7,-2697.52,2452.07
4840.71,-2767.81,2514.47
4838.92,-2837.9,2577.07
4836.57,-2908.7,2638.85
4833.63,-2979.46,2699.13
4831.97,-3051.27,2761.3
4831.33,-3121.65,2823.6
4831.11,-3191.83,2886.14
4832.74,-3261.5,2949.21
4837.34,-3331.19,3013.61
4839.74,-3401.18,3076.28
4840.04,-3471.96,3138.13
4841.56,-3543.02,3201.17
4844.13,-3614.03,3264.22
4845.94,-3686.17,3324.43
4846.89,-3760.57,3383.5
4849.07,-3834.59,3443
4852.36,-3907.74,3501.94
4855.54,-3979.74,3563.81
4858.69,-4049.32,3626.93
4862.74,-4119.77,3690.53
4865.27,-4189.9,3753.06
4866.87,-4261,3816.05
4869.48,-4330.93,3878.81
4873.25,-4401.17,3942.66
4877.09,-4470.65,4005.85
4880.34,-4540.47,4068.7
4884.07,-4610.06,4131.79
4886.64,-4681.2,4194.68
4887.79,-4752.94,4256.95
4888.78,-4824.14,4318.31
4889.75,-4896.07,4378.82
4891.65,-4968.75,4439.96
4894.83,-5041.04,4501.52
4898.7,-5112.59,4562.37
4902.72,-5185.37,4623.29
4907.85,-5257,4683.93
4911.05,-5328.53,4744.81
4912.21,-5401.33,4805.83
4913.83,-5473.71,4865.78
4914.79,-5546.17,4925.65
4916.1,-5618.59,4985.57
4917.49,-5690.39,5047.74
4918.71,-5759.83,5111.09
4920.32,-5829.43,5174.25
4922.19,-5898.06,5239.89
4926.04,-5963.66,5307.1
4931.85,-6028.76,5374.65
4938.01,-6094.49,5442.96
4942.45,-6160.78,5509.44
4945.06,-6228.72,5575.79
4948.07,-6295.38,5642
4951.73,-6361.67,5708.55
4953.94,-6429.73,5773.32
4954.68,-6500.76,5836.4
4956.6,-6569.81,5898.66
4959.02,-6639.28,5963.41
4961.48,-6707.08,6027.02
4964.45,-6776.27,6090.59
4967.09,-6846.37,6153.15
4970.02,-6917.2,6216.39
4974.24,-6987.74,6279.89
4976.58,-7057.1,6343.27
4976.65,-7126.76,6407.86
4977.91,-7195.54,6471.92
4979.97,-7264.05,6536.25
4982.31,-7333.26,6601.28
4985.57,-7401.56,6665.78
4987.4,-7471.45,6731.55
4988.18,-7540.7,6796.58
4989.48,-7608.93,6862.67
4989.39,-7676.95,6927.54
4988.6,-7745.81,6991.51
4988.25,-7814.84,7056.78
4986.96,-7885.1,7119.18
4985.05,-7958.31,7179.69
4984.3,-8032.07,7239.55
4984.28,-8107.03,7297.92
4984.46,-8180.01,7357.14
4984.39,-8250.75,7419.04
4983.88,-8321.61,7482.31
4982.83,-8391.54,7545.12
4981.69,-8461.34,7608.06
4981.72,-8531.16,7672.49
4983.15,-8600.12,7737.81
4984.66,-8668.25,7804
