TVD,Northing,Easting
5719.69,7.49,-32.31
5773.66,8.34,-33.73
5805.49,10.18,-36.36
5835.97,13.51,-40.86
5874.67,19.6,-48.91
5904.18,25.44,-56.39
5934.22,31.89,-65.3
5963.66,38.62,-75.86
5991.31,45.61,-88
6018.73,53.2,-102.63
6044.84,61.08,-119.35
6068.27,68.68,-136.48
6092.24,76.8,-156.06
6114.17,84.3,-176.63
6134.86,91.72,-198.49
6153.09,98.88,-219.87
6171.47,107.11,-244.72
6187.52,115.54,-269.87
6202.52,124.56,-296.65
6215.63,133.47,-323.29
6227.63,142.64,-350.36
6238.73,151.95,-377.76
6248.56,161.51,-406.67
6256.18,170.85,-435.23
6263.35,180.62,-464.84
6270.48,190.07,-493.49
6277.65,199.41,-522.17
6284.31,209.03,-551.95
6289.3,218.34,-581.09
6293.02,227.63,-610.43
6295.71,237.08,-639.83
6297.57,247.3,-670.09
6299.13,257.78,-700.29
6302.48,278.42,-759.72
6305.21,309.39,-848.42
6305.25,330.17,-907.89
6305.07,351.2,-967.28
6305.07,372.58,-1026.54
6305.7,393.65,-1084.84
6307.16,415.46,-1144.99
6308.96,436.86,-1204.22
6309.57,447.59,-1234.36
6310,457.53,-1262.66
6310.88,478.43,-1322.09
6311.19,489.19,-1352.23
6311.71,509.94,-1409.59
6312.15,531.71,-1468.7
6312.35,542.65,-1497.71
6312.7,562.96,-1550.97
