TVD,Northing,Easting
5247.41,103.01,-36.83
5263.404877,103.4098666,-36.76683408
5295.396028,104.1374195,-36.57955218
5387.379833,103.508954,-35.95610894
5482.333976,100.6019139,-35.50514732
5576.309261,98.52060162,-35.00747084
5671.239607,95.33133545,-33.55447293
5766.111753,91.00884922,-31.20033522
5861.012633,87.31255259,-28.93740425
5955.936696,84.04303523,-27.00884406
6049.878503,81.14071708,-25.4316011
6084.815173,79.14592763,-25.08106774
6116.587935,75.39046056,-25.14569327
6147.074411,69.81850304,-25.61599635
6178.168585,62.32451194,-26.48783033
6208.817549,53.22602094,-27.75360507
6237.952989,42.76430592,-29.30169558
6267.344938,30.27590525,-31.27036126
6295.056532,16.62197565,-33.78641591
6322.789955,1.08383822,-37.4047243
6349.609869,-15.64580035,-42.35142111
6374.63363,-32.88538375,-48.45949342
6399.362486,-51.71728737,-56.0429003
6422.895226,-71.4832244,-64.94117164
6444.694138,-91.26227027,-74.66029503
6466.295693,-112.1650283,-85.62710696
6486.231137,-132.9455846,-97.09795042
6505.799004,-154.9371375,-109.6416272
6524.332538,-177.4154257,-122.8727437
6541.24277,-199.5956386,-136.3986547
6595.433844,-295.4635573,-197.0767106
6605.076723,-320.9788281,-213.8013544
6612.793066,-345.8763831,-230.5740678
6619.191502,-371.689597,-248.3658361
6624.017491,-397.548265,-266.5807916
6627.059128,-423.4164491,-285.1626575
6628.822079,-448.2268857,-303.6627817
6630.151054,-473.280295,-323.5236068
6631.212191,-497.552509,-344.3458528
6632.245347,-520.9919233,-366.1042117
6633.386766,-543.0624667,-387.8420805
6634.765925,-565.2541747,-410.8543178
6636.248319,-586.8141942,-434.4531337
6637.67212,-607.7318376,-458.6267465
6638.914544,-628.0251299,-483.3366883
6639.961356,-647.0286496,-507.8050378
6641.175866,-665.9566745,-533.5769936
6642.571766,-684.2245049,-559.8120744
6643.961812,-701.4747215,-585.5315462
6645.686822,-718.8375973,-612.3547673
6647.776501,-735.0024275,-638.7227564
6650.201045,-750.9390647,-666.3646145
6652.606053,-766.1277298,-694.4263995
6654.692983,-780.2629041,-721.9365651
6656.482112,-794.3059265,-750.6339236
6657.858475,-807.669795,-779.6759677
6659.053504,-820.1742004,-809.1059169
6660.481512,-831.3015532,-838.0025782
6662.309786,-841.7444698,-868.1937504
6664.244032,-851.1414069,-898.7199419
6666.128636,-859.1834213,-928.5975608
6668.11308,-866.3486195,-959.7199237
6670.05168,-872.1961271,-990.1000483
6671.994208,-877.2504179,-1021.637566
6673.794638,-881.2820311,-1053.329579
6675.252397,-884.0451426,-1084.169786
6676.525634,-885.6431713,-1116.102193
6677.595024,-886.1789312,-1148.078866
6678.733864,-885.6088025,-1179.049715
6680.389255,-883.7305601,-1210.949681
6682.284549,-880.6164175,-1242.738978
6684.177239,-876.4253563,-1273.394449
6685.997213,-870.9299781,-1304.864197
6687.479628,-864.319604,-1336.1374
