TVD,Northing,Easting
0,0,0
5702.74,0,0
5799.09,7.32,-8.87
5892.45,29.68,-35.96
5974.54,65.76,-79.65
6040.49,113.41,-137.37
6086.37,169.79,-205.68
6109.46,231.57,-280.51
6112,261.18,-316.38
6111.87,295.18,-357.56
6111.62,358.84,-434.67
6111.38,422.5,-511.79
6111.13,486.17,-588.9
6110.89,549.83,-666.02
6110.65,613.49,-743.14
6110.4,677.16,-820.25
6110.16,740.82,-897.37
6109.91,804.48,-974.49
6109.67,868.15,-1051.6
6109.42,931.81,-1128.72
6109.18,995.47,-1205.84
6108.93,1059.14,-1282.95
6108.69,1122.8,-1360.07
6108.45,1186.46,-1437.19
6108.2,1250.12,-1514.3
6107.96,1313.79,-1591.42
6107.71,1377.45,-1668.54
6107.47,1441.11,-1745.65
6107.22,1504.78,-1822.77
6106.98,1568.44,-1899.88
6106.74,1632.1,-1977
6106.49,1695.77,-2054.12
6106.25,1759.43,-2131.23
6106,1823.09,-2208.35
6105.76,1886.76,-2285.47
6105.51,1950.42,-2362.58
6105.27,2014.08,-2439.7
6105.03,2077.75,-2516.82
6104.78,2141.41,-2593.93
6104.54,2205.07,-2671.05
6104.29,2268.73,-2748.17
6104.05,2332.4,-2825.28
6103.8,2396.06,-2902.4
6103.56,2459.72,-2979.51
6103.31,2523.39,-3056.63
6103.07,2587.05,-3133.75
6102.83,2650.71,-3210.86
6102.58,2714.38,-3287.98
6102.34,2778.04,-3365.1
6102.09,2841.7,-3442.21
6101.85,2905.37,-3519.33
6101.6,2969.03,-3596.45
6101.36,3032.69,-3673.56
6101.12,3096.36,-3750.68
6100.87,3160.02,-3827.8
6100.63,3223.68,-3904.91
6100.38,3287.34,-3982.03
6100.14,3351.01,-4059.15
6099.89,3414.67,-4136.26
6099.65,3478.33,-4213.38
6099.41,3542,-4290.49
6099.16,3605.66,-4367.61
6098.92,3669.32,-4444.73
6098.67,3732.99,-4521.84
6098.43,3796.65,-4598.96
6098.18,3860.31,-4676.08
6097.94,3923.98,-4753.19
6097.7,3987.64,-4830.31
6097.45,4051.3,-4907.43
6097.21,4114.97,-4984.54
6096.96,4178.63,-5061.66
6096.72,4242.29,-5138.78
6096.47,4305.95,-5215.89
6096.23,4369.62,-5293.01
6095.98,4433.28,-5370.13
6095.74,4496.94,-5447.24
6095.5,4560.61,-5524.36
6095.25,4624.27,-5601.47
6095.01,4687.93,-5678.59
6094.76,4751.6,-5755.71
6094.52,4815.26,-5832.82
6094.27,4878.92,-5909.94
6094.03,4942.59,-5987.06
6093.79,5006.25,-6064.17
6093.54,5069.91,-6141.29
6093.3,5133.58,-6218.41
6093.05,5197.24,-6295.52
6092.81,5260.9,-6372.64
6092.56,5324.56,-6449.76
6092.32,5388.23,-6526.87
6092.08,5451.89,-6603.99
6091.83,5515.55,-6681.1
6091.59,5579.22,-6758.22
6091.34,5642.88,-6835.34
6091.1,5706.54,-6912.45
6090.85,5770.21,-6989.57
6090.61,5833.87,-7066.69
6090.36,5897.53,-7143.8
6090.12,5961.2,-7220.92
6089.88,6024.86,-7298.04
6089.63,6088.52,-7375.15
6089.39,6152.18,-7452.27
6089.14,6215.85,-7529.39
6088.9,6279.51,-7606.5
6088.65,6343.17,-7683.62
6088.41,6406.84,-7760.74
6088.17,6470.5,-7837.85
6087.92,6534.16,-7914.97
6087.68,6597.83,-7992.08
6087.43,6661.49,-8069.2
6087.19,6725.15,-8146.32
6086.94,6788.82,-8223.43
6086.7,6852.48,-8300.55
6086.46,6916.14,-8377.67
6086.21,6979.81,-8454.78
6085.97,7043.47,-8531.9
6085.72,7107.13,-8609.02
6085.48,7170.79,-8686.13
6085.23,7234.46,-8763.25
6084.99,7298.12,-8840.37
6084.74,7361.78,-8917.48
6084.5,7425.45,-8994.6
6084.26,7489.11,-9071.71
6084.01,7552.77,-9148.83
6083.77,7616.44,-9225.95
6083.52,7680.1,-9303.06
6083.28,7743.76,-9380.18
6083.03,7807.43,-9457.3
6082.79,7871.09,-9534.41
6082.55,7934.75,-9611.53
6082.49,7950,-9630
