TVD,Northing,Easting
0,0,0
143.9973681,-0.717073157,-0.232991185
238.9927221,-1.637493778,-0.403494071
334.9875311,-2.633562717,-0.444407573
429.9799385,-3.793441419,-0.722252243
503.9731659,-4.726139855,-1.084991515
694.9682244,-5.798011961,-1.119576838
884.9633473,-5.510963683,0.175428235
1075.952365,-4.889792547,2.12188524
1265.940516,-4.17068443,4.116812163
1456.930654,-2.798401495,5.350993726
1646.920495,-0.857783701,5.58578033
1837.911088,0.970886788,5.141199417
2027.903182,2.576251491,4.518841134
2217.899356,3.360954543,3.692319239
2407.89603,3.968935691,2.791347651
2598.893549,4.498473178,2.025611313
2787.889319,4.667375118,0.784707195
2977.882955,5.052368262,-0.720192935
3168.876421,5.690287207,-2.163459093
3358.869485,6.388024,-3.628392681
3548.860872,7.112343886,-5.283830424
3738.85241,7.853871561,-6.913755711
3929.844841,8.579281976,-8.451088841
4119.835777,9.495062493,-10.0630775
4310.828464,10.28633737,-11.52255947
4500.811016,11.9229809,-13.37100213
4592.803482,12.72032257,-14.14497436
4691.802639,12.61380858,-14.46759809
4881.795791,11.35127703,-15.41700355
5071.784847,9.795703569,-16.73437586
5262.775452,8.432987007,-18.04537288
5452.765691,7.447366928,-19.68969955
5500.762566,7.281856848,-20.21086227
5632.750022,7.487666101,-21.98437215
5695.745988,7.871685074,-22.53894669
5790.744812,8.129837938,-22.31883228
5885.742653,8.310255621,-21.72575214
5980.741842,8.591381612,-21.58009398
6076.741324,8.805940556,-21.80395038
6171.73897,9.227355104,-22.29529811
6266.732058,9.647751274,-23.34605959
6361.727931,9.913400499,-23.23713303
6456.714613,10.34678955,-21.71151632
6552.703713,11.27086828,-20.63893924
6583.700624,11.68222328,-20.49450762
6615.68551,12.43803,-20.99466123
6647.573798,14.01499684,-23.05463846
6679.22327,16.43737615,-27.06479608
6709.581881,19.18215549,-32.68639758
6740.5278,22.223642,-40.22270657
6770.978821,25.98004772,-49.29784097
6799.991019,30.63147103,-59.17185155
6829.340851,36.28294407,-70.59011717
6857.86458,42.67430591,-83.59735077
6885.379149,49.8719541,-98.25230493
6910.978254,57.72937321,-113.8615306
6936.262804,66.67397782,-131.3078487
6960.427551,76.1779468,-150.0033528
6982.888385,85.81944683,-169.0668408
7005.065213,96.43181712,-189.5450641
7026.137679,107.8790013,-210.728012
7046.135299,120.058949,-232.5360104
7064.299541,132.3670391,-254.429453
7081.76417,145.4673056,-277.8221848
7097.844048,158.8373674,-302.0372214
7112.372762,172.6118674,-326.9962488
7124.908626,186.7463846,-351.5674463
7136.336679,202.2103619,-377.1424623
7146.093142,218.2215917,-403.0666338
