TVD,Northing,Easting
0,0,0
147.9974723,0.698676729,0.270157464
242.9921792,1.617167206,0.671290342
337.9870715,2.468405444,1.163966823
432.9828507,3.208979699,1.667043658
507.9792987,3.863236854,1.985020017
697.9709309,5.614213862,2.148325089
888.9619109,7.447883836,2.242245919
1077.949555,9.542456966,2.772189089
1268.935579,11.71904836,3.537325108
1458.923864,13.60978146,4.461889103
1648.915772,15.219837,5.147805512
1839.911595,16.43127256,5.388308021
2029.910491,17.02510083,5.573801965
2220.909545,17.44438326,6.002723141
2410.90911,17.76619706,6.131465894
2600.908935,17.63792037,5.99243422
2791.908771,17.42436758,5.95573914
2886.908713,17.39829943,5.86835097
3077.908137,17.21579681,5.440929785
3267.906064,17.32790582,4.608590471
3458.899682,17.45820663,3.080222599
3648.891086,17.29667477,1.281039232
3838.883883,17.06584959,-0.3546723
4028.877756,16.70445927,-1.836568542
4219.871415,16.56315394,-3.379657705
4409.865793,16.71522394,-4.827676592
4599.85947,17.04240409,-6.333899157
4790.850533,17.02489467,-8.162971396
4980.842113,16.71904133,-9.921927092
5029.840022,16.7139449,-10.37393195
5159.824591,16.14855665,-12.22894602
5233.816474,15.40009168,-12.23344834
5318.763808,14.18210295,-9.576896274
5413.736626,13.96634383,-8.320376881
5509.719783,15.12677662,-9.681103781
5699.710672,15.94134526,-9.26381935
5794.696252,15.87460423,-7.616374026
5890.68143,15.95876706,-5.934686978
5985.663541,16.55554353,-4.222136361
6080.643349,17.65576793,-2.612786507
6176.628048,19.06787869,-1.683986375
6207.621116,19.6962605,-1.50127924
6239.608343,20.15622943,-0.797224111
6271.516476,20.09907503,1.533186461
6303.160185,19.53160873,6.204274949
6332.413773,18.54406974,12.75198059
6363.109579,16.97889719,21.64275724
6393.270957,14.79145353,32.09539501
6421.906626,11.88941584,43.59896584
6450.797968,7.931050863,56.76612137
6478.945021,3.113398653,71.19856053
6506.315798,-2.332470532,86.85117886
6531.96242,-8.218489205,103.2320073
6557.404726,-15.04071472,121.3952547
6581.778217,-22.49136276,140.7387547
6604.997271,-30.59318397,161.2076477
6627.020175,-39.23938708,182.7483833
6647.239658,-47.93064443,204.5765952
6666.954314,-57.23397795,227.9983888
6685.313199,-66.76992166,252.4060792
6701.720737,-76.13047228,276.9819106
6717.374879,-85.89612152,303.1241454
6731.731791,-95.74764441,329.9686
6744.352004,-105.3233003,356.6121921
6756.162406,-115.33119,384.6162645
6766.563431,-125.5058441,413.1124916
6775.210663,-135.9567597,442.0899524
6792.006137,-166.2308238,521.8638295
6799.683252,-189.187155,580.0221066
6809.382577,-224.2289838,667.7885625
6816.959355,-259.6383104,755.6057389
6822.379615,-292.6841401,843.4285087
6828.608227,-324.8270285,933.6718141
6833.265405,-356.3952383,1022.08299
6835.661042,-387.7918186,1111.712484
6837.343887,-419.0213602,1201.416739
6838.418462,-449.6304372,1290.286779
6839.665288,-480.4092264,1379.095492
6841.812293,-511.6826295,1468.77442
6844.299108,-542.5696217,1558.578587
6846.578731,-572.9640565,1648.556065
6848.383352,-603.7008335,1737.368541
6849.751248,-634.8219468,1827.114364
6850.06628,-665.6638705,1916.965854
6849.585439,-696.6236538,2006.777746
6848.879968,-726.0442623,2096.050871
6848.879968,-756.0925535,2186.169262
6850.048908,-786.3516558,2276.21226
6851.968275,-815.5567086,2365.538887
6854.539972,-844.5732985,2457.01079
6857.259332,-874.5132525,2547.119045
6859.892232,-905.4605403,2635.838144
6861.724403,-937.2822484,2725.326933
6862.881005,-969.8993906,2813.47889
6863.933887,-1001.796058,2902.956298
6864.9757,-1031.449005,2992.148307
6866.741718,-1062.385152,3081.943373
6868.772817,-1096.583645,3170.547462
6870.207026,-1132.826687,3258.349097
6871.608042,-1170.132703,3345.706201
6871.351034,-1206.261539,3433.556894
6869.62849,-1240.355459,3521.138785
6870.457438,-1274.233332,3609.879176
6874.460439,-1307.317799,3698.840122
6876.607142,-1339.944651,3788.021441
6875.0072,-1372.041562,3877.41849
6874.311913,-1404.028807,3967.923336
6875.339891,-1435.629156,4057.507653
6876.045348,-1466.611416,4146.252108
6877.239135,-1497.035382,4236.239081
6878.805947,-1526.293186,4326.607305
6879.601804,-1555.088286,4417.13421
6880.430835,-1584.569442,4507.438766
6881.143809,-1613.9009,4597.792336
6882.210165,-1642.422815,4687.352284
6883.917927,-1670.676186,4778.035775
6886.206552,-1699.361508,4867.515628
6888.634356,-1729.876759,4956.390048
6890.07525,-1761.000952,5047.192959
6890.879422,-1790.671119,5137.4354
6890.995488,-1818.770957,5228.183281
6892.291634,-1847.547303,5317.651333
6894.289437,-1878.570988,5407.419569
6895.10981,-1907.974477,5496.693428
6897.190447,-1936.840701,5587.171483
6900.729632,-1965.869232,5677.557837
6903.723663,-1995.911863,5766.57008
6905.771195,-2028.208958,5855.88719
6905.017265,-2061.659738,5945.858055
6903.130648,-2094.186825,6034.027171
6901.465455,-2124.714767,6122.913016
6900.809253,-2154.313343,6212.123439
6901.522228,-2183.597734,6302.493042
6903.006219,-2213.539209,6392.632612
6905.144953,-2244.373772,6482.462906
6906.032014,-2273.972704,6572.727628
6906.73752,-2303.905946,6661.826967
6907.790372,-2335.216693,6751.512351
6908.126696,-2365.517032,6840.493579
6907.670732,-2395.652694,6930.585701
6906.443789,-2425.140616,7020.884052
6906.328946,-2454.926252,7110.033114
6907.414952,-2486.041171,7199.78632
6908.360111,-2515.600011,7290.061509
6910.043202,-2545.642253,7380.162401
6911.692886,-2577.341047,7469.70195
6911.856944,-2608.540451,7558.37154
6910.571975,-2640.709389,7647.748808
6910.116025,-2673.588988,7736.87283
6910.91189,-2706.27434,7826.06915
6911.135732,-2737.852511,7915.665378
6910.107729,-2767.734335,8005.834577
6909.796,-2797.791626,8094.890606
6910.84887,-2830.30457,8184.146438
6911.578948,-2863.844262,8271.955187
6911.918862,-2899.32337,8360.078859
6912.001785,-2933.28665,8448.787539
6912.598682,-2964.590794,8538.479102
6913.369674,-2995.353937,8628.356517
6913.057957,-3024.860782,8717.603047
6914.284789,-3054.59785,8807.810573
6916.999644,-3083.882043,8897.089474
6918.176843,-3112.161473,8987.773017
6919.702561,-3140.453908,9077.396739
6922.523987,-3169.550781,9166.735419
6923.725982,-3198.658805,9257.152391
6923.365035,-3226.313487,9346.989573
6923.96826,-3254.987299,9438.600122
6924.391058,-3284.918099,9528.759255
6923.488739,-3314.642133,9617.931088
6922.808925,-3345.48346,9707.780771
6922.212029,-3376.951925,9797.414834
6922.490923,-3407.476383,9886.316188
6925.14344,-3437.686682,9976.343899
6928.401716,-3467.510064,10067.53498
6931.336133,-3495.56466,10158.2487
6933.92801,-3521.677063,10248.51056
6935.121765,-3547.054122,10340.04847
6934.813366,-3561.758341,10395.11749
6934.059404,-3576.891441,10453.17282
