TVD,Northing,Easting
0,0,0
100,-0.42,0.13
200,-0.62,0.3
300,-0.8,0.52
400,-1.2,0.71
499.99,-1.45,1.06
599.99,-2.14,1.49
699.99,-2.5,1.77
799.99,-2.61,2.11
899.99,-2.98,2.16
999.99,-3.59,1.92
1099.98,-4.3,1.46
1199.98,-4.65,0.49
1299.97,-4.84,-0.56
1399.96,-5.08,-1.62
1499.96,-5.26,-2.46
1599.96,-5.5,-3.06
1699.95,-5.74,-3.9
1799.95,-6.24,-4.51
1899.95,-6.84,-5.07
1999.94,-6.98,-5.88
2099.94,-6.99,-6.74
2199.94,-7.12,-7.38
2299.94,-7.18,-8.03
2399.93,-7.4,-8.56
2499.93,-7.83,-9.02
2599.93,-8.23,-9.53
2699.93,-8.8,-9.84
2799.92,-9.64,-9.93
2899.92,-10.28,-9.9
2999.92,-10.93,-9.97
3099.92,-11.54,-9.86
3199.92,-11.9,-9.84
3299.92,-12.27,-9.83
3399.91,-12.57,-9.52
3499.91,-12.91,-8.96
3599.91,-13.57,-8.57
3699.91,-14.19,-8.45
3799.91,-14.17,-8.28
3899.91,-14.13,-8.09
3999.91,-14.24,-7.75
4099.9,-14.12,-7.11
4199.9,-14.04,-6.46
4299.9,-13.61,-6.07
4399.9,-13.02,-5.78
4499.9,-12.67,-5.53
4599.89,-12.07,-5.31
4699.89,-11.11,-4.84
4799.88,-10.31,-4.11
4899.88,-9.74,-3.45
4999.87,-9.11,-2.84
5099.87,-8.46,-2.26
5199.87,-7.88,-1.61
5299.86,-7.34,-0.93
5314.85,-7.66,-0.6
5349.71,-10.1,1.31
5399.1,-16.18,6.08
5419.21,-19.57,8.73
5496.38,-33.6,19.71
5544.83,-44.01,27.86
5591.87,-57.32,38.29
5637.44,-73.5,50.96
5681.25,-92.45,65.79
5723.04,-114.04,82.7
5762.56,-138.15,101.57
5799.55,-164.62,122.3
5833.78,-193.3,144.76
5865.06,-224,168.8
5893.17,-256.54,194.28
5917.96,-290.72,221.04
5939.27,-326.32,248.92
5956.96,-363.13,277.74
5970.93,-400.92,307.33
5981.09,-439.45,337.51
5987.38,-478.5,368.08
5989.74,-516.04,397.48
5990.36,-557.17,429.69
5991.54,-635.9,491.34
5992.73,-714.63,552.99
5993.92,-793.36,614.63
5995.1,-872.08,676.28
5996.29,-950.81,737.93
5997.48,-1029.54,799.58
5998.66,-1108.27,861.23
5999.85,-1186.99,922.88
6001.04,-1265.72,984.52
6002.22,-1344.45,1046.17
6003.1,-1402.61,1091.72
