TVD,Northing,Easting
0,0,0
200,-0.32,0.3
400,-1.47,0.34
599.99,-2.51,-0.3
799.99,-3,-1.02
999.98,-4.49,-0.88
1199.97,-6,0.42
1399.96,-6.97,1.78
1599.96,-8.2,1.63
1799.96,-8.45,0.61
1999.95,-8.61,1.03
2199.95,-10.33,1.41
2399.94,-12.01,1.15
2599.93,-13.74,1.26
2799.92,-15.12,2.13
2999.91,-15.2,4.31
3199.9,-15.93,6.12
3399.89,-17.37,7.11
3599.88,-19.29,8.1
3799.87,-20.44,9.47
3999.86,-20.34,11.64
4199.85,-19.52,13.32
4399.84,-17.97,14.75
4599.82,-16.45,16.24
4799.82,-15.26,16.57
4999.82,-13.99,16.25
5199.81,-12.4,15.58
5399.8,-10.44,14.63
5599.78,-7.93,14.26
5799.77,-5.78,14.58
5999.76,-3.61,14.79
6199.73,-0.57,14.61
6399.7,2.84,14.89
6599.67,6.25,15.51
6799.64,9.72,15.9
6999.59,13.83,17.24
7199.55,17.9,17.9
7399.54,19.23,18.26
7599.53,17.56,18.89
7799.51,14.97,18.53
7999.49,12.1,17.58
8199.43,7.46,16.77
8399.38,2.96,17.68
8599.34,-0.08,20.15
8708.26,-3.42,22.38
8759.09,-6.64,24.83
8849.44,-15.25,31.4
8881.08,-19.19,34.16
8911.41,-24.27,37.97
8942.18,-30.98,43.61
8972.27,-39.02,50.95
9000.63,-48.06,59.58
9029.01,-58.63,69.89
9056.37,-70.46,81.51
9081.77,-83.09,94
9106.82,-97.09,108.15
9130.73,-111.82,123.49
9152.75,-126.71,139.43
9176.15,-144.17,158.79
9262.38,-219.05,236.21
9280.58,-237.09,253.64
9298.14,-256.22,272.34
9313.47,-275.29,291.36
9327.23,-295.68,311.82
9339.41,-316.78,332.56
9351.76,-341.28,355.86
9359.78,-360.22,373.35
9367.68,-381.61,392.84
9375.04,-404.79,413.63
9380.51,-427.89,433.57
9384.68,-452.33,453.8
9387.7,-476.42,473.06
9390.16,-501.44,492.86
9392.35,-526.44,512.72
9394.26,-551.48,532.55
9397.85,-625.54,591.93
9399.55,-673.97,632.18
9400.93,-746.56,693.45
9401.48,-817.99,754.54
9403.43,-889.49,817.06
9406.95,-960.63,879.92
9409.7,-1032.38,942.12
9410.47,-1104.92,1003.45
9411.3,-1177.47,1064.78
9412.89,-1250.26,1125.81
9415.35,-1323.39,1186.39
9419,-1396.78,1246.6
9422.1,-1470.85,1306
9424.22,-1546.45,1365.13
9426.02,-1619.86,1422.2
9428.65,-1694.54,1480.85
9430.83,-1769.55,1539.1
9431.21,-1845.06,1596.75
9432.16,-1919.84,1653.7
9433.43,-1995.57,1712.68
9434.53,-2069.58,1772.22
9435.88,-2141.86,1830.73
9437.72,-2217.03,1892.01
9439.98,-2287.05,1950.09
9441.99,-2357.98,2011.73
9443.23,-2428.54,2075.33
9445.02,-2499.34,2138.65
9447.76,-2569.52,2201.11
9450.33,-2640.48,2264.23
9452.22,-2711.89,2326.85
9453.84,-2783.81,2388.9
9455.53,-2854.6,2452.23
9457.17,-2923.68,2517.42
9457.7,-2985.44,2575.81
9458.4,-3062.64,2646.98
9460.14,-3131.76,2710.65
9462.75,-3201.15,2775.49
9466.22,-3270,2839.39
9470.48,-3339.67,2903.84
9474.08,-3407.88,2968.41
9476.04,-3475.95,3034.65
9477.33,-3543.21,3101.73
9478.82,-3610.78,3169.9
9481.29,-3677.81,3237.18
9483.13,-3743.63,3302.84
9483.9,-3833.52,3391.14
9484.8,-3878.66,3435.07
9487.69,-3946.58,3499.98
9490.74,-4028.08,3575.27
9491.97,-4086.76,3628.16
9493.67,-4157.01,3690.59
9495.85,-4229.35,3753.67
9497.98,-4301.56,3815.35
9500.09,-4373.4,3875.94
9502.59,-4446.4,3936.68
9505.46,-4519.66,3997.1
9508.67,-4593.06,4057.32
9510.04,-4666.68,4117.34
9509.49,-4765.44,4197.18
9509.39,-4871.16,4282.73
9511.36,-4959.46,4353.2
9515.11,-5031.51,4411.89
9521.92,-5150.71,4513.84
9525.79,-5244.36,4596.52
9527.83,-5337.13,4681.76
9528.86,-5383.04,4724.89
9531.73,-5452.1,4790.06
9532.37,-5475.49,4811.89
9532.71,-5521.78,4854.62
9534.24,-5591.5,4919.13
9536,-5661.1,4983.76
9536.39,-5730.86,5048.25
9536.55,-5801.1,5113.69
9538.25,-5869.44,5178.21
9541.62,-5938.95,5244.33
9545.04,-6007.73,5309.78
9546.01,-6031.06,5331.65
9548.16,-6077.62,5375.51
9550.66,-6146.5,5439.42
9551.75,-6216.58,5503.54
9552.34,-6285.69,5568.72
9553.34,-6355.16,5634.98
9554.86,-6423.14,5699.88
9555.99,-6491.84,5765.48
9557.69,-6559.24,5830.97
9560.08,-6625.96,5897.14
9562.94,-6694.7,5965.52
9566.4,-6761.06,6033.41
9569.72,-6826.11,6102.57
9572.26,-6891.15,6173.13
9573.93,-6955.55,6244.31
9575.67,-7017.63,6314.87
9577.78,-7080.26,6387.59
9580.75,-7164.04,6485.64
