TVD,Northing,Easting
0.00,0,0
175.10,-0.33,-0.25
268.28,-0.77,-0.65
361.46,-1.25,-1.18
454.64,-1.69,-1.61
547.82,-1.96,-1.95
641.00,-1.76,-2.23
734.18,-1.22,-2.38
827.36,-0.7,-2.7
920.54,-0.28,-3.58
1013.72,0.06,-4.84
1106.90,0.34,-5.95
1200.08,0.65,-6.86
1293.26,1.18,-8.1
1386.44,1.59,-9.51
1479.62,1.64,-10.95
1572.80,1.74,-12.7
1665.98,1.94,-14.47
1759.16,2.27,-15.83
1852.34,2.9,-16.94
1945.52,3.69,-17.84
2038.70,4.6,-18.38
2131.88,5.6,-18.84
2225.06,6.32,-19.2
2318.24,6.71,-19.5
2411.42,6.7,-19.8
2504.60,6.31,-20.04
2597.78,6.01,-20.25
2690.96,5.93,-20.56
2784.14,5.98,-21.01
2877.32,6.18,-21.59
2970.50,6.57,-22.27
3063.68,7.09,-22.97
3156.86,7.44,-23.75
3250.04,7.56,-24.7
3343.22,7.85,-25.75
3436.40,8.12,-26.89
3529.58,7.91,-28.11
3622.76,7.36,-29.28
3715.94,6.58,-30.36
3809.12,5.73,-31.52
3902.30,5,-32.96
3995.48,4.4,-34.51
4088.66,3.81,-35.89
4181.84,3.2,-37.08
4275.02,2.79,-38.16
4368.20,2.76,-39.36
4461.38,2.87,-40.77
4554.56,3,-42.24
4647.74,3.14,-43.87
4740.92,3.55,-45.7
4834.10,4.43,-47.54
4927.28,5.46,-49.37
5020.46,6.62,-51.27
5113.64,7.75,-53.34
5206.82,7.97,-55.26
5300.00,6.53,-57.38
5361.00,4.66,-59.19
5391.00,4.75,-60.92
5422.00,7.48,-64.38
5453.00,12.97,-69.35
5485.00,21.58,-75.57
5516.00,32.78,-82.46
5546.00,46.28,-89.91
5578.00,63.39,-98.7
5610.00,82.79,-108.8
5641.00,103.42,-120.39
5673.00,126.24,-134.33
5703.00,148.71,-148.66
5735.00,173.44,-164.37
5763.00,195.48,-178.22
5794.00,220.38,-193.54
5825.00,245.74,-208.79
5856.00,271.72,-223.77
5887.00,298.19,-238.6
5918.00,324.88,-253.46
5950.00,352.57,-268.9
5981.00,379.31,-284.3
6013.00,406.88,-300.42
6043.00,432.81,-315.44
6076.00,461.48,-331.74
6170.00,543.45,-377.67
6262.00,623.38,-423.14
6356.00,704.89,-469.89
6449.00,785.32,-516.54
6542.00,865.31,-563.96
6635.00,945.39,-611.08
6728.00,1025.62,-657.66
6819.00,1103.79,-703.96
6913.00,1183.78,-753.16
7007.00,1263.24,-803.01
7102.00,1343.24,-853.94
7196.00,1422.07,-904.93
7289.00,1499.99,-955.59
7383.00,1578.81,-1006.81
7476.00,1656.93,-1057.26
7570.00,1735.99,-1108
7661.00,1812.09,-1157.33
7755.00,1890.63,-1208.18
7848.00,1968.88,-1257.56
7942.00,2048.51,-1306.48
8036.00,2128.61,-1354.9
8129.00,2208.02,-1402.59
8208.00,2275.62,-1442.88
8265.00,2324.48,-1471.82
