TVD,Northing,Easting
5631.75,9.13,-31.03
5654.739708,9.743052358,-31.3155061
5686.677034,11.49403366,-32.19336532
5717.641003,12.2772707,-31.87894162
5748.356296,9.985638368,-28.59614749
5779.562771,5.342354122,-23.26981103
5810.701606,0.238792828,-17.95554099
5840.966779,-4.509761739,-13.21525397
5872.197331,-9.439755696,-8.28092629
5902.266409,-14.63847392,-2.838629176
5930.874767,-20.60057998,3.916928419
5958.757884,-27.68318722,12.39929761
5987.672824,-36.36470736,22.99605339
6014.952456,-45.84300688,34.25566128
6041.516054,-56.48413741,46.1704529
6068.195387,-68.5076489,59.11240187
6094.212222,-81.37839813,72.57999374
6118.907307,-94.45587094,85.99955742
6143.760257,-108.5565029,100.3997313
6166.307479,-122.5577186,114.38084
6188.830271,-137.8857537,129.167909
6210.790497,-153.7436257,144.2429545
6233.00899,-170.4184371,160.1250338
6254.400588,-187.5917942,176.595861
6273.41059,-204.2206687,192.7805443
6291.952852,-221.8600608,210.2696472
6309.83606,-240.4556957,229.1945988
6326.106668,-258.8112065,248.1490698
6340.971782,-276.9570984,266.8478229
6355.619969,-296.8668365,287.1662162
6368.607707,-317.5601966,307.8229194
6379.828887,-339.0228398,328.7323262
6389.268617,-360.3904318,349.1072995
6397.359258,-382.1802121,369.6155083
6404.186334,-404.991683,390.9880176
6409.285315,-428.0891791,412.5340782
6412.543231,-449.9513308,432.813959
6414.78928,-473.3300527,454.5465385
6417.88238,-516.9991341,495.5760901
6422.721829,-585.8429259,560.8607212
6424.50152,-654.6859387,624.8101859
6425.564554,-723.1242488,687.7531792
6430.221885,-791.6458093,751.9304934
6433.767352,-859.6838144,815.2211557
6434.935996,-927.9040558,878.4159269
6436.174622,-996.44897,942.7276066
6439.438669,-1064.24382,1007.751257
6441.970206,-1130.782668,1072.661193
6442.077982,-1198.202798,1139.588911
6441.712774,-1263.704256,1205.606848
6442.33618,-1329.720139,1272.515893
6444.624597,-1394.86749,1338.845055
6446.133348,-1461.821089,1406.22054
6446.960368,-1528.193879,1469.914351
6447.887314,-1596.735186,1534.233951
6450.364191,-1664.472806,1599.350736
6453.952994,-1732.645195,1665.414361
6456.81936,-1797.512582,1729.170412
6459.304675,-1864.785118,1794.772795
6461.617745,-1932.238857,1860.196946
6463.346275,-1998.152796,1925.778226
6463.671865,-2062.319045,1990.303853
6465.591127,-2128.751184,2056.770988
6468.61655,-2195.967472,2123.835025
6470.577901,-2259.899103,2188.563861
6472.152811,-2325.546685,2255.8237
6473.530876,-2390.967166,2323.308823
6475.578415,-2456.782801,2391.785027
6477.331361,-2521.785855,2458.268107
6480.431375,-2587.512178,2525.384646
6482.857361,-2651.867612,2592.458776
6483.021426,-2717.575821,2659.675043
6484.426372,-2782.044989,2725.290678
6485.769344,-2848.345227,2793.314076
6486.050342,-2912.788446,2858.972153
6488.25745,-2977.676617,2925.54659
6493.008194,-3041.52845,2991.609365
6496.290494,-3108.52103,3058.869776
6497.492558,-3176.627858,3125.08921
6498.394934,-3244.942983,3189.646393
6498.618773,-3314.680649,3254.15639
6501.497151,-3382.996907,3318.634884
6508.602254,-3450.413828,3383.749416
6517.513711,-3517.402639,3449.086809
6524.042444,-3562.859195,3493.663342
6530.127689,-3604.659071,3534.854848
