TVD,Northing,Easting
0.00,0.00,0.00
143.00,0.11,-0.21
238.00,0.32,-0.54
358.00,0.51,-0.80
548.00,0.47,-0.85
738.00,0.56,-1.30
927.00,0.75,-1.86
1117.00,0.65,-2.56
1305.99,0.53,-3.77
1495.98,0.35,-5.33
1685.98,0.69,-7.11
1875.97,1.92,-8.21
2064.97,2.66,-8.72
2254.96,2.92,-9.52
2444.96,3.02,-9.42
2633.96,3.38,-8.14
2823.95,3.87,-6.69
3013.95,4.13,-5.87
3202.95,4.82,-5.78
3392.94,5.73,-5.95
3581.94,6.91,-6.76
3771.94,6.89,-7.55
3961.93,5.94,-7.94
4150.93,5.89,-8.65
4340.92,7.12,-8.22
4529.89,9.75,-6.02
4719.87,11.88,-3.93
4909.86,12.41,-2.36
5099.85,12.33,-0.90
5242.85,11.93,0.24
5330.84,11.57,1.12
5393.84,11.44,1.94
5488.83,11.49,3.30
5583.82,11.74,4.44
5678.82,12.24,5.08
5772.81,13.00,5.15
5867.81,13.91,4.65
5962.80,14.91,3.76
5993.80,15.20,3.47
6025.79,15.17,3.85
6057.71,14.37,5.84
6088.42,12.62,9.65
6119.81,9.84,15.20
6150.91,6.33,21.88
6180.76,2.30,29.19
6211.23,-2.62,37.62
6241.19,-8.52,47.20
6269.58,-15.25,57.65
6298.17,-23.20,69.63
6325.04,-31.76,82.48
6351.74,-41.28,97.31
6377.42,-51.54,113.41
6401.33,-62.45,129.85
6424.94,-74.74,147.60
6446.64,-87.71,165.53
6468.00,-102.05,184.56
6488.43,-117.10,204.05
6507.22,-132.15,223.59
6525.27,-148.07,244.66
6541.76,-164.28,266.78
6556.25,-180.15,289.12
6569.75,-196.69,312.95
6581.59,-212.95,336.53
6591.90,-228.44,358.77
6616.90,-275.78,428.53
6623.67,-293.08,453.35
6630.02,-312.81,477.70
6635.35,-334.20,500.90
6639.99,-355.50,522.94
6644.75,-377.52,545.66
6649.46,-399.63,568.31
6653.77,-422.25,590.54
6657.45,-445.57,612.13
6660.58,-468.83,632.38
6663.83,-493.54,652.45
6667.24,-518.60,672.05
6670.62,-543.90,691.35
6673.95,-569.44,710.35
6677.21,-595.18,729.07
6680.05,-620.58,746.62
6682.50,-647.38,763.93
6684.64,-674.70,780.44
6686.75,-702.49,796.18
6689.07,-729.88,810.49
6691.86,-758.50,824.53
6694.60,-787.30,838.21
6696.80,-815.49,850.91
6698.42,-844.99,863.21
6699.68,-874.70,875.03
6700.88,-904.42,886.82
6701.90,-934.26,898.35
6702.63,-962.42,908.66
6704.53,-1051.52,938.52
6707.22,-1141.23,966.48
6709.49,-1230.98,994.31
6712.32,-1320.65,1022.35
6715.70,-1412.99,1051.87
6716.25,-1504.34,1081.36
6715.97,-1596.64,1111.17
6716.58,-1688.09,1140.39
6716.44,-1779.59,1169.42
6716.43,-1871.05,1198.57
6716.47,-1963.57,1227.72
6716.08,-2055.14,1256.53
6717.49,-2146.73,1285.26
6720.32,-2239.61,1313.06
6723.21,-2330.65,1340.06
6725.68,-2419.97,1369.21
6727.77,-2509.69,1400.37
6729.88,-2599.57,1431.07
6732.43,-2688.55,1461.26
6736.15,-2778.39,1491.92
6739.75,-2867.15,1522.66
6742.76,-2956.71,1554.20
6745.51,-3045.64,1584.53
6747.96,-3134.86,1614.02
6750.06,-3224.16,1643.29
6752.22,-3314.50,1672.58
6753.20,-3403.85,1701.75
6752.54,-3493.10,1731.26
6752.44,-3583.18,1761.41
6753.79,-3673.48,1790.90
6756.35,-3763.05,1819.29
6759.59,-3852.56,1847.80
6763.76,-3942.09,1876.16
6767.22,-4031.71,1904.29
6769.91,-4121.47,1932.08
6773.61,-4212.20,1959.98
6778.15,-4302.03,1987.31
6782.68,-4391.68,2015.19
6787.33,-4481.17,2043.58
6792.99,-4570.76,2071.46
6798.52,-4659.97,2100.54
6801.87,-4751.70,2131.88
6804.30,-4841.46,2162.90
6806.06,-4930.23,2193.76
6806.46,-5020.88,2225.37
6807.76,-5112.37,2257.57
6810.15,-5202.94,2289.29
6811.63,-5294.50,2321.29
6812.72,-5385.00,2353.30
6815.13,-5476.18,2386.31
6818.67,-5566.15,2419.60
6823.05,-5656.15,2452.72
6827.01,-5747.47,2485.19
6828.22,-5838.10,2516.78
6828.71,-5927.97,2550.51
6828.80,-5958.57,2562.87
6828.12,-6009.54,2583.51
