TVD,Northing,Easting
5855.34 ,1.69 ,-39.14 
5884.34 ,1.43 ,-39.10 
5915.33 ,1.13 ,-39.77 
5947.24 ,0.24 ,-41.84 
5977.98 ,-2.93 ,-44.20 
6009.30 ,-9.16 ,-46.12 
6038.99 ,-17.82 ,-48.02 
6067.74 ,-29.06 ,-50.70 
6096.15 ,-43.30 ,-54.32 
6122.12 ,-59.74 ,-58.24 
6146.34 ,-78.64 ,-62.35 
6169.36 ,-100.43 ,-66.65 
6189.60 ,-123.61 ,-70.30 
6208.27 ,-149.47 ,-72.67 
6224.09 ,-176.11 ,-73.17 
6237.49 ,-204.03 ,-72.09 
6248.39 ,-234.04 ,-70.32 
6255.43 ,-264.18 ,-68.83 
6259.29 ,-293.90 ,-67.88 
6261.52 ,-324.82 ,-67.64 
6262.14 ,-356.81 ,-68.03 
6261.04 ,-450.78 ,-69.70 
6261.18 ,-543.78 ,-70.21 
6260.23 ,-636.77 ,-70.17 
6259.41 ,-730.75 ,-70.86 
6259.54 ,-820.72 ,-73.16 
6258.15 ,-913.66 ,-75.83 
6257.54 ,-1005.66 ,-76.64 
6257.54 ,-1098.63 ,-78.61 
6256.71 ,-1193.56 ,-82.09 
6255.46 ,-1285.53 ,-84.10 
6254.83 ,-1381.52 ,-84.76 
6253.27 ,-1475.50 ,-85.40 
6251.42 ,-1568.48 ,-85.39 
6250.15 ,-1663.44 ,-83.27 
6247.73 ,-1758.39 ,-81.11 
6246.26 ,-1852.32 ,-78.18 
6245.89 ,-1945.24 ,-74.46 
6245.89 ,-2035.22 ,-74.92 
6248.04 ,-2129.15 ,-77.77 
6249.84 ,-2224.05 ,-81.38 
6250.60 ,-2317.90 ,-86.57 
6251.69 ,-2412.77 ,-91.50 
6252.12 ,-2506.67 ,-95.70 
6252.72 ,-2600.61 ,-99.04 
6253.96 ,-2694.55 ,-102.22 
6256.06 ,-2787.48 ,-105.17 
6257.16 ,-2881.41 ,-108.49 
6254.42 ,-2975.23 ,-113.37 
6249.38 ,-3070.95 ,-118.67 
6244.98 ,-3164.73 ,-123.30 
6241.59 ,-3256.56 ,-127.81 
6237.71 ,-3351.32 ,-133.23 
6233.35 ,-3443.05 ,-138.78 
6230.56 ,-3534.88 ,-143.54 
6230.45 ,-3597.78 ,-147.03 
6231.11 ,-3650.67 ,-150.37 
