TVD,Northing,Easting
5150.78,15.86,-61.01
5169.260279,16.68618635,-61.06202463
5201.101479,19.72603912,-61.74385108
5232.630985,24.82273861,-63.58708223
5262.670031,31.85530524,-66.53385196
5292.952521,41.21102734,-70.87937191
5322.296267,52.53667358,-76.71588036
5350.436177,65.81127514,-84.14812171
5376.317701,80.58572759,-92.65051667
5401.47002,97.70749065,-102.5307467
5424.933758,116.4597434,-113.5425227
5445.913384,136.0337243,-125.2559039
5464.336552,156.2398993,-137.5749074
5481.872945,178.9327665,-151.7515948
5496.655441,201.8888723,-166.410265
5509.308383,226.5030123,-182.4506031
5519.278814,251.8662805,-199.2036859
5526.651882,277.8126846,-216.403554
5532.150552,304.0819082,-233.8270076
5536.277032,329.7478103,-250.7116753
5539.610795,356.3964848,-268.1102444
5542.383079,382.989091,-285.691672
5544.272417,409.5698791,-303.405357
5544.772819,435.444185,-320.4662798
5543.890403,488.7578961,-355.860973
5542.76228,541.7955071,-391.6622404
5542.03659,593.8917472,-427.0801077
5540.858231,646.6319778,-463.3138556
5538.702813,699.2446219,-499.6902676
5536.240424,750.921697,-535.6402049
5534.520476,803.1434089,-572.5948506
5533.695831,854.3419391,-609.2967246
5533.103816,906.04066,-647.0168355
5532.171145,957.7223539,-684.7522239
5530.24172,1009.018765,-721.2741888
5527.721102,1059.530353,-757.1377053
5524.873663,1111.448951,-794.4518693
5521.981568,1163.123712,-832.0992268
5519.085172,1213.459741,-869.8719571
5516.237733,1264.3128,-908.6256198
5514.272145,1315.336326,-947.2073582
5511.966071,1366.743194,-985.2537909
5509.905686,1418.555303,-1022.759393
5509.520844,1469.534989,-1059.77113
5509.621375,1521.167139,-1097.587836
5509.721906,1572.746437,-1135.476597
5510.013292,1623.187896,-1173.218479
5510.454508,1674.151005,-1211.929629
5509.88098,1724.068432,-1248.691732
5509.238679,1775.565861,-1286.679871
5508.848342,1825.605692,-1324.952041
5508.552338,1876.534687,-1363.707394
5509.761739,1926.867608,-1401.574037
5512.263191,1977.937545,-1440.064958
5514.909762,2029.120192,-1478.396228
5517.266124,2080.412348,-1516.600382
5519.635117,2130.730371,-1554.435171
5521.806368,2181.299889,-1591.943384
5524.012071,2232.70879,-1629.997751
5525.315102,2283.855385,-1666.742873
5525.706053,2336.626794,-1702.950664
5526.67363,2388.336905,-1738.923564
5528.509645,2439.555461,-1775.558513
5530.815795,2491.498042,-1812.876147
5532.844137,2542.986119,-1849.122997
5534.872471,2594.550104,-1885.262016
5537.574827,2646.661402,-1922.316003
5540.284388,2697.899571,-1958.870506
5541.909437,2750.195035,-1995.726681
5543.043161,2802.325376,-2032.835411
5544.026087,2854.207477,-2070.295271
5544.509891,2905.131775,-2107.382286
5544.906431,2956.494222,-2145.562186
5545.64364,3007.593224,-2184.089017
5546.754135,3057.796682,-2222.133405
5546.611199,3108.333311,-2259.740576
5545.237365,3159.791151,-2297.768775
5544.008728,3210.964875,-2336.184111
5542.975524,3261.834219,-2375.006393
5542.101404,3311.592314,-2413.637513
5540.967599,3362.701328,-2452.137004
5540.03493,3414.284702,-2490.008
5539.894256,3463.981304,-2527.077702
5539.352493,3515.651651,-2564.832507
5538.192521,3566.871342,-2601.495456
5534.380448,3618.307011,-2637.634247
5527.762715,3670.57512,-2673.968385
5521.189542,3722.502769,-2710.796462
5514.817483,3773.385418,-2747.39312
5508.638874,3824.825615,-2784.96592
5502.215673,3875.902875,-2822.988902
5495.799887,3925.770011,-2860.950134
5489.816313,3975.378193,-2899.319422
5483.687667,4025.376152,-2938.798191
5477.271904,4074.331985,-2977.928122
5470.615491,4123.114162,-3017.234147
5463.853297,4172.136155,-3057.817558
5457.049314,4219.871244,-3098.364246
5449.880128,4266.373652,-3138.738029
5442.041694,4314.037622,-3180.722517
5434.677683,4357.954854,-3219.427144
