TVD,Northing,Easting
0,0,0
14.19999885,-0.004615618,-0.001806976
28.39999214,-0.017308041,-0.006777598
42.59997434,-0.038075203,-0.014917089
56.7999375,-0.06806942,-0.026681218
70.9998747,-0.107288465,-0.042075617
85.19978365,-0.15457739,-0.060651151
99.39965879,-0.209934116,-0.082413044
113.5994889,-0.274510458,-0.107818263
127.7992603,-0.350586492,-0.134089782
141.998857,-0.454504175,-0.156536793
155.5682874,-0.577731547,-0.172885642
169.1376392,-0.709812787,-0.184623779
182.7069075,-0.850527062,-0.191761984
196.2860864,-0.999804165,-0.194239383
209.8551724,-1.157268967,-0.192085671
223.4241595,-1.322900301,-0.185285141
236.9930275,-1.497770293,-0.173814444
250.5618649,-1.674975712,-0.161697748
264.1307485,-1.848818858,-0.15288068
277.6996621,-2.02042631,-0.147311738
291.2786195,-2.188679959,-0.145042162
304.8476212,-2.353268755,-0.146093058
318.4166515,-2.515433708,-0.150454649
331.9857237,-2.673920761,-0.158083053
345.554782,-2.833602703,-0.165427881
359.1237693,-2.999338412,-0.168928902
372.6926978,-3.16984817,-0.168544921
386.2715652,-3.345173507,-0.164296059
399.8403556,-3.526160274,-0.156168733
413.4090658,-3.712865467,-0.144170849
426.9777097,-3.904040559,-0.128365058
439.6464282,-4.083745305,-0.11517978
452.305179,-4.261462262,-0.10870467
464.9739596,-4.437224951,-0.108959534
477.6427708,-4.610633062,-0.115978193
490.301613,-4.781281264,-0.129745739
502.9704839,-4.949159588,-0.150246254
516.5393064,-5.125360887,-0.180301169
530.1081598,-5.297371111,-0.219300418
543.6770286,-5.465825147,-0.267412984
557.2558966,-5.631451158,-0.324895657
570.8247654,-5.793467485,-0.391541682
584.3939491,-5.927899024,-0.453455374
597.9636916,-5.998127192,-0.492157808
611.5336543,-6.019001879,-0.515278117
625.1036383,-6.018682717,-0.535241619
638.6736094,-5.997534226,-0.552546
652.2535342,-5.955305284,-0.567426012
665.8233768,-5.891448163,-0.579797499
679.393108,-5.806780658,-0.589525569
692.9626974,-5.701640087,-0.596533414
706.3921861,-5.584516846,-0.600099368
719.8216223,-5.461478702,-0.59949256
733.2510035,-5.332665032,-0.594733155
746.6703277,-5.198300206,-0.585782434
760.0995913,-5.058290329,-0.572652583
773.5287922,-4.912832984,-0.555329885
786.957928,-4.762008731,-0.533851606
800.527014,-4.606367202,-0.50975556
814.0960582,-4.447276025,-0.484725815
827.6650599,-4.28473611,-0.458762515
841.2440319,-4.119793964,-0.432046459
854.8129604,-3.951524305,-0.404428417
868.3818438,-3.779805908,-0.375891686
881.9506967,-3.605807188,-0.34663263
895.3795765,-3.434935428,-0.316853506
908.8085307,-3.270145342,-0.286360562
922.2375568,-3.111456724,-0.255154554
935.6566392,-2.957852563,-0.22305161
949.085775,-2.80912877,-0.190000725
962.5149758,-2.666568947,-0.156287138
975.9442394,-2.530202498,-0.121913411
989.5135676,-2.399442704,-0.088358994
1003.082987,-2.277621387,-0.058100551
1016.65249,-2.164743913,-0.031153892
1030.232071,-2.060742347,-0.007515559
1043.801723,-1.965785495,0.012780339
1057.37144,-1.879815929,0.029743991
1070.941215,-1.802857769,0.043353665
1084.371031,-1.733229983,0.053015333
1097.800865,-1.666681912,0.05852044
1111.23071,-1.602270836,0.059951673
1124.650567,-1.540298177,0.057237521
1138.080434,-1.480967413,0.050348662
1151.510311,-1.424656141,0.039323558
1164.940198,-1.371716768,0.024290799
1178.510064,-1.314787982,0.004154705
1192.079871,-1.24742907,-0.021922889
1205.64961,-1.16969124,-0.053943992
1219.22927,-1.081541452,-0.091935213
1232.79902,-1.00816834,-0.127652703
1246.368931,-0.968009096,-0.154549445
1259.938868,-0.935857642,-0.180679496
1273.368794,-0.900788124,-0.208128644
1286.798738,-0.870680157,-0.232402209
1300.228698,-0.845544836,-0.253495917
1313.648668,-0.824515461,-0.272138516
1327.078648,-0.807618926,-0.288373992
1340.508636,-0.795726742,-0.301300176
1353.938631,-0.788914883,-0.310784617
1367.508617,-0.783056327,-0.328669131
1381.078563,-0.775012647,-0.365685241
1394.64853,-0.772911055,-0.392998018
1408.228518,-0.776503641,-0.410051261
1421.79847,-0.777695282,-0.445525601
1435.36836,-0.776599686,-0.499979031
1448.938167,-0.773253212,-0.572134156
1462.367923,-0.770841872,-0.65293973
1475.797666,-0.772423313,-0.736111574
1489.227393,-0.778036586,-0.821459585
1502.647106,-0.787682586,-0.908740684
1516.076803,-0.801353541,-0.99792257
1529.506484,-0.819015105,-1.08879093
1542.936148,-0.840621013,-1.181213584
1556.505817,-0.861817382,-1.273522963
1570.075511,-0.877980557,-1.363233903
1583.645228,-0.889083433,-1.450126428
1597.224968,-0.895014165,-1.53402094
1610.794729,-0.895826647,-1.614502003
1624.364511,-0.891499238,-1.691307911
1637.934306,-0.882036906,-1.765259265
1651.504114,-0.869444498,-1.836385152
1665.073934,-0.855726716,-1.90488829
1678.643766,-0.840896807,-1.970733268
1692.22361,-0.824963027,-2.033928905
1705.793464,-0.807970747,-2.094341157
1719.36333,-0.789934534,-2.151972188
1732.933201,-0.770484332,-2.207888398
1746.363083,-0.75304858,-2.261333032
1759.792984,-0.741023748,-2.311429425
1773.222898,-0.734261537,-2.358941392
1786.642825,-0.732703529,-2.403342131
1800.072762,-0.736361721,-2.444109879
1813.502703,-0.745376638,-2.482818571
1826.932648,-0.759483758,-2.518709404
1840.502595,-0.775126337,-2.553209282
1854.072545,-0.788380969,-2.587425724
1867.642502,-0.798767557,-2.620140343
1881.222461,-0.806607441,-2.652361937
1894.792424,-0.811922202,-2.683867539
1908.362389,-0.81461687,-2.714513714
1921.932354,-0.814775253,-2.74527506
1935.502313,-0.811329441,-2.778188171
1949.072257,-0.803147603,-2.816361405
1962.642178,-0.790076299,-2.86063107
1976.222078,-0.772508452,-2.909708396
1989.791954,-0.750528228,-2.963398088
2003.361798,-0.723761171,-3.022765908
2016.931605,-0.692214976,-3.087743138
2030.36134,-0.660493183,-3.165715428
2043.790943,-0.632756305,-3.264931297
2057.220389,-0.609308687,-3.384470846
2070.639653,-0.590192021,-3.523652813
2084.068692,-0.575241817,-3.683485073
2097.497462,-0.564389619,-3.864793104
2110.925948,-0.557714222,-4.066242403
2124.354179,-0.55713997,-4.284185036
2137.782174,-0.564562531,-4.516077595
2151.209919,-0.580008976,-4.761670036
2164.6274,-0.603456515,-5.020559895
2178.0546,-0.634912188,-5.292957231
2191.481505,-0.674332887,-5.578520124
2204.908101,-0.72169493,-5.877120912
2218.474417,-0.771226799,-6.189357403
2232.040567,-0.815731363,-6.509520643
2245.606516,-0.854853104,-6.838732828
2259.182257,-0.888506877,-7.177130675
2272.747791,-0.916808976,-7.524084367
2286.313474,-0.942475038,-7.865318991
2299.880812,-0.974473779,-8.129401593
2313.449715,-1.01145048,-8.297000245
2327.018996,-1.044946342,-8.432651846
2340.588324,-1.074396756,-8.564388371
2354.167698,-1.099777006,-8.692240048
2367.737118,-1.121010092,-8.815943556
2381.30658,-1.138082598,-8.935505225
2394.876318,-1.146403708,-9.016723588
2408.446251,-1.144436461,-8.996668682
2422.016019,-1.134271768,-8.918166323
2435.585852,-1.115279225,-8.853692415
2449.165729,-1.087572235,-8.803148533
2462.735626,-1.050721875,-8.765448617
2476.305523,-1.004309775,-8.740513877
2489.875405,-0.949185004,-8.72879058
2503.445268,-0.888651949,-8.733995014
2517.015095,-0.825551813,-8.75956245
2530.584857,-0.760033646,-8.805731173
2544.164518,-0.691755401,-8.872879313
2557.734052,-0.621352266,-8.96044599
2571.303426,-0.548795224,-9.068521028
2584.872605,-0.473812171,-9.197448987
2598.301617,-0.400038297,-9.342612254
