TVD,Northing,Easting
0.00,0.00,0.00
149.00,0.27,0.28
244.00,0.52,0.64
340.00,0.73,0.87
419.00,1.02,1.04
609.99,1.85,1.27
799.99,2.75,0.72
990.99,3.77,-0.26
1180.98,4.41,-1.35
1276.98,4.41,-1.83
1466.98,3.96,-2.59
1656.98,4.09,-3.56
1846.97,4.75,-5.17
2036.95,5.17,-7.50
2226.94,5.73,-9.95
2417.92,6.51,-12.07
2607.91,7.59,-14.04
2798.89,8.93,-16.09
2989.87,10.54,-18.40
3179.85,11.72,-20.74
3370.84,12.28,-23.19
3559.82,12.33,-25.49
3750.81,11.69,-27.59
3940.79,11.16,-30.12
4130.78,9.99,-31.82
4320.77,8.25,-32.09
4510.77,7.88,-32.36
4701.77,8.87,-32.53
4891.76,9.72,-32.83
5081.76,10.37,-34.11
5271.75,11.16,-35.64
5461.74,12.15,-37.09
5634.73,13.56,-38.78
5699.72,14.21,-39.52
5790.71,15.09,-40.61
5886.70,15.79,-42.06
6076.68,16.38,-44.44
6171.68,16.61,-45.10
6266.67,17.04,-45.91
6457.65,19.26,-47.63
6552.64,20.91,-48.22
6647.63,22.01,-48.75
6679.62,22.33,-49.48
6711.55,22.90,-51.33
6743.40,23.77,-54.38
6775.09,25.01,-58.60
6805.60,26.65,-63.84
6836.78,28.92,-70.66
6867.48,31.86,-79.15
6896.60,35.43,-89.16
6925.81,40.03,-101.37
6954.05,45.82,-115.25
6981.22,53.11,-130.47
7006.43,61.60,-146.39
7031.18,71.60,-164.03
7054.53,82.60,-182.92
7076.38,94.38,-203.11
7095.95,106.38,-223.94
7114.38,119.20,-246.73
7130.85,132.34,-270.81
7144.69,145.39,-295.27
7156.69,159.29,-321.47
7166.25,173.78,-348.34
7173.40,188.84,-375.64
7178.80,203.79,-402.26
7181.29,211.58,-416.01
7191.24,260.48,-497.97
7195.76,310.94,-577.14
7195.37,367.85,-651.81
7192.99,432.64,-721.22
7193.83,502.42,-785.61
7196.36,575.37,-844.83
7198.41,646.74,-907.43
7197.65,714.02,-973.07
7196.51,780.98,-1039.03
7195.58,848.71,-1105.64
7194.54,915.69,-1171.58
7191.72,983.09,-1237.02
7186.68,1050.94,-1301.88
7182.77,1119.11,-1367.93
7179.26,1186.39,-1433.48
7177.60,1255.76,-1499.81
7179.50,1323.66,-1564.78
7181.18,1390.38,-1630.96
7182.16,1456.24,-1698.02
7181.90,1521.94,-1766.63
7181.19,1585.53,-1837.19
7179.97,1649.14,-1907.72
7177.34,1713.84,-1977.23
7176.08,1778.07,-2047.21
7173.52,1843.61,-2115.92
7169.60,1909.10,-2183.24
7166.74,1973.47,-2251.68
7164.44,2038.22,-2321.16
7162.00,2103.66,-2388.58
7159.66,2170.01,-2455.13
7158.04,2236.58,-2522.88
7156.93,2301.89,-2590.48
7155.88,2369.20,-2657.49
7155.06,2437.31,-2722.27
7154.79,2505.41,-2787.07
7155.10,2574.16,-2852.62
7155.81,2642.91,-2918.18
7154.90,2711.10,-2982.87
7152.51,2779.99,-3048.24
7150.74,2848.37,-3112.72
7149.73,2917.55,-3177.82
7148.96,2984.83,-3243.45
7148.31,3051.65,-3310.98
7148.16,3117.70,-3377.87
7147.43,3183.71,-3443.36
7146.69,3249.98,-3510.02
7146.63,3314.91,-3577.99
7146.94,3380.26,-3646.94
7148.44,3444.05,-3715.96
7148.56,3508.48,-3784.39
7146.44,3574.93,-3852.24
7144.46,3641.55,-3919.94
7142.88,3707.61,-3986.80
7141.91,3773.41,-4053.92
7141.76,3839.62,-4122.05
7140.48,3904.80,-4189.76
7138.76,3969.83,-4258.99
7135.60,4035.78,-4327.27
7130.63,4102.54,-4393.25
7127.16,4169.27,-4459.37
7125.03,4235.92,-4525.61
7124.44,4302.37,-4592.10
7125.37,4368.12,-4659.27
7125.26,4434.13,-4726.18
7124.79,4500.04,-4793.19
7122.59,4566.21,-4861.30
7118.37,4631.62,-4928.68
7115.56,4696.26,-4996.86
7114.02,4760.43,-5066.89
7114.02,4822.84,-5137.19
7115.71,4885.44,-5208.62
7116.49,4949.04,-5277.81
7114.61,5013.90,-5344.43
7111.96,5078.67,-5412.50
7110.19,5112.37,-5449.39
7107.48,5153.21,-5494.62
