TVD,Northing,Easting
0,0,0
88.36,-0.18,0.01
182.3,-0.48,-0.15
276.24,-0.74,-0.5
370.18,-0.98,-0.96
464.11,-1.04,-1.52
558.05,-0.8,-2.12
651.99,-0.37,-2.81
745.92,0.14,-3.61
839.86,0.62,-4.3
933.8,0.99,-4.88
1027.74,1.37,-5.41
1121.67,1.83,-6.13
1215.6,2.36,-7.36
1309.53,2.88,-8.93
1403.46,3.45,-10.33
1497.39,4.22,-11.39
1591.32,5.04,-12.13
1685.25,5.91,-12.55
1779.19,6.68,-12.65
1873.13,7.11,-12.48
1967.07,7.32,-12.02
2061,7.23,-11.21
2154.94,6.87,-10.66
2248.88,6.55,-10.74
2342.82,6.33,-11.17
2436.76,6.6,-11.52
2530.69,7.45,-11.66
2624.63,8.46,-11.75
2718.56,9.51,-11.87
2812.5,10.56,-12.02
2906.43,11.5,-12.17
3000.37,12.19,-12.64
3094.3,12.82,-13.26
3188.24,13.8,-13.77
3282.17,14.76,-14.35
3376.11,15.55,-14.98
3470.04,16.3,-15.65
3563.98,16.83,-16.43
3657.91,17.22,-17.31
3751.85,17.49,-18.27
3845.78,17.73,-19.36
3939.71,18.13,-20.69
4033.64,18.58,-21.96
4127.57,18.99,-22.9
4221.51,19.4,-23.6
4315.44,20.05,-24.44
4409.37,21.03,-25.66
4503.29,22.31,-27.21
4597.2,23.93,-28.92
4691.11,25.68,-30.58
4785.02,27.42,-32.29
4878.92,29.36,-33.92
4972.83,31.42,-35.55
5066.73,33.48,-37.09
5160.64,35.53,-38.29
5254.55,37.66,-39.18
5348.45,40.17,-39.9
5387.44,41.16,-40.09
5398.44,41.49,-40.09
5430.4,43.02,-40.18
5462.37,42.76,-39.96
5494.03,38.41,-38.79
5523.93,30.51,-36.89
5553.53,18.66,-34.46
5580.59,3.8,-31.84
5605.62,-14.26,-29.2
5628.19,-35.36,-26.92
5648.54,-59.96,-25.04
5663.95,-84.46,-23.65
5676.93,-112.57,-22.51
5687.62,-142.71,-21.67
5696.74,-172.33,-21.05
5705.26,-203.17,-20.53
5712.61,-233.28,-20.01
5718.68,-261.63,-19.53
5724.26,-292.12,-18.96
5728.88,-322.77,-18.32
5732.71,-354.52,-17.46
5735.39,-385.39,-16.39
5736.77,-416.34,-15.37
5737.34,-445.32,-14.5
5739.26,-539.26,-11.97
5740.71,-632.23,-10.27
5741.96,-727.22,-9.1
5743.25,-822.21,-8.8
5743.69,-915.2,-9.72
5744.2,-1009.19,-10.76
5747.76,-1104.11,-11.43
5754.47,-1197.86,-12.52
5760.14,-1291.68,-13.45
5763.73,-1383.61,-14.25
5768.22,-1477.48,-13.34
5774.6,-1572.23,-10.46
5780.47,-1665.97,-6.77
5784.03,-1759.75,-1.63
5786.92,-1851.54,3.89
5790.91,-1946.27,9.79
5795.43,-2039.98,15.69
5799.29,-2133.78,20.31
5802.09,-2228.7,22.96
5804.94,-2323.65,24.62
5807.94,-2414.59,25.84
5811.79,-2509.5,26.9
5814.92,-2604.43,28.53
5816.6,-2699.39,31.06
5818.09,-2791.35,33.24
5819.76,-2885.32,34.67
5821.92,-2976.29,35.62
5823.88,-3071.23,38.13
5825.39,-3166.12,42.51
5825.53,-3259.96,47.9
5823.72,-3352.77,53.51
5821.49,-3446.61,58.53
5818.78,-3540.44,63.43
5815.99,-3634.31,67.43
5813.31,-3728.22,70.49
5810.19,-3821.11,73.76
5806.3,-3914.96,77.36
5801.72,-4010.79,80.95
5798.67,-4070.67,83.05
5795.65,-4128.56,85.03
