TVD,Northing,Easting
1559.93,3.51 ,-8.55 
1623.925996,3.18 ,-9.18 
1718.921952,2.95 ,-10.03 
1813.91789,2.82 ,-10.89 
1908.916638,2.62 ,-11.17 
2004.91527,2.26 ,-10.81 
2099.914518,1.97 ,-10.61 
2194.91072,1.92 ,-9.87 
2290.902573,1.79 ,-8.64 
2385.895543,1.21 ,-7.66 
2480.889974,0.48 ,-6.96 
2575.88253,-0.33 ,-6.13 
2670.868928,-1.29 ,-4.84 
2765.856671,-2.30 ,-3.70 
2860.845518,-3.47 ,-2.84 
2956.831015,-4.25 ,-1.44 
3050.813697,-4.64 ,0.31 
3146.802363,-5.18 ,1.69 
3241.79342,-5.59 ,2.92 
3336.787041,-5.77 ,4.00 
3431.784243,-5.95 ,4.70 
3526.783678,-6.14 ,4.83 
3622.782638,-6.43 ,4.51 
3717.779973,-7.10 ,4.30 
3812.777028,-7.76 ,4.56 
3908.774881,-8.28 ,4.92 
4003.770758,-9.14 ,5.06 
4098.76439,-9.70 ,5.86 
4193.753189,-9.63 ,7.32 
4289.744053,-9.62 ,8.64 
4384.737743,-9.70 ,9.73 
4479.73144,-9.82 ,10.81 
4574.725968,-10.07 ,11.80 
4670.722529,-10.30 ,12.58 
4765.719126,-10.42 ,13.37 
4860.715183,-10.67 ,14.19 
4956.709695,-11.32 ,14.98 
5051.699592,-12.42 ,15.81 
5147.690427,-13.62 ,16.31 
5242.684489,-14.65 ,16.14 
5337.676589,-15.65 ,15.43 
5432.67063,-15.97 ,14.48 
5496.666382,-15.73 ,13.78 
5586.664696,-15.66 ,13.52 
5618.661344,-15.82 ,13.92 
5650.59144,-17.00 ,15.51 
5681.176826,-20.32 ,19.17 
5711.903088,-26.66 ,25.37 
5741.334075,-35.95 ,33.74 
5768.228948,-47.34 ,44.08 
5793.911182,-61.08 ,57.29 
5817.046645,-76.52 ,73.06 
5836.672643,-92.86 ,90.61 
5853.897236,-110.42 ,111.04 
5867.731736,-127.72 ,132.71 
5879.181262,-145.55 ,155.33 
5889.339729,-164.37 ,179.13 
5898.04503,-182.75 ,202.53 
5905.918962,-201.99 ,226.85 
5912.836638,-221.41 ,251.32 
5918.840937,-240.70 ,276.14 
5924.240835,-259.89 ,301.17 
5929.330629,-278.48 ,325.45 
5934.270275,-297.57 ,350.65 
5938.067105,-316.72 ,376.00 
5940.08628,-335.64 ,400.47 
5940.798302,-355.57 ,425.49 
5940.9491,-395.48 ,475.53 
5940.9491,-453.85 ,550.47 
5940.722906,-512.69 ,626.33 
5940.648293,-570.90 ,701.40 
5941.087679,-629.06 ,776.52 
5942.032753,-687.28 ,851.58 
5942.099775,-745.02 ,928.27 
5940.491529,-800.96 ,1005.04 
5940.198325,-857.68 ,1082.48 
5941.367233,-914.44 ,1158.65 
5941.657391,-971.67 ,1234.48 
5940.626969,-1029.50 ,1311.09 
5939.101616,-1086.59 ,1387.01 
5939.327801,-1143.88 ,1464.03 
5940.936124,-1200.99 ,1539.93 
5941.300893,-1259.32 ,1614.91 
5941.007677,-1318.22 ,1690.72 
5941.156904,-1375.72 ,1766.34 
5941.30614,-1433.87 ,1841.46 
5941.090592,-1493.22 ,1915.64 
5940.875044,-1552.63 ,1989.77 
5940.808024,-1612.44 ,2064.86 
5939.937506,-1672.48 ,2138.48 
5938.917801,-1732.92 ,2211.76 
5938.403797,-1793.20 ,2285.19 
5938.772444,-1853.21 ,2360.11 
5940.745384,-1911.19 ,2435.34 
5943.919336,-1968.42 ,2509.84 
5947.491625,-2026.40 ,2585.01 
5948.950581,-2084.33 ,2660.28 
5949.168397,-2142.50 ,2736.64 
5950.262695,-2200.22 ,2812.09 
5949.751667,-2259.80 ,2887.35 
5947.198559,-2319.72 ,2961.03 
5945.084703,-2379.27 ,3035.01 
5944.579006,-2438.47 ,3109.31 
5945.46703,-2497.69 ,3184.86 
5946.785149,-2555.90 ,3259.92 
5948.177879,-2613.95 ,3335.11 
5949.727667,-2672.13 ,3411.46 
5950.975891,-2729.89 ,3488.12 
5951.26605,-2786.78 ,3564.21 
5951.048233,-2844.24 ,3641.11 
5951.048233,-2900.99 ,3717.30 
5951.26605,-2958.18 ,3794.41 
5952.996723,-3013.96 ,3870.04 
5954.745808,-3070.35 ,3946.47 
5955.11442,-3127.45 ,4023.64 
5955.628457,-3185.01 ,4099.21 
5955.412908,-3243.24 ,4174.27 
5955.706117,-3301.93 ,4250.24 
5957.345447,-3358.59 ,4323.97 
5958.729961,-3416.95 ,4398.91 
5958.215983,-3476.50 ,4472.92 
5955.372869,-3536.26 ,4546.71 
5952.678905,-3595.71 ,4620.77 
5952.239532,-3654.73 ,4695.20 
5953.713937,-3713.83 ,4770.83 
5955.612294,-3771.98 ,4845.93 
5956.922125,-3830.01 ,4921.14 
5958.091037,-3887.40 ,4996.84 
5959.93401,-3945.53 ,5073.21 
5961.809056,-3993.25 ,5136.14 
5964.227972,-4042.23 ,5203.11 
5967.071122,-4097.36 ,5280.42 
5970.353386,-4152.28 ,5357.86 
5973.635693,-4207.68 ,5434.96 
5976.140846,-4265.94 ,5514.97 
