TVD,Northing,Easting
0.00,0.00,0.00
200.00,-0.59,0.66
399.99,-2.16,2.07
599.96,-4.57,3.75
799.94,-6.99,5.60
999.93,-8.07,7.34
1199.92,-8.02,8.78
1399.92,-7.71,9.66
1599.92,-7.56,9.88
1799.92,-7.68,9.64
1999.92,-8.15,9.14
2199.92,-9.09,8.30
2399.90,-10.32,6.46
2599.88,-12.62,4.51
2799.85,-15.57,2.86
2999.83,-17.61,0.86
3199.81,-18.78,-1.31
3399.80,-19.26,-3.92
3599.78,-18.97,-6.76
3799.76,-18.61,-9.63
3999.74,-18.68,-12.19
4199.73,-18.42,-14.40
4399.72,-16.96,-15.31
4599.69,-13.82,-14.67
4799.65,-9.83,-14.34
4999.61,-6.34,-16.07
5199.54,-2.72,-19.90
5399.45,-1.11,-25.52
5514.38,-2.40,-29.29
5548.36,-3.06,-30.38
5579.33,-3.68,-31.40
5619.29,-5.16,-30.99
5651.05,-7.31,-27.86
5681.34,-10.44,-22.14
5710.88,-14.87,-13.87
5738.51,-20.51,-3.66
5766.69,-28.12,9.41
5792.48,-36.96,24.15
5816.52,-47.01,40.92
5838.61,-58.21,59.54
5858.58,-70.91,79.54
5876.70,-85.58,101.45
5901.61,-112.34,141.13
5913.23,-127.64,164.17
5924.32,-143.90,189.40
5933.07,-159.47,214.72
5940.18,-174.32,239.80
5946.99,-189.23,264.93
5954.11,-204.67,290.85
5960.23,-219.54,316.17
5964.71,-235.35,343.62
5967.78,-250.49,370.50
5970.80,-266.07,398.28
5972.96,-281.33,425.18
5973.32,-296.77,452.05
5971.40,-343.51,533.58
5969.57,-389.79,615.38
5969.07,-438.42,696.98
5970.93,-490.39,775.26
5974.29,-543.86,851.28
5980.38,-599.01,927.15
5986.82,-655.22,1002.21
5991.56,-708.48,1073.35
5997.84,-764.80,1148.35
6005.12,-820.57,1223.66
6014.65,-875.14,1299.60
6024.78,-927.06,1373.63
6039.85,-981.01,1450.29
6054.69,-1031.70,1524.33
6059.48,-1081.60,1601.42
6062.05,-1132.89,1680.13
6068.57,-1185.09,1759.23
6072.25,-1236.21,1839.19
6072.73,-1285.62,1917.98
6073.54,-1336.45,1998.23
6073.98,-1364.88,2042.95
6074.47,-1389.00,2080.94
