TVD,Northing,Easting
0,0,0
99.99512416,-0.097403475,-0.849625393
199.9795012,-0.144935741,-2.614120056
299.965798,-0.204958852,-4.262563773
399.9550695,-0.494606124,-5.697741852
499.9459079,-0.850283977,-7.002538554
599.9383046,-1.051253669,-8.216046332
699.9293072,-0.779337092,-9.51559598
799.9179329,-0.109223809,-10.86596049
899.9087465,0.590927254,-12.02228617
931.9063921,0.801129743,-12.34856544
973.9027605,1.049422605,-12.84073036
1068.894924,1.82843125,-13.74644751
1163.883071,2.997020835,-14.66546879
1354.871342,4.598773807,-15.38175383
1449.865826,5.471286914,-14.95839629
1639.838001,8.418891586,-13.64839133
1734.832529,9.035346508,-13.08017851
1829.830624,9.372743008,-13.3401935
1924.82754,9.999699635,-13.69623499
2019.827099,10.2863945,-13.73295899
2114.826951,10.33786971,-13.8122083
2304.824541,11.03082467,-14.07168641
2399.819179,11.99971697,-14.33487139
2494.817114,12.46779723,-14.52910212
2589.816802,12.27261884,-14.64354573
2684.81517,12.30558033,-15.1523195
2779.806129,12.89352732,-16.29312374
2875.797839,13.48276854,-17.36482511
2970.796631,13.32692649,-17.68906438
3065.795786,12.95542134,-17.70364235
3160.794861,12.92821164,-17.33955877
3255.788619,13.00001227,-16.27262804
3350.777154,13.0881005,-14.79964427
3445.768088,13.53762902,-13.59816045
3540.760996,14.47086564,-12.92191475
3635.755377,15.31892393,-12.34756837
3730.746485,16.47445074,-11.84340168
3826.738139,17.12629467,-10.99080456
3921.729426,17.00222289,-9.720031449
4016.723087,17.32296572,-8.679247468
4111.71356,18.33789368,-7.847480487
4206.697893,19.63373481,-6.734019854
4301.67551,21.10972684,-5.313674261
4396.664214,21.70241663,-4.213231618
4491.658207,20.85258878,-3.58068059
4586.65653,20.65137895,-3.359099864
4681.649537,21.59137413,-3.911348317
4776.638835,22.6433452,-4.860617348
4871.636606,22.76938693,-5.316610942
4966.634651,22.39318621,-4.944474862
5061.629167,22.27364286,-3.935146812
5156.621962,22.37824303,-2.773470832
5251.611408,23.24847286,-1.714254088
5356.569764,26.05045746,-1.107394551
5387.558504,26.8571632,-1.057445721
5419.533529,25.95131574,-0.698239402
5450.325178,22.56826187,0.260820247
5481.777735,16.90726819,1.798841286
5511.807972,9.462698489,3.634536303
5541.200984,-0.152368597,5.667376478
5570.652826,-12.45641061,7.816874046
5598.081795,-26.71803905,9.980104238
5624.219812,-43.17783163,12.4993108
5649.663903,-62.29650565,15.72798386
5672.584194,-82.76556347,19.73082827
5694.215621,-105.7097672,25.10162813
5712.982238,-129.5306271,31.47921037
5729.864773,-155.7729917,38.51415827
5744.206192,-183.4764796,45.60066891
5755.712808,-211.3279438,52.83446451
5765.025771,-240.8863992,60.76707053
5771.630921,-270.1627278,68.50037914
5776.247266,-300.9694551,75.7912517
5779.11879,-331.2070035,81.97820004
5780.868796,-362.6448478,87.67406981
5783.17737,-424.6543586,98.55780389
5784.990068,-517.0030313,115.9741299
5785.76935,-609.1409657,134.5691032
5785.933408,-701.0420123,154.304553
5785.547867,-792.7040577,175.1296729
5786.385177,-885.1709099,196.902712
5788.615052,-977.4370352,219.4117253
5790.29658,-1068.850884,241.2230425
5791.814044,-1160.387903,262.5327037
5792.43742,-1251.907383,283.9393814
5791.674727,-1344.44797,305.3976567
5792.412992,-1435.875258,327.2208407
5792.530279,-1529.394218,348.8801528
5791.956073,-1621.158118,369.2489362
5792.793382,-1713.740713,390.5211848
5793.282498,-1806.216097,412.2621812
5793.331716,-1897.610123,434.2376879
5794.906798,-1989.725443,457.4095593
5796.18374,-2082.304189,478.6209907
5796.667717,-2174.462763,497.1281072
5798.0853,-2267.613517,515.7245655
5800.152305,-2359.746333,534.2515965
5801.17197,-2452.891843,552.889224
5801.360639,-2545.120274,571.0505977
5802.968334,-2637.254986,589.6030391
5803.887012,-2729.387382,608.1968596
5804.376135,-2822.413271,627.4361394
5804.301527,-2915.273925,647.4539544
5802.925387,-3008.06685,667.7624688
5802.966839,-3100.631648,689.124225
5804.828793,-3191.908002,711.5015115
5806.715645,-3283.539032,732.344356
5808.274142,-3375.597452,751.283084
5811.473558,-3468.487517,770.9256951
5814.089914,-3560.45916,790.147674
5815.507503,-3653.580921,808.8904948
5815.392667,-3745.821067,826.9622246
5814.031008,-3838.047249,845.0813967
5814.326322,-3929.992316,864.6081152
5814.006409,-4021.929287,884.1583687
5812.36446,-4115.877106,903.8279292
5811.700022,-4207.704311,923.9082725
5812.703118,-4300.352147,944.8807669
5815.901653,-4391.733847,966.6675955
5818.065072,-4484.103672,988.7240338
5817.92562,-4575.61241,1010.220917
5818.414743,-4667.98905,1032.381522
5820.462291,-4760.148199,1055.342194
5822.69438,-4850.775614,1076.048369
5825.206024,-4943.857915,1094.867774
5827.112603,-5036.989269,1113.502549
5827.891883,-5129.16853,1131.896684
5829.105902,-5221.267085,1150.667824
5831.402514,-5313.190411,1170.173067
5832.844888,-5406.032073,1190.22913
5833.123791,-5497.857162,1210.325789
5834.892906,-5588.526388,1230.933596
5835.680445,-5681.265771,1251.484789
5835.100128,-5774.13893,1271.462906
5835.595189,-5864.916521,1291.662614
5837.891355,-5957.376186,1313.348618
5841.579668,-6049.494104,1336.273466
5845.156036,-6141.026056,1357.329356
5848.89564,-6233.104643,1375.86226
5851.216746,-6325.379124,1393.606222
5851.772196,-6418.71016,1411.325672
5852.833335,-6512.045806,1428.995391
5854.764745,-6603.481716,1445.867774
5857.629151,-6694.885009,1462.7836
5859.088093,-6788.327189,1479.81534
5859.317775,-6880.875008,1496.26729
5861.245338,-6973.324097,1513.151394
5864.98489,-7065.624426,1530.541649
5867.346981,-7157.762698,1548.953281
5868.446344,-7249.253646,1570.454139
5870.205698,-7342.541683,1593.022779
5869.810744,-7372.903704,1599.238848
5867.161586,-7434.825643,1610.536649
5863.514763,-7528.272371,1627.249348
5861.260036,-7621.810019,1643.692018
5860.513921,-7715.425781,1659.828612
5861.449034,-7808.071306,1675.689766
5864.350149,-7901.655425,1691.762034
5866.097179,-7994.179412,1708.21828
5865.219468,-8086.686079,1724.879543
5864.205804,-8181.220477,1741.557012
5862.580696,-8274.327864,1760.296461
5860.218151,-8366.765156,1782.079663
5858.913917,-8458.108298,1804.228509
5859.512727,-8549.350499,1826.808617
5859.947481,-8640.631702,1849.229375
5859.118981,-8732.172373,1870.573661
5858.725236,-8823.747364,1891.782766
5859.81122,-8916.173557,1913.708007
5861.804415,-9007.606968,1935.431486
5864.423786,-9100.047261,1957.172725
5866.579037,-9192.60372,1978.455831
5867.514174,-9284.241075,1999.376262
5869.950203,-9375.537033,2021.60612
5871.467603,-9466.84975,2043.823158
5870.862415,-9559.366114,2065.394949
5870.952648,-9650.781397,2087.282762
5872.101041,-9742.035129,2109.806616
5874.217243,-9833.201614,2132.613029
5877.087858,-9924.344785,2155.430538
5880.941771,-10016.43031,2178.458313
5886.186813,-10108.40838,2201.638376
5890.902002,-10200.5625,2224.213408
5894.482573,-10292.98287,2245.907442
5898.804055,-10384.34517,2267.588648
5901.473034,-10476.87412,2288.898872
5901.67811,-10568.7266,2308.875576
5902.132594,-10659.70279,2328.16339
5903.002104,-10751.71573,2347.369134
5904.278772,-10844.65168,2367.021575
5907.047283,-10937.51692,2386.845397
5911.696239,-11030.29917,2406.710773
5916.129865,-11123.10813,2426.497136
5919.983791,-11215.95535,2446.232412
5921.689776,-11308.044,2464.950881
5921.109454,-11401.22935,2483.418987
5921.54421,-11493.32386,2502.23953
5922.881312,-11585.58097,2520.197585
5924.538261,-11678.12077,2536.614806
5927.398017,-11771.55775,2553.519099
5931.998063,-11863.70947,2571.481493
5934.942239,-11956.01503,2588.938737
5935.199238,-12049.54671,2605.574005
5935.592983,-12142.15005,2621.710897
5936.077057,-12234.36186,2639.902476
5936.577447,-12325.97263,2660.951454
5937.996512,-12417.39295,2682.772986
5940.342341,-12508.69178,2705.020777
5943.831773,-12600.74171,2728.244463
5948.292581,-12691.76246,2751.293211
5951.127258,-12783.94321,2774.062882
5952.464308,-12875.27085,2796.27552
5955.367653,-12966.60087,2818.319947
5960.819457,-13057.7008,2840.822319
5964.615765,-13148.74019,2863.850472
5966.387497,-13239.72158,2887.405176
5967.306164,-13330.66533,2911.136573
5966.477667,-13421.65322,2934.726951
5966.067516,-13512.63545,2958.349756
5967.609564,-13603.45709,2982.515327
5972.021103,-13693.89183,3007.764853
5975.717639,-13785.54357,3032.450349
5977.374569,-13876.61282,3055.680539
5980.741824,-13966.36728,3079.771392
5984.399566,-14057.16215,3103.801893
5986.538287,-14149.30684,3126.818852
5989.294096,-14240.4189,3149.772234
5990.374701,-14333.68466,3172.447369
5988.980234,-14425.18909,3193.91796
5988.151217,-14517.56743,3216.061957
5988.714957,-14609.73046,3239.092019
5990.880437,-14700.47436,3263.508392
5995.040772,-14791.74565,3289.524785
6000.214325,-14882.06333,3315.056584
6003.330082,-14971.89582,3338.882847
6004.764249,-15063.98652,3362.168277
6004.350375,-15153.98207,3385.576747
6001.374627,-15245.58918,3410.560248
5998.799189,-15335.98212,3436.21569
5997.274567,-15410.87831,3457.946697
