TVD,Northing,Easting
1512.98,3.16,0.3
1602.973606,2.354040822,-0.393874507
1697.963523,1.30094315,-1.281563875
1792.960435,1.163234071,-1.558095805
1982.947474,3.167404168,-0.667556473
2172.927794,5.714299272,-1.32173662
2362.893363,7.473242653,-4.382641755
2552.875523,8.563429205,-6.389872771
2742.873673,9.341241822,-6.495533967
2933.870964,9.428470091,-7.441065232
3123.865421,8.815480621,-8.723847393
3314.853038,7.904557042,-10.63394091
3504.829095,6.949556878,-13.49191865
3695.821413,7.036324957,-14.60815905
3886.815971,8.400112389,-14.6638779
4076.805817,10.28419842,-15.0549412
4266.785614,13.03601026,-15.24585913
4456.774684,12.6998748,-15.26004139
4646.764654,11.40188221,-15.05923315
4836.761352,12.4820333,-14.81526038
5026.757303,13.68753376,-14.66269271
5215.755485,14.37568531,-14.60379688
5363.754227,13.99664183,-14.90355851
5483.752852,13.59338863,-15.24441586
5514.728604,14.22205906,-16.0876351
5546.422354,16.92609047,-19.37119672
5576.317477,22.21256955,-25.52617645
5604.898908,30.07573855,-34.52467722
5632.576958,40.59864259,-46.59776346
5658.000558,53.1900955,-61.35445605
5680.997178,67.25022014,-78.57167702
5687.016136,71.29812279,-83.89830908
5706.603079,85.97531484,-104.4840828
5723.440601,101.7050858,-126.6722105
5738.160074,118.3992315,-149.6578332
5751.75201,134.8191064,-172.1663721
5765.305072,151.020512,-194.8556999
5777.996697,167.3971842,-217.9108085
5789.596051,184.8987498,-242.0540162
5799.613864,203.1375317,-266.3589604
5808.619328,221.9621336,-290.6181191
5816.814903,240.4319172,-314.1269612
5824.401566,259.8072581,-338.4357032
5830.544364,278.9423236,-362.0356935
5835.913931,298.861035,-386.4976144
5840.607811,318.8022713,-411.0793091
5843.990396,338.2240916,-434.9988019
5846.007918,358.5151851,-459.6574242
5847.068162,378.3280651,-483.4755752
5849.053146,438.3963945,-555.7512235
5848.961953,498.1131245,-629.6269397
5847.221083,556.8324861,-704.2861474
5846.367981,614.3902716,-778.5963383
5846.61669,672.1434094,-854.0251122
5847.869228,705.7097622,-897.5727033
5849.449246,722.7891237,-919.7026294
5854.694099,780.5896287,-994.9072785
5859.169156,838.3964577,-1070.160942
5864.811638,896.6953932,-1144.955174
5869.54352,954.7410173,-1220.004453
5873.447151,1011.792163,-1295.865225
5878.029925,1068.91106,-1371.637108
5881.303856,1126.831046,-1446.860695
5882.646845,1185.58674,-1521.499024
5883.426144,1245.253365,-1595.418259
5884.296622,1305.939747,-1668.502403
5885.855127,1366.989824,-1741.271944
5888.496165,1426.946376,-1813.618149
5890.875235,1486.575906,-1887.53133
5891.571615,1546.016939,-1961.633018
5890.289893,1607.033559,-2035.731335
5888.35837,1667.537078,-2108.945672
5887.645407,1727.158892,-2182.901844
5887.670278,1786.498639,-2257.08929
5888.260898,1844.910558,-2330.73394
5890.034905,1903.563771,-2405.443145
5893.067072,1962.835281,-2480.899184
5895.555002,2021.167618,-2557.098716
5897.088907,2077.224977,-2632.538738
5898.621944,2134.529099,-2709.544249
5899.023885,2190.99988,-2784.687949
5897.780383,2248.312422,-2860.441254
5895.542209,2305.746492,-2936.08043
5894.638617,2363.54684,-3011.461657
5895.160905,2421.896396,-3086.428453
5893.602488,2480.137166,-3161.457716
5888.076425,2538.050384,-3236.551196
5880.027922,2595.988632,-3311.406526
5871.745397,2653.377804,-3385.392201
5869.062136,2672.838002,-3410.65271
5864.712606,2705.544653,-3453.400301
