TVD,Northing,Easting
5364.12,-31.15,-62.57
5407.093567,-31.93592002,-63.85599889
5438.070004,-31.16057215,-63.9688721
5469.776289,-27.41036258,-62.119557
5500.745435,-20.6017876,-57.96704117
5529.577535,-11.02502663,-51.89983953
5557.770405,2.025930064,-44.30590955
5583.252284,17.71284617,-36.27426374
5606.51471,36.29859039,-27.71602395
5627.857497,58.2829727,-18.55529785
5645.583367,82.03405488,-9.533539318
5660.064543,107.9157799,-0.578094794
5671.657271,136.3491676,8.370154286
5680.247072,163.886994,16.5973985
5687.76095,191.6716992,25.05293565
5694.70824,221.4861888,34.36198232
5700.282822,250.5865786,43.47318115
5704.893635,280.7528652,53.09514209
5708.279151,310.0448571,62.65803301
5710.611468,340.3051572,72.79209502
5711.64193,369.6430997,82.7481008
5711.836704,399.0012737,92.69957626
5711.60772,429.2778407,103.0567057
5710.861069,516.4408406,132.4834584
5711.317028,606.5868309,162.4535598
5713.072412,695.9794036,191.4645365
5714.930581,816.0235959,229.6947841
5714.930581,876.0673927,248.7648693
5713.09323,965.5144758,277.5949678
5711.012113,1051.109137,305.3236728
5709.702285,1141.643607,334.0776849
5709.843215,1232.041178,363.2752949
5711.211092,1322.51611,392.2104134
5712.098143,1413.265868,420.2934726
5712.771756,1501.995175,448.1420728
5713.318913,1592.430671,477.229977
5713.409147,1681.943164,505.9262164
5712.56425,1771.433828,534.6757397
5711.111574,1859.762522,563.7423672
5710.224528,1949.822495,593.9634358
5709.883664,2037.852266,623.9569335
5709.336507,2127.642527,654.9794128
5710.253528,2215.479322,685.5072542
5713.411089,2304.156832,716.5269093
5715.172058,2392.228758,746.3200438
5714.3118,2480.774374,774.7404367
5713.142895,2571.244638,803.7002155
5712.834496,2659.791781,832.129589
5713.572758,2749.403121,860.5043546
5715.28878,2840.178052,888.4651002
5718.115344,2931.217254,915.4581657
5720.798154,2990.793015,932.4120106
5724.448812,3062.983124,952.4185317
5724.448812,3062.983124,952.4185317
