TVD,Northing,Easting
8198.74,78.27,-86.66
8216.738447,78.14939812,-86.59914481
8248.686758,76.50933072,-86.02011495
8280.461128,72.89414843,-85.06372571
8311.899607,67.08456023,-83.8630626
8341.862258,59.28363251,-82.46720233
8372.097189,48.99029781,-80.61913539
8401.480156,36.5689714,-78.19077266
8429.854514,22.20050236,-74.74068823
8456.925353,5.749148707,-70.28485002
8482.309869,-13.0701273,-65.3180937
8505.67889,-34.2139466,-59.84162484
8526.143315,-56.76714128,-54.11406565
8544.773908,-82.1321346,-48.41112458
8560.109778,-108.550565,-43.21694874
8572.943423,-137.3737077,-37.96552989
8582.168608,-165.5465899,-33.44408914
8589.139331,-196.5113302,-29.46924635
8601.716078,-297.2525979,-20.14413363
8603.062341,-360.0433794,-15.56072652
8600.806731,-453.7890693,-9.038295685
8600.093769,-548.6144615,-3.371471549
8600.487516,-642.5089403,1.056481853
8602.029474,-737.3587101,6.101873744
8605.441158,-831.1249964,11.7548476
8607.430487,-925.9464852,17.05614906
8608.027384,-1020.829813,21.68015558
8609.569443,-1115.652489,27.2057152
8610.42337,-1210.291095,35.40238369
8610.166368,-1304.76237,45.39839406
8610.025432,-1399.21729,55.55107113
8610.622336,-1493.668185,65.72832644
8611.568989,-1589.082741,76.27062307
8612.044772,-1682.445417,87.17216964
8611.98674,-1776.678448,99.21862522
8612.123245,-1868.133404,109.1538171
8613.738148,-1960.760923,117.2739573
8616.531596,-2055.317306,126.0041047
8617.072955,-2148.899812,134.7595934
8616.675029,-2243.515672,143.2620922
8617.271934,-2338.090156,152.2186701
8617.502324,-2447.431125,164.2224306
8618.182992,-2524.813858,173.9775171
8619.351901,-2618.907402,187.0090108
8620.686679,-2712.711163,201.9498306
8620.429704,-2806.202278,218.7546583
8619.390688,-2868.166444,230.0768846
8618.196914,-2961.562548,247.4120767
8616.348274,-3054.950627,264.7373913
8615.809403,-3148.614131,280.5793085
8618.668465,-3273.897098,301.1622919
8621.345981,-3367.695688,315.9594993
8621.569813,-3461.804379,328.9009612
8621.221627,-3556.029732,340.9882172
8619.613855,-3649.471076,350.9502516
8617.334289,-3744.154567,358.2769448
8618.95896,-3838.899765,364.9104122
8623.003533,-3933.628968,370.803944
8626.791219,-4028.445011,375.3250298
8629.78361,-4123.34372,378.481323
8631.989427,-4203.290777,380.379341
