TVD,Northing,Easting
5303.45 ,45.75 ,-12.74 
5323.45 ,45.94 ,-12.50 
5354.41 ,45.81 ,-11.06 
5386.17 ,44.90 ,-7.34 
5417.50 ,43.52 ,-1.01 
5447.22 ,42.05 ,7.62 
5476.98 ,39.97 ,19.17 
5503.57 ,37.21 ,32.75 
5530.04 ,33.32 ,50.28 
5554.15 ,28.73 ,70.78 
5574.78 ,24.26 ,93.45 
5592.42 ,20.41 ,118.62 
5607.12 ,17.49 ,146.87 
5618.38 ,15.73 ,176.75 
5626.51 ,14.72 ,206.64 
5633.14 ,14.10 ,237.94 
5639.18 ,13.66 ,268.34 
5645.45 ,13.39 ,299.72 
5651.20 ,13.45 ,330.18 
5655.94 ,13.63 ,360.81 
5659.53 ,13.76 ,392.61 
5662.14 ,13.83 ,422.49 
5664.42 ,13.93 ,454.41 
5666.19 ,14.14 ,486.36 
5669.13 ,15.21 ,545.28 
5672.58 ,16.64 ,639.20 
5675.29 ,17.17 ,734.16 
5678.33 ,18.30 ,826.10 
5679.97 ,18.59 ,920.08 
5680.31 ,17.97 ,1012.08 
5680.54 ,17.24 ,1106.07 
5680.06 ,16.48 ,1201.07 
5679.28 ,15.95 ,1294.06 
5678.88 ,16.23 ,1389.06 
5679.39 ,17.61 ,1483.05 
5681.27 ,19.70 ,1577.01 
5685.69 ,21.32 ,1671.88 
5692.68 ,22.12 ,1765.62 
5699.63 ,22.70 ,1858.35 
5706.36 ,23.00 ,1951.11 
5712.17 ,22.42 ,2043.92 
5716.91 ,20.90 ,2137.79 
5722.65 ,19.70 ,2228.60 
5728.01 ,17.87 ,2322.42 
5730.85 ,14.88 ,2416.33 
5732.81 ,11.89 ,2509.26 
5732.64 ,9.76 ,2603.22 
5730.16 ,8.04 ,2694.17 
5727.67 ,7.04 ,2788.13 
5725.44 ,6.82 ,2882.11 
5721.37 ,6.40 ,2977.01 
5714.96 ,5.79 ,3070.79 
5708.96 ,5.32 ,3164.60 
5703.85 ,5.78 ,3259.46 
5699.28 ,7.59 ,3353.33 
5695.16 ,9.35 ,3448.22 
5690.93 ,10.83 ,3542.11 
5685.98 ,13.66 ,3635.94 
5681.05 ,17.33 ,3720.72 
5677.48 ,20.12 ,3780.54 
