TVD,Northing,Easting
5341.16,33.23,-24.4
5394.157866,33.42060656,-24.72930414
5426.147805,33.05958618,-25.36127929
5457.129406,32.65064073,-26.30054985
5489.096831,32.75793315,-27.73138636
5519.906578,32.25187368,-30.97425255
5551.168998,31.59121192,-37.69006296
5581.506495,32.19845245,-47.79228238
5610.511779,34.43652941,-61.07620574
5637.02489,38.60987438,-76.55295092
5662.596952,45.50441943,-94.48056019
5686.167033,55.21863197,-113.7912655
5707.416272,67.63700566,-134.2144824
5725.328934,81.68013715,-155.2341781
5740.564782,97.88733607,-178.2086318
5752.212585,115.4611899,-202.2539684
5760.285546,134.3841104,-228.0277101
5765.586616,153.5290176,-253.1108743
5770.357982,173.0381513,-278.0230961
5775.195566,192.4192131,-303.022525
5779.362366,211.4066479,-327.167766
5782.209561,230.9524911,-351.0552253
5784.822453,293.4942618,-423.8033816
5784.126076,356.2546453,-495.1164206
5784.955432,419.711967,-567.1452996
5785.349164,483.4271554,-638.9472698
5785.166779,546.3935729,-710.0803347
5784.002391,609.8709554,-782.0813675
5780.685447,672.8330741,-854.4725559
5777.008574,735.3884572,-927.1999034
5773.742842,797.4641399,-999.0392194
5771.447618,860.0536091,-1071.793368
5770.107243,922.2667016,-1144.893538
5769.529195,984.0242885,-1218.389108
5769.438001,1045.09541,-1291.157939
5770.778334,1107.210794,-1364.337257
5773.107761,1168.165123,-1435.857156
5774.942358,1229.835378,-1509.405065
5776.369633,1289.904139,-1581.694031
5777.902664,1351.346777,-1655.439776
5779.618666,1412.230013,-1728.345763
5779.802969,1474.433382,-1801.460289
5778.186436,1536.405039,-1873.445414
5777.273278,1599.627827,-1945.676788
5777.600004,1663.314014,-2017.509207
5778.661139,1725.885259,-2088.983745
5780.512477,1788.658795,-2161.592188
5782.187902,1851.212379,-2234.394499
5782.514631,1914.494811,-2306.579651
5782.390277,1977.548805,-2377.636536
5781.368258,2041.367369,-2449.340575
5779.625828,2105.380885,-2520.860427
5778.76452,2167.817898,-2591.123158
5778.312125,2230.949905,-2663.441771
5778.29092,2248.588674,-2683.883694
5778.340138,2279.336666,-2719.430262
