TVD,Northing,Easting
0.00 ,0.00 ,0.00 
144.00 ,-0.72 ,-0.23 
238.99 ,-1.64 ,-0.40 
334.99 ,-2.63 ,-0.44 
429.98 ,-3.79 ,-0.72 
503.97 ,-4.73 ,-1.08 
694.97 ,-5.80 ,-1.12 
884.96 ,-5.51 ,0.18 
1075.95 ,-4.89 ,2.12 
1265.94 ,-4.17 ,4.12 
1456.93 ,-2.80 ,5.35 
1646.92 ,-0.86 ,5.59 
1837.91 ,0.97 ,5.14 
2027.90 ,2.58 ,4.52 
2217.90 ,3.36 ,3.69 
2407.90 ,3.97 ,2.79 
2598.89 ,4.50 ,2.03 
2787.89 ,4.67 ,0.78 
2977.88 ,5.05 ,-0.72 
3168.88 ,5.69 ,-2.16 
3358.87 ,6.39 ,-3.63 
3548.86 ,7.11 ,-5.28 
3738.85 ,7.85 ,-6.91 
3929.84 ,8.58 ,-8.45 
4119.84 ,9.50 ,-10.06 
4310.83 ,10.29 ,-11.52 
4500.81 ,11.92 ,-13.37 
4592.80 ,12.72 ,-14.14 
4691.80 ,12.61 ,-14.47 
4881.80 ,11.35 ,-15.42 
5071.78 ,9.80 ,-16.73 
5262.78 ,8.43 ,-18.05 
5452.77 ,7.45 ,-19.69 
5500.76 ,7.28 ,-20.21 
5632.75 ,7.49 ,-21.98 
5695.75 ,7.87 ,-22.54 
5790.74 ,8.13 ,-22.32 
5885.74 ,8.31 ,-21.73 
5980.74 ,8.59 ,-21.58 
6076.74 ,8.81 ,-21.80 
6171.74 ,9.23 ,-22.30 
6266.73 ,9.65 ,-23.35 
6361.73 ,9.91 ,-23.24 
6456.71 ,10.35 ,-21.71 
6552.70 ,11.27 ,-20.64 
6583.70 ,11.68 ,-20.49 
6615.69 ,12.44 ,-20.99 
6647.57 ,14.01 ,-23.05 
6679.22 ,16.44 ,-27.06 
6709.58 ,19.18 ,-32.69 
6740.53 ,22.22 ,-40.22 
6770.98 ,25.98 ,-49.30 
6799.99 ,30.63 ,-59.17 
6829.34 ,36.28 ,-70.59 
6857.86 ,42.67 ,-83.60 
6885.38 ,49.87 ,-98.25 
6910.98 ,57.73 ,-113.86 
6936.26 ,66.67 ,-131.31 
6960.43 ,76.18 ,-150.00 
6982.89 ,85.82 ,-169.07 
7005.07 ,96.43 ,-189.55 
7026.14 ,107.88 ,-210.73 
7046.14 ,120.06 ,-232.54 
7064.30 ,132.37 ,-254.43 
7081.76 ,145.47 ,-277.82 
7097.84 ,158.84 ,-302.04 
7112.37 ,172.61 ,-327.00 
7124.91 ,186.75 ,-351.57 
