TVD,Northing,Easting
0,0,0
100,-0.42,0.13
200,-0.62,0.3
300,-0.8,0.52
400,-1.2,0.71
499.99,-1.45,1.06
599.99,-2.14,1.49
699.99,-2.5,1.77
799.99,-2.61,2.11
899.99,-2.98,2.16
999.99,-3.59,1.92
1099.98,-4.3,1.46
1199.98,-4.65,0.49
1299.97,-4.84,-0.56
1399.96,-5.08,-1.62
1499.96,-5.26,-2.46
1599.96,-5.5,-3.06
1699.95,-5.74,-3.9
1799.95,-6.24,-4.51
1899.95,-6.84,-5.07
1999.94,-6.98,-5.88
2099.94,-6.99,-6.74
2199.94,-7.12,-7.38
2299.94,-7.18,-8.03
2399.93,-7.4,-8.56
2499.93,-7.83,-9.02
2599.93,-8.23,-9.53
2699.93,-8.8,-9.84
2799.92,-9.64,-9.93
2899.92,-10.28,-9.9
2999.92,-10.93,-9.97
3099.92,-11.54,-9.86
3199.92,-11.9,-9.84
3299.92,-12.27,-9.83
3399.91,-12.57,-9.52
3499.91,-12.91,-8.96
3599.91,-13.57,-8.57
3699.91,-14.19,-8.45
3799.91,-14.17,-8.28
3899.91,-14.13,-8.09
3999.91,-14.24,-7.75
4099.9,-14.12,-7.11
4199.9,-14.04,-6.46
4299.9,-13.61,-6.07
4399.9,-13.02,-5.78
4499.9,-12.67,-5.53
4599.89,-12.07,-5.31
4699.89,-11.11,-4.84
4799.88,-10.31,-4.11
4899.88,-9.74,-3.45
4999.87,-9.11,-2.84
5099.87,-8.46,-2.26
5199.87,-7.88,-1.61
5299.86,-7.34,-0.93
5314.85,-7.66,-0.6
5349.71,-10.1,1.31
5399.1,-16.18,6.08
5419.21,-19.57,8.73
5496.38,-33.6,19.71
5521,-38.28,22.58
5545.44,-43.32,24.17
5569.84,-48.74,24.51
5594.14,-54.53,23.6
5618.27,-60.68,21.44
5642.17,-67.17,18.04
5665.77,-73.98,13.4
5689.01,-81.09,7.55
5711.82,-88.49,0.49
5734.14,-96.15,-7.76
5755.91,-104.04,-17.16
5777.07,-112.16,-27.71
5797.56,-120.48,-39.36
5817.33,-128.97,-52.09
5836.32,-137.61,-65.86
5854.48,-146.38,-80.63
5871.76,-155.26,-96.36
5888.11,-164.21,-113.02
5903.49,-173.22,-130.54
5917.85,-182.26,-148.9
5931.16,-191.3,-168.03
5943.38,-200.33,-187.88
5954.47,-209.31,-208.4
5964.41,-218.22,-229.53
5973.17,-227.04,-251.22
5980.72,-235.74,-273.4
5987.05,-244.3,-296.02
5992.13,-252.7,-319.01
5995.95,-260.9,-342.31
5998.51,-268.9,-365.86
5999.79,-276.67,-389.58
5999.85,-283.52,-411.28
5999.8,-284.18,-413.42
5997.71,-313.8,-508.91
5995.62,-343.41,-604.4
5993.53,-373.03,-699.9
5992.24,-391.37,-759.02
5991.96,-395.07,-771.57
5991.42,-401.18,-795.8
5990.87,-406.02,-820.32
5990.3,-409.57,-845.05
5989.72,-411.81,-869.94
5989.12,-412.75,-894.92
5988.52,-412.39,-919.9
5987.91,-410.71,-944.84
5987.29,-407.73,-969.65
5986.67,-403.46,-994.27
5986.05,-397.9,-1018.63
5985.43,-391.08,-1042.67
5984.8,-383.01,-1066.32
5984.18,-373.71,-1089.52
5983.57,-363.2,-1112.19
5982.96,-351.53,-1134.29
5982.35,-338.71,-1155.74
5981.76,-324.79,-1176.49
5981.17,-309.8,-1196.49
5980.6,-293.79,-1215.68
5980.05,-276.79,-1234
5979.51,-258.86,-1251.4
5978.98,-240.04,-1267.84
5978.48,-220.38,-1283.28
5977.99,-199.95,-1297.67
5977.53,-178.78,-1310.96
5977.08,-156.96,-1323.14
5976.67,-134.52,-1334.15
5976.27,-111.54,-1343.97
5975.9,-88.07,-1352.58
5975.56,-64,-1360
5974.58,8.04,-1380.14
5973.27,104.34,-1407.07
5971.96,200.63,-1433.99
5970.66,296.93,-1460.92
5969.35,393.23,-1487.84
5968.04,489.53,-1514.77
5966.73,585.83,-1541.69
5965.42,682.12,-1568.62
5964.12,778.42,-1595.54
5962.81,874.72,-1622.47
5961.5,971.02,-1649.39
5960.19,1067.32,-1676.32
5958.88,1163.61,-1703.25
5957.57,1259.91,-1730.17
5956.27,1356.21,-1757.1
5954.96,1452.51,-1784.02
5953.65,1548.81,-1810.95
5952.34,1645.1,-1837.87
5951.03,1741.4,-1864.8
5949.72,1837.7,-1891.72
5948.42,1934,-1918.65
5947.11,2030.3,-1945.57
5945.8,2126.59,-1972.5
5944.49,2222.89,-1999.42
5943.18,2319.19,-2026.35
5941.87,2415.49,-2053.27
5940.57,2511.79,-2080.2
5939.26,2608.09,-2107.12
5937.95,2704.38,-2134.05
5936.64,2800.68,-2160.97
5935.33,2896.98,-2187.9
5934.02,2993.28,-2214.83
5932.72,3089.58,-2241.75
5931.41,3185.87,-2268.68
5930.1,3282.17,-2295.6
5928.79,3378.47,-2322.53
5927.48,3474.77,-2349.45
5926.17,3571.07,-2376.38
5924.87,3667.36,-2403.3
5923.56,3763.66,-2430.23
5922.25,3859.96,-2457.15
5920.94,3956.26,-2484.08
5919.63,4052.56,-2511
5918.62,4127.14,-2531.86
