TVD,Northing,Easting
0,0,0
99.997,-0.481,0.391
199.987,-1.585,1.301
299.977,-2.749,2.043
399.973,-3.647,2.427
499.97,-4.389,2.505
599.965,-5.284,2.196
699.956,-6.313,1.393
799.945,-7.108,0.136
899.935,-7.473,-1.279
999.924,-7.669,-2.732
1099.912,-7.984,-4.233
1199.899,-8.325,-5.783
1299.881,-8.802,-7.638
1399.854,-9.413,-9.876
1499.822,-9.868,-12.362
1599.787,-10.422,-14.958
1699.766,-11.002,-16.851
1799.758,-11.435,-18.068
1877.752,-11.49,-18.995
1891.321,-11.451,-19.162
1904.89,-11.417,-19.333
1918.459,-11.388,-19.507
1932.038,-11.364,-19.684
1945.606,-11.345,-19.864
1959.175,-11.33,-20.048
1972.744,-11.32,-20.236
1986.312,-11.314,-20.433
1999.881,-11.31,-20.643
2013.449,-11.309,-20.868
2027.027,-11.31,-21.108
2040.595,-11.313,-21.361
2054.162,-11.318,-21.629
2067.729,-11.325,-21.909
2081.296,-11.328,-22.196
2094.863,-11.318,-22.483
2108.43,-11.294,-22.771
2122.007,-11.256,-23.059
2135.574,-11.208,-23.339
2149.143,-11.174,-23.505
2162.712,-11.151,-23.565
2176.282,-11.117,-23.622
2189.852,-11.081,-23.673
2203.422,-11.041,-23.719
2217.002,-10.999,-23.758
2230.572,-10.953,-23.792
2244.142,-10.904,-23.821
2257.711,-10.852,-23.844
2271.281,-10.794,-23.875
2284.851,-10.728,-23.928
2298.421,-10.654,-24.003
2312,-10.572,-24.101
2325.569,-10.48,-24.222
2339.138,-10.381,-24.364
2352.707,-10.273,-24.529
2366.275,-10.151,-24.695
2379.843,-10.007,-24.844
2393.412,-9.841,-24.975
2406.99,-9.653,-25.089
2420.559,-9.518,-25.121
2434.129,-9.476,-25.053
2447.699,-9.449,-24.949
2461.268,-9.411,-24.841
2474.838,-9.371,-24.744
2488.407,-9.328,-24.656
2501.987,-9.283,-24.576
2515.557,-9.235,-24.507
2529.127,-9.185,-24.447
2542.696,-9.132,-24.397
2556.266,-9.072,-24.363
2569.836,-9.002,-24.356
2583.406,-8.92,-24.373
2596.985,-8.827,-24.415
2610.555,-8.721,-24.483
2624.124,-8.605,-24.576
